合约代码,合约月份,挂盘基准价,上市日,最后交易日,涨停板幅度,跌停板幅度,涨停板价位,跌停板价位,持仓限额,品种,查询交易日
TS2409,2409,100.974,2023-12-11,2024-09-13,0.005,0.005,102.068,101.056,2000,TS,2024-02-28
TS2406,2406,101.065,2023-09-11,2024-06-14,0.005,0.005,102.032,101.02,2000,TS,2024-02-28
TS2403,2403,101.145,2023-06-12,2024-03-08,0.005,0.005,101.87,100.858,2000,TS,2024-02-28
TL2409,2409,99.33,2023-12-11,2024-09-13,0.035,0.035,110.45,102.99,2000,TL,2024-02-28
TL2406,2406,98.75,2023-09-11,2024-06-14,0.035,0.035,110.33,102.87,2000,TL,2024-02-28
TL2403,2403,97.18,2023-06-12,2024-03-08,0.035,0.035,110.5,103.04,2000,TL,2024-02-28
TF2409,2409,101.725,2023-12-11,2024-09-13,0.012,0.012,104.275,101.805,2000,TF,2024-02-28
TF2406,2406,101.59,2023-09-11,2024-06-14,0.012,0.012,104.24,101.77,2000,TF,2024-02-28
TF2403,2403,101.775,2023-06-12,2024-03-08,0.012,0.012,104.055,101.595,2000,TF,2024-02-28
T2409,2409,101.865,2023-12-11,2024-09-13,0.02,0.02,106.01,101.86,4000,T,2024-02-28
T2406,2406,101.295,2023-09-11,2024-06-14,0.02,0.02,105.93,101.78,4000,T,2024-02-28
T2403,2403,101.495,2023-06-12,2024-03-08,0.02,0.02,105.84,101.69,4000,T,2024-02-28
MO2412-P-6600,2412,1081.4,2023-12-18,2024-12-20,0.1,0.1,2176.6,1097.8,1200,MO,2024-02-28
MO2412-P-6400,2412,917.4,2023-12-18,2024-12-20,0.1,0.1,1871.6,792.8,1200,MO,2024-02-28
MO2412-P-6200,2412,763.0,2023-12-18,2024-12-20,0.1,0.1,1703.2,624.4,1200,MO,2024-02-28
MO2412-P-6000,2412,620.2,2023-12-18,2024-12-20,0.1,0.1,1548.0,469.2,1200,MO,2024-02-28
MO2412-P-5800,2412,491.0,2023-12-18,2024-12-20,0.1,0.1,1387.8,309.0,1200,MO,2024-02-28
MO2412-P-5600,2412,377.0,2023-12-18,2024-12-20,0.1,0.1,1251.8,173.0,1200,MO,2024-02-28
MO2412-P-5400,2412,279.2,2023-12-18,2024-12-20,0.1,0.1,1128.2,49.4,1200,MO,2024-02-28
MO2412-P-5200,2412,198.6,2023-12-18,2024-12-20,0.1,0.1,1023.0,0.2,1200,MO,2024-02-28
MO2412-P-5000,2412,128.2,2023-12-21,2024-12-20,0.1,0.1,920.6,0.2,1200,MO,2024-02-28
MO2412-P-4900,2412,128.4,2024-01-09,2024-12-20,0.1,0.1,879.4,0.2,1200,MO,2024-02-28
MO2412-P-4800,2412,220.0,2024-01-18,2024-12-20,0.1,0.1,838.0,0.2,1200,MO,2024-02-28
MO2412-P-4700,2412,220.2,2024-01-22,2024-12-20,0.1,0.1,798.2,0.2,1200,MO,2024-02-28
MO2412-P-4600,2412,430.6,2024-01-23,2024-12-20,0.1,0.1,768.8,0.2,1200,MO,2024-02-28
MO2412-P-4500,2412,373.4,2024-01-23,2024-12-20,0.1,0.1,740.4,0.2,1200,MO,2024-02-28
MO2412-P-4400,2412,303.8,2024-01-31,2024-12-20,0.1,0.1,714.0,0.2,1200,MO,2024-02-28
MO2412-P-4300,2412,314.0,2024-02-01,2024-12-20,0.1,0.1,690.6,0.2,1200,MO,2024-02-28
MO2412-P-4200,2412,278.2,2024-02-02,2024-12-20,0.1,0.1,669.0,0.2,1200,MO,2024-02-28
MO2412-P-4100,2412,329.4,2024-02-05,2024-12-20,0.1,0.1,650.8,0.2,1200,MO,2024-02-28
MO2412-P-4000,2412,551.2,2024-02-06,2024-12-20,0.1,0.1,634.6,0.2,1200,MO,2024-02-28
MO2412-P-3900,2412,496.4,2024-02-06,2024-12-20,0.1,0.1,620.4,0.2,1200,MO,2024-02-28
MO2412-P-3800,2412,444.8,2024-02-06,2024-12-20,0.1,0.1,607.2,0.2,1200,MO,2024-02-28
MO2412-C-6600,2412,83.6,2023-12-18,2024-12-20,0.1,0.1,634.4,0.2,1200,MO,2024-02-28
MO2412-C-6400,2412,115.2,2023-12-18,2024-12-20,0.1,0.1,658.8,0.2,1200,MO,2024-02-28
