产品名称,合约代码,产品代码,产品类型,交易所MIC编码,交易场所,交易时间节假日除外,交易国家ISO编码,交易币种ISO编码,结算币种ISO编码,到期时间待国家公布2025年节假日安排后进行调整,结算方式,挂牌频率,最小变动价位,最小变动价值,交易单位,计量单位,最大下单量,日持仓限额期货公司会员不限仓,大宗交易最小规模,是否受CESR监管,是否为灵活合约,上市周期该产品的所有合约月份,交割通知日,第一交易日,最后交易日待国家公布2025年节假日安排后进行调整,交割结算日,月份代码,年份代码,最后交割日,车（船）板最后交割日,合约交割月份本合约交割月份,交易保证金率,涨跌停板,费用币种ISO编码,交易手续费,手续费收取方式,交割手续费,平今仓手续费,交易限额
鲜苹果期货,AP403,AP,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-03-14 15:00 北京时间,实物,月度,1.00元/吨,10.00元,10吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户40手,n.a.,否,否,"1,3,4,5,10,11,12",2024-03-18,2023-03-15,2024-03-14,2024-03-19,03,2024,2024-03-19,2024-04-20,03,13.00%,±10%,CNY,5.0,绝对值,0.0,20.0,
鲜苹果期货,AP404,AP,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-04-16 15:00 北京时间,实物,月度,1.00元/吨,10.00元,10吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户1000手,n.a.,否,否,"1,3,4,5,10,11,12",2024-04-18,2023-04-18,2024-04-16,2024-04-19,04,2024,2024-04-19,2024-05-20,04,13.00%,±10%,CNY,5.0,绝对值,0.0,20.0,
鲜苹果期货,AP405,AP,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-05-17 15:00 北京时间,实物,月度,1.00元/吨,10.00元,10吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户1000手,n.a.,否,否,"1,3,4,5,10,11,12",2024-05-21,2023-05-18,2024-05-17,2024-05-22,05,2024,2024-05-22,2024-06-20,05,13.00%,±10%,CNY,5.0,绝对值,0.0,20.0,
鲜苹果期货,AP410,AP,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-10-21 15:00 北京时间,实物,月度,1.00元/吨,10.00元,10吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户1000手,n.a.,否,否,"1,3,4,5,10,11,12",2024-10-23,2023-10-23,2024-10-21,2024-10-24,10,2024,2024-10-24,2024-11-20,10,10.00%,±9%,CNY,5.0,绝对值,0.0,20.0,
鲜苹果期货,AP411,AP,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-11-14 15:00 北京时间,实物,月度,1.00元/吨,10.00元,10吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户1000手,n.a.,否,否,"1,3,4,5,10,11,12",2024-11-18,2023-11-15,2024-11-14,2024-11-19,11,2024,2024-11-19,2024-12-20,11,10.00%,±9%,CNY,5.0,绝对值,0.0,20.0,
鲜苹果期货,AP412,AP,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-12-13 15:00 北京时间,实物,月度,1.00元/吨,10.00元,10吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户1000手,n.a.,否,否,"1,3,4,5,10,11,12",2024-12-17,2023-12-15,2024-12-13,2024-12-18,12,2024,2024-12-18,2025-01-20,12,10.00%,±9%,CNY,5.0,绝对值,0.0,20.0,
鲜苹果期货,AP501,AP,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-01-14 15:00 北京时间,实物,月度,1.00元/吨,10.00元,10吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户1000手,n.a.,否,否,"1,3,4,5,10,11,12",2025-01-16,2024-01-16,2025-01-14,2025-01-17,01,2025,2025-01-17,2025-02-20,01,10.00%,±9%,CNY,5.0,绝对值,0.0,20.0,
棉花期货,CF403,CF,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-03-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户4000手,n.a.,否,否,"1,3,5,7,9,11",2024-03-18,2023-03-15,2024-03-14,2024-03-19,03,2024,2024-03-19,,03,10.00%,±8%,CNY,4.3,绝对值,0.0,0.0,10000.0
棉花期货,CF405,CF,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-05-17 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户58977手,n.a.,否,否,"1,3,5,7,9,11",2024-05-21,2023-05-18,2024-05-17,2024-05-22,05,2024,2024-05-22,,05,9.00%,±8%,CNY,4.3,绝对值,0.0,0.0,10000.0
棉花期货,CF407,CF,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-07-12 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-07-16,2023-07-17,2024-07-12,2024-07-17,07,2024,2024-07-17,,07,7.00%,±6%,CNY,4.3,绝对值,0.0,0.0,10000.0
棉花期货,CF409,CF,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-09-13 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-09-19,2023-09-15,2024-09-13,2024-09-20,09,2024,2024-09-20,,09,7.00%,±6%,CNY,4.3,绝对值,0.0,0.0,10000.0
棉花期货,CF411,CF,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-11-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-11-18,2023-11-15,2024-11-14,2024-11-19,11,2024,2024-11-19,,11,7.00%,±6%,CNY,4.3,绝对值,0.0,0.0,10000.0
棉花期货,CF501,CF,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-01-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2025-01-16,2024-01-16,2025-01-14,2025-01-17,01,2025,2025-01-17,,01,7.00%,±6%,CNY,4.3,绝对值,0.0,0.0,10000.0
