卖方会员,卖方会员-会员简称,买方会员,买方会员-会员简称,交割量,配对日期,合约代码
0038,申银万国,0198,英大期货,6.0,2021-01-06,AP101
0121,瑞达期货,0198,英大期货,4.0,2021-01-06,AP101
0202,中辉期货,0163,五矿经易期货,2.0,2021-01-06,AP101
0202,中辉期货,0058,鲁证期货,2.0,2021-01-06,AP101
0203,宏源期货,0163,五矿经易期货,2.0,2021-01-06,AP101
0262,一德期货,0058,鲁证期货,2.0,2021-01-06,AP101
0262,一德期货,0058,鲁证期货,2.0,2021-01-06,AP101
0203,宏源期货,0188,永安期货,8.0,2021-01-06,CF101
0203,宏源期货,0188,永安期货,8.0,2021-01-06,CF101
0209,华安期货,0088,中原期货,8.0,2021-01-06,CF101
0209,华安期货,0088,中原期货,8.0,2021-01-06,CF101
0068,中粮期货,0188,永安期货,9.0,2021-01-06,CJ101
0068,中粮期货,0038,申银万国,7.0,2021-01-06,CJ101
0068,中粮期货,0262,一德期货,7.0,2021-01-06,CJ101
0068,中粮期货,0188,永安期货,6.0,2021-01-06,CJ101
0068,中粮期货,0188,永安期货,6.0,2021-01-06,CJ101
0068,中粮期货,0188,永安期货,5.0,2021-01-06,CJ101
0068,中粮期货,0262,一德期货,4.0,2021-01-06,CJ101
0068,中粮期货,0262,一德期货,3.0,2021-01-06,CJ101
0068,中粮期货,0262,一德期货,3.0,2021-01-06,CJ101
0068,中粮期货,0188,永安期货,2.0,2021-01-06,CJ101
0068,中粮期货,0234,新湖期货,2.0,2021-01-06,CJ101
0068,中粮期货,0188,永安期货,2.0,2021-01-06,CJ101
0068,中粮期货,0068,中粮期货,1.0,2021-01-06,CJ101
0068,中粮期货,0038,申银万国,1.0,2021-01-06,CJ101
0068,中粮期货,0038,申银万国,1.0,2021-01-06,CJ101
0068,中粮期货,0188,永安期货,1.0,2021-01-06,CJ101
