交易所,合约代码,合约名称,品种代码,品种名称,合约乘数,最小跳动,开仓费率,开仓费用/手,平仓费率,平仓费用/手,平今费率,平今费用/手,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,上日结算价,上日收盘价,最新价,成交量,持仓量,1手开仓费用,1手平仓费用,1手平今费用,做多1手保证金,做空1手保证金,1手市值,1Tick平仓盈亏,1Tick平仓净利,2Tick平仓净利,1Tick平仓收益率%,2Tick平仓收益率%,1Tick平今净利,2Tick平今净利,1Tick平今收益率%,2Tick平今收益率%,更新时间
CZCE,AP605,AP605,AP,苹果,10,1.0,1e-06,5.01,1e-06,5.01,1e-06,20.01,0.15,0,0.15,0,9219.0,9207.0,9485.0,4354,6133,5.09,5.09,20.09,14227.5,14227.5,94850.0,10.0,-0.17,9.83,-0.001,0.069,-15.17,-5.17,-0.107,-0.036,2026-04-24 15:58:58
CZCE,AP610,AP610,AP,苹果,10,1.0,1e-06,5.01,1e-06,5.01,1e-06,20.01,0.1,0,0.1,0,7726.0,7667.0,7689.0,77587,102027,5.07,5.07,20.07,7689.0,7689.0,76890.0,10.0,-0.14,9.86,-0.002,0.128,-15.14,-5.14,-0.197,-0.067,2026-04-24 15:58:58
CZCE,AP611,AP611,AP,苹果,10,1.0,1e-06,5.01,1e-06,5.01,1e-06,20.01,0.1,0,0.1,0,7657.0,7599.0,7620.0,556,1670,5.07,5.07,20.07,7620.0,7620.0,76200.0,10.0,-0.14,9.86,-0.002,0.129,-15.14,-5.14,-0.199,-0.067,2026-04-24 15:58:58
CZCE,AP612,AP612,AP,苹果,10,1.0,1e-06,5.01,1e-06,5.01,1e-06,20.01,0.1,0,0.1,0,7747.0,7689.0,7692.0,88,1167,5.07,5.07,20.07,7692.0,7692.0,76920.0,10.0,-0.14,9.86,-0.002,0.128,-15.14,-5.14,-0.197,-0.067,2026-04-24 15:58:58
CZCE,AP701,AP701,AP,苹果,10,1.0,1e-06,5.01,1e-06,5.01,1e-06,20.01,0.1,0,0.1,0,7724.0,7664.0,7676.0,1201,4769,5.07,5.07,20.07,7676.0,7676.0,76760.0,10.0,-0.14,9.86,-0.002,0.128,-15.14,-5.14,-0.197,-0.067,2026-04-24 15:58:58
CZCE,AP703,AP703,AP,苹果,10,1.0,1e-06,5.01,1e-06,5.01,1e-06,20.01,0.1,0,0.1,0,7731.0,7698.0,7719.0,22,138,5.07,5.07,20.07,7719.0,7719.0,77190.0,10.0,-0.14,9.86,-0.002,0.128,-15.14,-5.14,-0.196,-0.067,2026-04-24 15:58:58
CZCE,AP704,AP704,AP,苹果,10,1.0,1e-06,5.01,1e-06,5.01,1e-06,20.01,0.1,0,0.1,0,7874.0,7825.0,7826.0,7,34,5.07,5.07,20.07,7826.0,7826.0,78260.0,10.0,-0.15,9.85,-0.002,0.126,-15.15,-5.15,-0.194,-0.066,2026-04-24 15:58:58
CZCE,CF605,CF605,CF,一号棉花,5,5.0,1e-06,4.31,1e-06,4.31,1e-06,0.0,0.1,0,0.1,0,16135.0,16150.0,16060.0,25091,126162,4.37,4.37,0.06,8030.0,8030.0,80300.0,25.0,16.25,41.25,0.202,0.514,20.56,45.56,0.256,0.567,2026-04-24 15:58:58
CZCE,CF607,CF607,CF,一号棉花,5,5.0,1e-06,4.31,1e-06,4.31,1e-06,0.0,0.07,0,0.07,0,16120.0,16115.0,16030.0,69697,178940,4.37,4.37,0.06,5610.5,5610.5,80150.0,25.0,16.25,41.25,0.29,0.735,20.56,45.56,0.366,0.812,2026-04-24 15:58:58
CZCE,CF609,CF609,CF,一号棉花,5,5.0,1e-06,4.31,1e-06,4.31,1e-06,0.0,0.07,0,0.07,0,16285.0,16285.0,16195.0,482495,815586,4.37,4.37,0.06,5668.25,5668.25,80975.0,25.0,16.25,41.25,0.287,0.728,20.56,45.56,0.363,0.804,2026-04-24 15:58:58
