序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨结,成交量,买盘,卖盘,持仓量
1,ZW28N,小麦2807,,,,,,,664.75,0,0,0,11
2,ZW28K,小麦2805,,,,,,,685.25,0,0,0,3
3,ZW28H,小麦2803,,,,,,,687.75,0,0,0,63
4,ZW27Z,小麦2712,678.5,-3.75,-0.55,678.5,678.5,678.5,682.25,13,11,2,637
5,ZW27U,小麦2709,675.0,2.0,0.3,669.25,675.0,669.25,673.0,31,22,9,379
6,ZW27N,小麦2707,671.5,2.25,0.34,667.25,672.25,662.25,669.25,45,19,26,2431
7,ZW27K,小麦2705,676.0,1.75,0.26,675.0,677.5,670.75,674.25,114,71,43,3097
8,ZW27H,小麦2703,670.0,2.75,0.41,668.25,671.25,663.75,667.25,401,181,220,10986
9,ZW26Z,小麦2612,654.25,2.5,0.38,653.0,656.5,647.0,651.75,1769,790,979,64844
10,ZW26U,小麦2609,636.0,2.75,0.43,635.0,638.25,629.5,633.25,2337,1211,1126,81070
11,ZW26N,小麦2607,623.0,2.75,0.44,622.0,625.25,616.25,620.25,13357,7385,5972,233131
12,ZW26K,小麦2605,614.0,3.25,0.53,612.5,616.25,607.0,610.75,2474,1117,1357,38854
13,ZW00Y,小麦当月连续,623.0,2.75,0.44,622.0,625.25,616.25,620.25,13357,7385,5972,233131
14,ZS28N,大豆2807,1150.0,-0.5,-0.04,1150.0,1150.0,1150.0,1150.5,2,2,0,13
15,ZS28K,大豆2805,1144.75,0.0,0.0,1144.75,1144.75,1144.75,1144.75,2,0,2,2
16,ZS28H,大豆2803,1131.5,-9.25,-0.81,1131.5,1131.5,1131.5,1140.75,2,0,2,20
17,ZS28F,大豆2801,1130.75,-8.5,-0.75,1130.75,1130.75,1130.75,1139.25,1,0,1,313
18,ZS27X,大豆2711,1127.5,-1.25,-0.11,1127.75,1127.75,1127.0,1128.75,16,1,15,6440
19,ZS27U,大豆2709,,,,,,,1136.25,0,0,0,356
20,ZS27Q,大豆2708,,,,,,,1163.75,0,0,0,489
21,ZS27N,大豆2707,1176.0,1.25,0.11,1174.5,1176.5,1171.75,1174.75,70,38,32,12362
22,ZS27K,大豆2705,1170.25,1.5,0.13,1166.75,1170.75,1166.25,1168.75,359,100,259,22689
23,ZS27H,大豆2703,1167.25,1.75,0.15,1166.0,1168.25,1162.5,1165.5,526,420,106,60301
24,ZS27F,大豆2701,1168.5,1.5,0.13,1166.75,1169.75,1164.0,1167.0,792,477,315,54929
25,ZS26X,大豆2611,1156.5,1.5,0.13,1155.0,1157.75,1152.0,1155.0,7117,3274,3843,223536
26,ZS26U,大豆2609,1150.75,1.5,0.13,1149.5,1152.0,1146.25,1149.25,1304,725,579,33227
27,ZS26Q,大豆2608,1171.0,2.0,0.17,1168.75,1172.25,1165.5,1169.0,2620,1440,1180,42061
28,ZS26N,大豆2607,1177.0,2.25,0.19,1175.0,1178.25,1171.25,1174.75,20424,11263,9161,372833
29,ZS26K,大豆2605,1162.25,2.5,0.22,1160.25,1163.5,1156.75,1159.75,9598,4720,4878,131969
30,ZS00Y,大豆当月连续,1177.0,2.25,0.19,1175.0,1178.25,1171.25,1174.75,20424,11263,9161,372833
31,ZR27K,稻谷2705,,,,,,,12.505,0,0,0,2
32,ZR27H,稻谷2703,,,,,,,12.46,0,0,0,3
33,ZR27F,稻谷2701,,,,,,,12.24,0,0,0,26
34,ZR26X,稻谷2611,,,,,,,11.975,0,0,0,248
35,ZR26U,稻谷2609,11.665,-0.035,-0.3,11.665,11.665,11.665,11.7,1,0,1,1288
36,ZR26N,稻谷2607,11.37,-0.005,-0.04,11.35,11.405,11.34,11.375,94,48,46,8062
37,ZR26K,稻谷2605,11.01,-0.005,-0.05,11.005,11.045,10.985,11.015,27,15,12,2895
38,ZR00Y,稻谷当月连续,11.37,-0.005,-0.04,11.35,11.405,11.34,11.375,94,48,46,8062
39,ZO28U,燕麦2809,,,,,,,339.25,0,0,0,1
40,ZO28N,燕麦2807,,,,,,,334.5,0,0,0,0
41,ZO28H,燕麦2803,,,,,,,348.5,0,0,0,0
42,ZO27Z,燕麦2712,,,,,,,345.0,0,0,0,0
43,ZO27U,燕麦2709,,,,,,,334.0,0,0,0,1
44,ZO27N,燕麦2707,,,,,,,339.75,0,0,0,0
45,ZO27K,燕麦2705,,,,,,,349.25,0,0,0,0
46,ZO27H,燕麦2703,,,,,,,343.25,0,0,0,0
47,ZO26Z,燕麦2612,341.5,1.75,0.52,341.5,341.5,341.5,339.75,6,6,0,460
48,ZO26U,燕麦2609,341.25,1.25,0.37,345.25,345.25,341.25,340.0,12,5,7,285
49,ZO26N,燕麦2607,336.0,2.5,0.75,336.75,337.0,334.75,333.5,51,34,17,2375
50,ZO26K,燕麦2605,320.0,-0.5,-0.16,322.25,323.5,319.0,320.5,27,18,9,746
51,ZO00Y,燕麦当月连续,336.0,2.5,0.75,336.75,337.0,334.75,333.5,51,34,17,2375
52,ZM28H,豆粕2803,,,,,,,311.4,0,0,0,0
53,ZM28F,豆粕2801,,,,,,,311.3,0,0,0,30
54,ZM27Z,豆粕2712,310.9,0.0,0.0,310.9,310.9,310.9,310.9,1,0,1,814
55,ZM27V,豆粕2710,308.5,0.1,0.03,308.5,308.5,308.5,308.4,13,13,0,434
56,ZM27U,豆粕2709,311.4,0.7,0.23,311.4,311.4,311.4,310.7,36,6,30,514
57,ZM27Q,豆粕2708,314.8,2.4,0.77,314.8,314.8,314.8,312.4,23,23,0,665
58,ZM27N,豆粕2707,312.6,-0.4,-0.13,313.1,313.1,312.6,313.0,29,23,6,3146
59,ZM27K,豆粕2705,310.4,-0.3,-0.1,310.5,310.7,310.1,310.7,45,38,7,6368
60,ZM27H,豆粕2703,309.8,-0.4,-0.13,310.2,310.2,309.4,310.2,196,136,60,12864
61,ZM27F,豆粕2701,310.0,-0.4,-0.13,310.2,310.4,309.8,310.4,405,196,209,19053
62,ZM26Z,豆粕2612,309.1,-0.2,-0.06,309.3,309.4,308.7,309.3,3145,1171,1974,103219
63,ZM26V,豆粕2610,305.7,-0.1,-0.03,305.7,306.0,305.2,305.8,978,511,467,26143
64,ZM26U,豆粕2609,308.3,0.4,0.13,308.0,308.6,307.5,307.9,1186,873,313,29419
