symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
IC2604,20260403,7608.8,7615.0,7481.2,7509.8,27865,51999,4198176.8,7512.4,7538.0,IC
IC2605,20260403,7549.2,7556.8,7428.0,7452.4,4868,11308,727542.832,7461.8,7475.6,IC
IC2606,20260403,7459.2,7459.8,7325.2,7352.0,78708,145457,11614386.544,7358.6,7378.0,IC
IC2609,20260403,7269.0,7284.0,7157.4,7181.0,16586,69586,2390755.592,7191.8,7207.0,IC
IF2604,20260403,4473.0,4479.0,4412.6,4426.0,21398,47418,2848834.458,4422.6,4445.8,IF
IF2605,20260403,4438.0,4450.0,4389.6,4401.4,2379,4928,314845.302,4399.8,4421.2,IF
IF2606,20260403,4420.0,4420.0,4346.0,4362.2,46962,134794,6161143.578,4357.2,4380.0,IF
IF2609,20260403,4322.2,4329.6,4262.4,4279.8,8686,65058,1116912.876,4274.8,4296.0,IF
IH2604,20260403,2852.8,2856.4,2820.0,2826.2,8676,19092,737906.166,2825.8,2842.0,IH
IH2605,20260403,2850.0,2850.0,2814.4,2819.8,1198,3130,101576.178,2819.6,2835.8,IH
IH2606,20260403,2832.0,2835.2,2798.4,2804.4,20645,51815,1741785.342,2804.0,2820.0,IH
IH2609,20260403,2786.0,2788.8,2754.6,2763.0,3792,23444,314862.9,2759.6,2774.2,IH
IM2604,20260403,7602.0,7618.0,7479.0,7507.6,43068,79295,6491392.408,7515.2,7550.2,IM
IM2605,20260403,7559.0,7559.0,7406.4,7432.0,5925,13496,884018.66,7444.6,7471.6,IM
IM2606,20260403,7411.2,7418.0,7280.2,7309.4,131935,200101,19365537.312,7324.2,7345.6,IM
IM2609,20260403,7178.2,7195.0,7065.6,7091.2,23076,102550,3285983.416,7107.4,7127.2,IM
T2606,20260403,108.23,108.295,108.18,108.27,82498,284464,8930267.8,108.225,108.215,T
T2609,20260403,108.125,108.2,108.095,108.16,4095,22633,442917.615,108.135,108.115,T
T2612,20260403,108.11,108.125,108.06,108.065,123,610,13295.26,108.08,108.055,T
TF2606,20260403,106.025,106.045,105.955,106.0,75297,170583,7981870.81,105.975,105.985,TF
TF2609,20260403,105.8,105.855,105.77,105.8,4074,23175,431106.355,105.79,105.785,TF
TF2612,20260403,105.77,105.81,105.73,105.765,124,556,13116.37,105.745,105.76,TF
TL2606,20260403,111.23,111.54,111.11,111.46,102574,131637,11422677.43,111.27,111.23,TL
TL2609,20260403,110.95,111.26,110.83,111.17,8362,26801,928781.41,110.96,110.93,TL
TL2612,20260403,110.89,111.19,110.84,111.12,487,571,54105.87,110.99,110.85,TL
TS2606,20260403,102.512,102.532,102.482,102.498,39369,73238,8071226.196,102.49,102.5,TS
TS2609,20260403,102.52,102.522,102.47,102.484,1188,3366,243507.768,102.476,102.492,TS
TS2612,20260403,102.506,102.518,102.472,102.488,258,378,52892.24,102.48,102.492,TS
