交易所,品种,代码,交易保证金比例,涨跌停板幅度,合约乘数,最小变动价位,限价单每笔最大下单手数,特殊合约参数调整,调整备注
上期所,铜,CU,13.0,6.0,5,10.0,500,CU2312合约交易保证金比例为20.0%; CU2401合约交易保证金比例为15.0%,
上期所,铜期权,CU_O,,,5,2.0,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
上期所,铝,AL,13.0,6.0,5,5.0,500,AL2312合约交易保证金比例为20.0%; AL2401合约交易保证金比例为15.0%,
上期所,铝期权,AL_O,,,5,1.0,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
上期所,锌,ZN,13.0,6.0,5,5.0,500,ZN2312合约交易保证金比例为20.0%; ZN2401合约交易保证金比例为15.0%,
上期所,锌期权,ZN_O,,,5,1.0,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
上期所,铅,PB,13.0,6.0,5,5.0,500,PB2312合约交易保证金比例为20.0%; PB2401合约交易保证金比例为15.0%,
上期所,镍,NI,18.0,10.0,1,10.0,500,NI2312合约交易保证金比例为21.0%,
上期所,锡,SN,21.0,10.0,1,10.0,500,SN2312合约交易保证金比例为24.0%,
上期所,不锈钢,SS,13.0,5.0,5,5.0,500,SS2312合约交易保证金比例为21.0%; SS2401合约交易保证金比例为16.0%,
上期所,螺纹钢,RB,13.0,5.0,10,1.0,500,RB2312合约交易保证金比例为21.0%; RB2401合约交易保证金比例为16.0%,
上期所,螺纹钢期权,RB_O,,,10,0.5,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
上期所,热轧卷板,HC,13.0,5.0,10,1.0,500,HC2312合约交易保证金比例为21.0%; HC2401合约交易保证金比例为16.0%,
上期所,线材,WR,15.0,7.0,10,1.0,500,WR2312合约交易保证金比例为21.0%; WR2401合约交易保证金比例为16.0%; WR2411合约涨跌幅度为14.0%,
上期所,黄金,AU,14.0,6.0,1000,0.02,500,AU2312合约交易保证金比例为21.0%; AU2401合约交易保证金比例为16.0%,
上期所,黄金期权,AU_O,,,1000,0.02,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
上期所,白银,AG,17.0,7.0,15,1.0,500,AG2312合约交易保证金比例为23.0%; AG2401合约交易保证金比例为18.0%,
上期所,银期权,AG_O,,,15,0.5,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
上期所,丁二烯橡胶,BR,20.0,10.0,5,5.0,500,,
上期所,丁二烯橡胶期权,BR_O,,,5,1.0,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
上期所,天然橡胶,RU,14.0,6.0,10,5.0,500,RU2401合约交易保证金比例为16.0%,
上期所,天胶期权,RU_O,,,10,1.0,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
上期所,燃料油,FU,20.0,8.0,10,1.0,500,,
上期所,石油沥青,BU,18.0,8.0,10,1.0,500,BU2312合约交易保证金比例为23.0%,
上期所,纸浆,SP,14.0,6.0,10,2.0,500,SP2312合约交易保证金比例为21.0%; SP2401合约交易保证金比例为16.0%,
上期所,氧化铝,AO,15.0,7.0,20,1.0,500,AO2312合约交易保证金比例为21.0%; AO2401合约交易保证金比例为16.0%,
能源中心,原油,SC,24.0,8.0,1000,0.1,500,SC2612合约涨跌幅度为16.0%,
能源中心,原油期权,SC_O,,,1000,0.05,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
能源中心,低硫燃料油,LU,18.0,8.0,10,1.0,500,LU2412合约涨跌幅度为16.0%,
能源中心,20号胶,NR,14.0,6.0,10,5.0,500,NR2312合约交易保证金比例为21.0%; NR2401合约交易保证金比例为16.0%,
能源中心,国际铜,BC,13.0,6.0,5,10.0,500,BC2312合约交易保证金比例为20.0%; BC2401合约交易保证金比例为15.0%; BC2406合约涨跌幅度为12.0%; BC2407合约涨跌幅度为12.0%; BC2409合约涨跌幅度为12.0%; BC2410合约涨跌幅度为12.0%; BC2411合约涨跌幅度为12.0%,
能源中心,集运指数(欧线),EC,22.0,10.0,50,0.1,500,,
大商所,黄大豆1号,A,12.0,6.0,10,1.0,1000,,
大商所,黄大豆2号,B,15.0,6.0,10,1.0,1000,B2312合约交易保证金比例为27.0%,
大商所,豆粕,M,12.0,6.0,10,1.0,1000,M2312合约交易保证金比例为25.0%,
大商所,豆粕期权,M_O,,,10,0.5,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
大商所,豆油,Y,13.0,6.0,10,2.0,1000,Y2312合约交易保证金比例为26.0%,
大商所,棕榈油,P,14.0,7.0,10,2.0,1000,P2312合约交易保证金比例为26.0%,
大商所,棕榈油期权,P_O,,,10,0.5,1000,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
大商所,玉米,C,11.0,6.0,10,1.0,2000,,
大商所,黄大豆1号期权,A_O,,,10,0.5,1000,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
大商所,黄大豆2号期权,B_O,,,10,0.5,1000,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
大商所,玉米期权,C_O,,,10,0.5,100,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
大商所,豆油期权,Y_O,,,10,0.5,1000,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
大商所,玉米淀粉,CS,11.0,5.0,10,1.0,1000,,
大商所,鸡蛋,JD,14.0,6.0,10,1.0,300,JD2312合约交易保证金比例为26.0%,
大商所,粳米,RR,9.0,5.0,10,1.0,1000,RR2312合约交易保证金比例为23.0%，涨跌幅度为6.0%,
大商所,聚乙烯,L,13.0,6.0,5,1.0,1000,L2312合约交易保证金比例为26.0%,
大商所,聚乙烯期权,L_O,,,5,0.5,1000,期权卖方交易保证金中涉及标的期货合约的公司交易保证金按照对应的期货合约保证金标准收取,
