date,symbol,variety,long_margin_ratio,short_margin_ratio,trade_fee_ratio,delivery_fee_ratio,close_today_fee_ratio
20260119,IC2602,IC,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IC2603,IC,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IC2606,IC,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IC2609,IC,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IF2602,IF,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IF2603,IF,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IF2606,IF,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IF2609,IF,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IH2602,IH,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IH2603,IH,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IH2606,IH,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IH2609,IH,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IM2602,IM,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IM2603,IM,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IM2606,IM,12%,12%,万分之0.23,万分之0.5,1000%
20260119,IM2609,IM,12%,12%,万分之0.23,万分之0.5,1000%
20260119,T2603,T,2%,2%,3元/手,2.5元/手,0%
20260119,T2606,T,2%,2%,3元/手,2.5元/手,0%
20260119,T2609,T,2%,2%,3元/手,2.5元/手,0%
20260119,TF2603,TF,1.2%,1.2%,3元/手,2.5元/手,0%
20260119,TF2606,TF,1.2%,1.2%,3元/手,2.5元/手,0%
20260119,TF2609,TF,1.2%,1.2%,3元/手,2.5元/手,0%
20260119,TL2603,TL,3.5%,3.5%,3元/手,2.5元/手,0%
20260119,TL2606,TL,3.5%,3.5%,3元/手,2.5元/手,0%
20260119,TL2609,TL,3.5%,3.5%,3元/手,2.5元/手,0%
20260119,TS2603,TS,.5%,.5%,3元/手,2.5元/手,0%
20260119,TS2606,TS,.5%,.5%,3元/手,2.5元/手,0%
20260119,TS2609,TS,.5%,.5%,3元/手,2.5元/手,0%
20260119,HO2602,HO,12%,0.5,15元/手,1元/手,100%
20260119,HO2603,HO,12%,0.5,15元/手,1元/手,100%
20260119,HO2604,HO,12%,0.5,15元/手,1元/手,100%
20260119,HO2606,HO,12%,0.5,15元/手,1元/手,100%
20260119,HO2609,HO,12%,0.5,15元/手,1元/手,100%
20260119,HO2612,HO,12%,0.5,15元/手,1元/手,100%
20260119,IO2602,IO,12%,0.5,15元/手,1元/手,100%
20260119,IO2603,IO,12%,0.5,15元/手,1元/手,100%
20260119,IO2604,IO,12%,0.5,15元/手,1元/手,100%
20260119,IO2606,IO,12%,0.5,15元/手,1元/手,100%
20260119,IO2609,IO,12%,0.5,15元/手,1元/手,100%
20260119,IO2612,IO,12%,0.5,15元/手,1元/手,100%
20260119,MO2602,MO,12%,0.5,15元/手,1元/手,100%
20260119,MO2603,MO,12%,0.5,15元/手,1元/手,100%
20260119,MO2604,MO,12%,0.5,15元/手,1元/手,100%
20260119,MO2606,MO,12%,0.5,15元/手,1元/手,100%
20260119,MO2609,MO,12%,0.5,15元/手,1元/手,100%
20260119,MO2612,MO,12%,0.5,15元/手,1元/手,100%
