date,symbol,variety,settle_price,is_single_market,single_market_days,margin_ratio,limit_ratio,trade_fee,fee_type,delivery_fee,close_today_fee,position_limit,trade_limit
20260119,AP603,AP,"9,436.00",N,0,10,±9,5.00,绝对值,0.00,20.00,1000,
20260119,AP604,AP,"9,389.00",N,0,10,±9,5.00,绝对值,0.00,20.00,1000,
20260119,AP605,AP,"9,400.00",N,0,10,±9,5.00,绝对值,0.00,20.00,1000,
20260119,AP610,AP,"8,113.00",N,0,10,±9,5.00,绝对值,0.00,20.00,1000,
20260119,AP611,AP,"7,929.00",N,0,10,±9,5.00,绝对值,0.00,20.00,1000,
20260119,AP612,AP,"8,001.00",N,0,10,±9,5.00,绝对值,0.00,20.00,1000,
20260119,AP701,AP,"8,042.00",N,0,10,±9,5.00,绝对值,0.00,20.00,1000,
20260119,CF603,CF,"14,555.00",N,0,7,±6,4.30,绝对值,0.00,0.00,20222,10000
20260119,CF605,CF,"14,565.00",N,0,7,±6,4.30,绝对值,0.00,0.00,80102,10000
20260119,CF607,CF,"14,570.00",N,0,7,±6,4.30,绝对值,0.00,0.00,20000,10000
20260119,CF609,CF,"14,725.00",N,0,7,±6,4.30,绝对值,0.00,0.00,20000,10000
20260119,CF611,CF,"14,820.00",N,0,7,±6,4.30,绝对值,0.00,0.00,20000,10000
20260119,CF701,CF,"15,100.00",N,0,7,±6,4.30,绝对值,0.00,0.00,20000,10000
20260119,CJ603,CJ,"8,720.00",N,0,9,±8,3.00,绝对值,0.00,3.00,600,
20260119,CJ605,CJ,"8,835.00",N,0,9,±8,3.00,绝对值,0.00,3.00,600,
20260119,CJ607,CJ,"8,905.00",N,0,9,±8,3.00,绝对值,0.00,3.00,600,
20260119,CJ609,CJ,"9,065.00",N,0,9,±8,3.00,绝对值,0.00,3.00,600,
20260119,CJ612,CJ,"9,610.00",N,0,9,±8,3.00,绝对值,0.00,3.00,600,
20260119,CJ701,CJ,"9,720.00",N,0,9,±8,3.00,绝对值,0.00,3.00,600,
20260119,CY602,CY,"20,655.00",N,0,10,±4,1.00,绝对值,0.00,0.00,500,
20260119,CY603,CY,"20,535.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY604,CY,"20,800.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY605,CY,"20,565.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY606,CY,"20,875.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY607,CY,"20,745.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY608,CY,"21,470.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY609,CY,"20,715.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY610,CY,"20,800.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY611,CY,"20,990.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY612,CY,"20,995.00",N,0,5,±4,1.00,绝对值,0.00,0.00,5000,
20260119,CY701,CY,"21,055.00",N,0,5,±8,1.00,绝对值,0.00,0.00,5000,
20260119,FG602,FG,991.00,N,0,10,±9,6.00,绝对值,0.00,6.00,5000,25000
20260119,FG603,FG,994.00,N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG604,FG,"1,092.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG605,FG,"1,090.00",N,0,10,±9,6.00,绝对值,0.00,6.00,121545,25000
20260119,FG606,FG,"1,134.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG607,FG,"1,122.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG608,FG,"1,204.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG609,FG,"1,197.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG610,FG,"1,218.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG611,FG,"1,214.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG612,FG,"1,255.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,FG701,FG,"1,253.00",N,0,10,±9,6.00,绝对值,0.00,6.00,20000,25000
20260119,JR603,JR,"2,662.00",N,0,15,±14,3.00,绝对值,0.00,3.00,20000,
20260119,JR605,JR,"2,662.00",N,0,15,±14,3.00,绝对值,0.00,3.00,20000,
20260119,JR607,JR,"2,662.00",N,0,15,±14,3.00,绝对值,0.00,3.00,20000,
20260119,JR609,JR,"2,662.00",N,0,15,±14,3.00,绝对值,0.00,3.00,20000,
20260119,JR611,JR,"2,662.00",N,0,15,±14,3.00,绝对值,0.00,3.00,20000,
20260119,JR701,JR,"2,662.00",N,0,15,±14,3.00,绝对值,0.00,3.00,20000,
20260119,MA602,MA,"2,200.00",N,0,10,±6,1.00,比例值,0.00,1.00,3000,25000
20260119,MA603,MA,"2,224.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA604,MA,"2,235.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA605,MA,"2,233.00",N,0,7,±6,1.00,比例值,0.00,1.00,85852,25000
20260119,MA606,MA,"2,244.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA607,MA,"2,242.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA608,MA,"2,251.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA609,MA,"2,245.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA610,MA,"2,251.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA611,MA,"2,267.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA612,MA,"2,301.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,MA701,MA,"2,292.00",N,0,7,±6,1.00,比例值,0.00,1.00,30000,25000
20260119,OI603,OI,"9,300.00",N,0,9,±8,2.00,绝对值,0.00,2.00,10108,10000
20260119,OI605,OI,"8,930.00",N,0,7,±6,2.00,绝对值,0.00,2.00,25360,10000
20260119,OI607,OI,"8,920.00",N,0,7,±6,2.00,绝对值,0.00,2.00,10000,10000
20260119,OI609,OI,"8,904.00",N,0,7,±6,2.00,绝对值,0.00,2.00,10000,10000
20260119,OI611,OI,"8,876.00",N,0,7,±6,2.00,绝对值,0.00,2.00,10000,10000
20260119,OI701,OI,"8,868.00",N,0,7,±6,2.00,绝对值,0.00,2.00,10000,10000
20260119,PF602,PF,"6,382.00",N,0,10,±6,2.00,绝对值,0.00,0.00,1500,
20260119,PF603,PF,"6,408.00",N,0,7,±6,2.00,绝对值,0.00,0.00,19085,
20260119,PF604,PF,"6,454.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
