date,symbol,variety,spec_buy_rate,spec_buy,hedge_buy_rate,hedge_buy,rise_limit_rate,rise_limit,fall_limit,agent_tot_buy_posi_quota,self_tot_buy_posi_quota,client_buy_posi_quota
20260119,lc2605,lc,0.15,26061.0,0.14,24323.6,0.13,196320.0,151160.0,-1.0,1000.0,1000.0
20260119,lc2606,lc,0.15,26187.0,0.14,24441.2,0.13,197260.0,151900.0,-1.0,3000.0,3000.0
20260119,lc2607,lc,0.15,26277.0,0.14,24525.2,0.13,197940.0,152420.0,-1.0,14417.0,14417.0
20260119,lc2608,lc,0.15,26559.0,0.14,24788.4,0.13,200060.0,154060.0,-1.0,3000.0,3000.0
20260119,lc2609,lc,0.15,26628.0,0.14,24852.8,0.13,200580.0,154460.0,-1.0,45551.0,45551.0
20260119,lc2610,lc,0.15,26526.0,0.14,24757.6,0.13,199820.0,153860.0,-1.0,3000.0,3000.0
20260119,lc2611,lc,0.15,26517.0,0.14,24749.2,0.13,199760.0,153800.0,-1.0,3000.0,3000.0
20260119,lc2612,lc,0.15,26427.0,0.14,24665.2,0.13,199080.0,153280.0,-1.0,3000.0,3000.0
20260119,lc2701,lc,0.15,26484.0,0.14,24718.4,0.13,199500.0,153620.0,-1.0,3000.0,3000.0
20260119,lc2702,lc,0.15,26718.0,0.14,24936.8,0.13,201260.0,154980.0,-1.0,3000.0,3000.0
20260119,lc2703,lc,0.15,26736.0,0.14,24953.6,0.13,201400.0,155080.0,-1.0,3000.0,3000.0
20260119,lc2704,lc,0.15,26853.0,0.14,25062.8,0.13,202280.0,155760.0,-1.0,3000.0,3000.0
20260119,pd2606,pd,0.19,68732.5,0.19,68732.5,0.17,423.2,300.3,-1.0,392.0,392.0
20260119,pd2608,pd,0.19,68827.5,0.19,68827.5,0.17,423.8,300.7,-1.0,300.0,300.0
20260119,pd2610,pd,0.19,69207.5,0.19,69207.5,0.17,426.15,302.35,-1.0,300.0,300.0
20260119,pd2612,pd,0.19,69350.0,0.19,69350.0,0.17,427.05,302.95,-1.0,300.0,300.0
20260119,pd2702,pd,0.19,70452.0,0.19,70452.0,0.17,433.8,307.8,-1.0,300.0,300.0
20260119,pd2704,pd,0.19,70110.0,0.19,70110.0,0.17,431.7,306.3,-1.0,300.0,300.0
20260119,ps2605,ps,0.15,16290.0,0.15,16290.0,0.12,40540.0,31860.0,-1.0,900.0,900.0
20260119,ps2606,ps,0.14,17619.0,0.14,17619.0,0.12,46980.0,36920.0,-1.0,3282.0,3282.0
20260119,ps2607,ps,0.14,17497.2,0.14,17497.2,0.12,46655.0,36665.0,-1.0,3000.0,3000.0
20260119,ps2608,ps,0.14,17285.1,0.14,17285.1,0.12,46090.0,36220.0,-1.0,3000.0,3000.0
20260119,ps2609,ps,0.14,17587.5,0.14,17587.5,0.12,46900.0,36850.0,-1.0,3000.0,3000.0
20260119,ps2610,ps,0.14,17352.3,0.14,17352.3,0.12,46270.0,36360.0,-1.0,3000.0,3000.0
20260119,ps2611,ps,0.14,17304.0,0.14,17304.0,0.12,46140.0,36260.0,-1.0,3000.0,3000.0
20260119,ps2612,ps,0.14,18282.6,0.14,18282.6,0.12,48750.0,38310.0,-1.0,3000.0,3000.0
20260119,ps2701,ps,0.13,16627.65,0.13,16627.65,0.09,46470.0,38800.0,-1.0,3000.0,3000.0
20260119,ps2702,ps,0.13,17278.95,0.13,17278.95,0.09,48290.0,40320.0,-1.0,3000.0,3000.0
20260119,ps2703,ps,0.13,16748.55,0.13,16748.55,0.09,46810.0,39080.0,-1.0,3000.0,3000.0
20260119,ps2704,ps,0.13,15839.85,0.13,15839.85,0.09,44270.0,36960.0,-1.0,3000.0,3000.0
20260119,pt2606,pt,0.19,95551.0,0.19,95551.0,0.17,588.35,417.45,-1.0,776.0,776.0
20260119,pt2608,pt,0.19,95427.5,0.19,95427.5,0.17,587.6,416.9,-1.0,600.0,600.0
20260119,pt2610,pt,0.19,96558.0,0.19,96558.0,0.17,594.55,421.85,-1.0,600.0,600.0
20260119,pt2612,pt,0.19,96358.5,0.19,96358.5,0.17,593.35,420.95,-1.0,600.0,600.0
20260119,pt2702,pt,0.19,96729.0,0.19,96729.0,0.17,595.6,422.6,-1.0,600.0,600.0
20260119,pt2704,pt,0.19,97023.5,0.19,97023.5,0.34,684.25,337.05,-1.0,600.0,600.0
20260119,si2605,si,0.1,4232.5,0.1,4232.5,0.08,9140.0,7790.0,-1.0,900.0,900.0
20260119,si2606,si,0.1,4255.0,0.09,3829.5,0.08,9190.0,7830.0,-1.0,6888.0,6888.0
20260119,si2607,si,0.1,4272.5,0.09,3845.25,0.08,9225.0,7865.0,-1.0,3621.0,3621.0
20260119,si2608,si,0.1,4285.0,0.09,3856.5,0.08,9255.0,7885.0,-1.0,3000.0,3000.0
20260119,si2609,si,0.1,4302.5,0.09,3872.25,0.08,9290.0,7920.0,-1.0,22792.0,22792.0
20260119,si2610,si,0.1,4327.5,0.09,3894.75,0.08,9345.0,7965.0,-1.0,3000.0,3000.0
