date,symbol,variety,settle_price,spec_long_margin_ratio,hedge_long_margin_ratio,spec_short_margin_ratio,hedge_short_margin_ratio,trade_fee_ratio,close_today_fee_ratio,is_close_today
20260119,sc2602,sc,440.0,0.1,0.1,0.1,0.1,0.0,0.0,0
20260119,sc2603,sc,442.6,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2604,sc,443.4,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2605,sc,444.5,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2606,sc,445.6,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2607,sc,447.3,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2608,sc,447.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2609,sc,448.9,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2610,sc,447.5,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2611,sc,448.5,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2612,sc,450.7,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2701,sc,452.5,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2703,sc,455.7,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2706,sc,457.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2709,sc,466.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2712,sc,466.6,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2803,sc,473.1,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2806,sc,475.9,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2809,sc,480.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,sc2812,sc,484.9,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,lu2602,lu,3117.0,0.1,0.1,0.1,0.1,0.01,0.005,0
20260119,lu2603,lu,3085.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2604,lu,3082.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2605,lu,3073.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2606,lu,3064.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2607,lu,3076.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2608,lu,3061.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2609,lu,3086.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2610,lu,3100.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2611,lu,3095.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2612,lu,3134.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,lu2701,lu,3131.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,nr2602,nr,12655.0,0.1,0.1,0.1,0.1,0.02,0.01,0
20260119,nr2603,nr,12680.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2604,nr,12715.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2605,nr,12760.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2606,nr,12770.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2607,nr,12805.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2608,nr,12870.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2609,nr,12825.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2610,nr,12975.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2611,nr,12995.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2612,nr,13000.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,nr2701,nr,13015.0,0.09,0.08,0.09,0.08,0.02,0.01,0
20260119,bc2602,bc,89690.0,0.1,0.1,0.1,0.1,0.01,0.005,0
20260119,bc2603,bc,89620.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2604,bc,90300.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2605,bc,90120.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2606,bc,90200.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2607,bc,90590.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2608,bc,91170.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2609,bc,91500.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2610,bc,91620.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2611,bc,91140.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2612,bc,91290.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2701,bc,91420.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,ec2602,ec,1714.2,0.17,0.17,0.17,0.17,0.6,0.3,0
20260119,ec2604,ec,1128.8,0.17,0.17,0.17,0.17,0.6,0.3,0
20260119,ec2606,ec,1321.7,0.17,0.17,0.17,0.17,0.6,0.3,0
20260119,ec2608,ec,1471.3,0.17,0.17,0.17,0.17,0.6,0.3,0
20260119,ec2610,ec,1058.7,0.17,0.17,0.17,0.17,0.6,0.3,0
20260119,ec2612,ec,1311.9,0.17,0.17,0.17,0.17,0.6,0.3,0
