date,symbol,variety,settle_price,spec_long_margin_ratio,hedge_long_margin_ratio,spec_short_margin_ratio,hedge_short_margin_ratio,trade_fee_ratio,close_today_fee_ratio,is_close_today
20260119,cu2602,cu,100610.0,0.1,0.1,0.1,0.1,0.05,0.025,0
20260119,cu2603,cu,100650.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2604,cu,100870.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2605,cu,100780.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2606,cu,100860.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2607,cu,100600.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2608,cu,100640.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2609,cu,100620.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2610,cu,100510.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2611,cu,100760.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2612,cu,100780.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,cu2701,cu,100690.0,0.09,0.08,0.09,0.08,0.05,0.025,0
20260119,bc2602,bc,89690.0,0.1,0.1,0.1,0.1,0.01,0.005,0
20260119,bc2603,bc,89620.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2604,bc,90300.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2605,bc,90120.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2606,bc,90200.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2607,bc,90590.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2608,bc,91170.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2609,bc,91500.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2610,bc,91620.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2611,bc,91140.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2612,bc,91290.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,bc2701,bc,91420.0,0.09,0.08,0.09,0.08,0.01,0.005,0
20260119,al2602,al,23915.0,0.1,0.1,0.1,0.1,0.0,0.0,0
20260119,al2603,al,23970.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2604,al,24030.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2605,al,24045.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2606,al,24075.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2607,al,24080.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2608,al,24095.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2609,al,24130.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2610,al,24165.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2611,al,24095.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2612,al,24185.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,al2701,al,24080.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2602,zn,24390.0,0.1,0.1,0.1,0.1,0.0,0.0,0
20260119,zn2603,zn,24450.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2604,zn,24485.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2605,zn,24500.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2606,zn,24485.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2607,zn,24480.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2608,zn,24515.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2609,zn,24540.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2610,zn,24530.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2611,zn,24540.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2612,zn,24550.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,zn2701,zn,24555.0,0.09,0.08,0.09,0.08,0.0,0.0,0
20260119,pb2602,pb,17195.0,0.1,0.1,0.1,0.1,0.04,0.02,0
20260119,pb2603,pb,17260.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2604,pb,17300.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2605,pb,17340.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2606,pb,17335.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2607,pb,17370.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2608,pb,17380.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2609,pb,17400.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2610,pb,17440.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2611,pb,17440.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2612,pb,17435.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,pb2701,pb,17435.0,0.09,0.08,0.09,0.08,0.04,0.02,0
20260119,ni2602,ni,140850.0,0.1,0.1,0.1,0.1,0.0,0.0,0
20260119,ni2603,ni,141040.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2604,ni,141250.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2605,ni,141580.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2606,ni,141720.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2607,ni,141550.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2608,ni,141560.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2609,ni,141860.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2610,ni,141900.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2611,ni,142210.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2612,ni,142200.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,ni2701,ni,142100.0,0.1,0.09,0.1,0.09,0.0,0.0,0
20260119,sn2602,sn,387070.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2603,sn,387070.0,0.13,0.12,0.13,0.12,0.0,0.0,0
