商品,现货价格,主力合约代码,主力合约价格,主力合约基差,主力合约变动百分比,180日内主力基差最高,180日内主力基差最低,180日内主力基差平均
铜,81593.3,2406,82180,-586.0,-0.72,1203.33,-1901.67,49.49
螺纹钢,3586.22,2410,3656,-69.0,-1.92,121.89,-167.78,-14.55
锌,23378,2406,23515,-137.0,-0.59,304.00,-450.00,-0.10
铝,20540,2406,20575,-35.0,-0.17,268.33,-301.67,10.40
黄金,547.64,2408,551.72,-4.08,-0.75,6.84,-8.35,-1.26
线材,3845.2,2405,3500,345.0,8.97,345.20,-144.00,1.06
燃料油,5816,2409,3491,2325.0,39.98,2622.00,2028.00,2340.07
天然橡胶,13560,2409,14045,-485.0,-3.58,-450.00,-1870.00,-937.71
铅,17000,2406,17350,-350.0,-2.06,123.75,-542.50,-104.01
白银,7054.67,2406,7011,43.0,0.61,252.00,-265.00,-19.62
石油沥青,3680.86,2409,3766,-85.0,-2.31,152.33,-319.14,-122.04
热轧卷板,3896,2410,3804,92.0,2.36,152.00,-74.00,27.08
镍,144167,2406,143140,1027.0,0.71,4823.33,-4293.33,1308.38
锡,262825,2406,260010,2815.0,1.07,10097.50,-8640.00,-316.27
纸浆,6400,2409,6372,28.0,0.44,492.00,-156.00,108.75
不锈钢,14267.5,2409,14280,-12.0,-0.08,895.00,-305.00,178.08
丁二烯橡胶,13260,2406,12975,285.0,2.15,675.00,-830.00,67.12
PTA,5940.5,2409,5908,32.0,0.54,125.11,-180.50,0.61
白糖,6650,2409,6168,482.0,7.25,804.00,110.00,392.36
棉花,16640.2,2409,15655,985.0,5.92,1694.33,636.33,1007.76
普麦,2616,2405,3122,-506.0,-19.34,-130.00,-506.00,-300.82
菜籽油OI,8398.33,2409,8407,-8.0,-0.10,314.67,-87.67,113.25
玻璃,18.65,2409,1533,-41.0,-2.75,169.80,-231.40,-3.12
菜籽粕,2803.33,2409,2783,20.0,0.71,373.33,-4.67,156.91
硅铁,6464.29,2409,7048,-583.0,-9.02,44.29,-583.71,-180.64
锰硅,5955,2409,7914,-1959.0,-32.90,-13.67,-1959.00,-322.13
甲醇MA,2651.67,2409,2558,93.0,3.51,215.67,-9.00,89.92
棉纱,24950,2409,21175,3775.0,15.13,6140.00,3090.00,4265.00
尿素,2435.83,2409,2056,379.0,15.56,554.33,132.67,357.48
纯碱,2210,2409,2176,34.0,1.54,1087.00,-142.00,444.96
涤纶短纤,7652,2406,7378,274.0,3.58,402.00,-22.00,212.38
PX,8700,2409,8468,232.0,2.67,442.00,-374.00,93.76
烧碱,790,2409,2686,-217.0,-8.79,233.50,-370.00,-118.03
棕榈油,7960,2409,7360,600.0,7.54,872.00,-124.00,140.10
聚氯乙烯,5556,2409,5924,-368.0,-6.62,-25.00,-430.00,-271.29
聚乙烯,8407.14,2409,8494,-86.0,-1.02,274.57,-125.14,31.75
豆一,4730,2407,4646,84.0,1.78,254.00,-142.00,7.07
豆粕,3340,2409,3399,-59.0,-1.77,654.00,-59.00,328.14
豆油,7840,2409,7628,212.0,2.70,640.00,124.00,388.22
玉米,2298.57,2407,2388,-89.0,-3.87,151.00,-124.00,2.64
焦炭,1968.33,2409,2355,-386.0,-19.61,-44.33,-619.67,-278.52
焦煤,2062.5,2409,1806,256.0,12.41,770.50,110.25,475.93
铁矿石,892.11,2409,874,18.0,2.02,104.78,-19.39,47.24
鸡蛋,6.91,2409,3889,-434.0,-12.56,1253.00,-539.00,377.63
聚丙烯,7842.86,2409,7619,223.0,2.84,376.71,11.71,198.06
乙二醇,4481.67,2409,4462,19.0,0.42,116.00,-275.33,-35.51
苯乙烯,9530,2406,9387,143.0,1.50,506.00,-293.00,53.58
液化石油气,5052,2406,4556,496.0,9.82,857.00,-102.00,315.51
生猪,14.85,2409,17345,-2495.0,-16.80,2065.00,-3415.00,-431.58
工业硅,13660,2406,11955,1705.0,12.48,2160.00,810.00,1622.46
碳酸锂,115400,2407,111450,3950.0,3.42,33650.00,-18000.00,6675.42
