日期时间,期限品种,掉期点(Pips),掉期点数据源,全价汇率
2026-04-24 16:30:00.0,ON,-14.05,报价数据,6.8362
2026-04-24 16:30:00.0,TN,-4.89,报价数据,6.8348
2026-04-24 16:30:00.0,SN,-4.9,报价数据,6.8338
2026-04-24 16:30:00.0,1W,-38.81,报价数据,6.8304
2026-04-24 16:30:00.0,2W,-67.05,报价数据,6.8276
2026-04-24 16:30:00.0,3W,-99.2,报价数据,6.8244
2026-04-24 16:30:00.0,1M,-141.0,报价数据,6.8202
2026-04-24 16:30:00.0,2M,-289.2,报价数据,6.8054
2026-04-24 16:30:00.0,3M,-421.6,报价数据,6.7921
2026-04-24 16:30:00.0,6M,-827.0,报价数据,6.7516
2026-04-24 16:30:00.0,9M,-1222.0,报价数据,6.7121
2026-04-24 16:30:00.0,1Y,-1592.2,报价数据,6.6751
