货币对,买报价,卖报价
USD/CNY,6.836,6.8364
EUR/CNY,7.9946,7.9952
100JPY/CNY,4.2802,4.2804
HKD/CNY,0.87245,0.87252
GBP/CNY,9.2217,9.2226
AUD/CNY,4.8759,4.8763
NZD/CNY,4.0042,4.0045
SGD/CNY,5.35,5.3502
CHF/CNY,8.6925,8.6927
CAD/CNY,4.9953,4.9953
CNY/MOP,1.181,1.1813
CNY/MYR,0.5769,0.581
CNY/RUB,10.6067,11.421
CNY/ZAR,2.433,2.4342
CNY/KRW,216.89,217.06
CNY/AED,0.5373,0.5373
CNY/SAR,0.54861,0.54873
CNY/HUF,45.9339,45.951
CNY/PLN,0.53091,0.53108
CNY/DKK,0.9347,0.9348
CNY/SEK,1.355,1.3553
CNY/NOK,1.367,1.3675
CNY/TRY,6.59887,6.60141
CNY/MXN,2.5498,2.5504
CNY/THB,4.7423,4.7455
