name,value,ratio,date
沪镍,297121615200,0.12587951514453233,2019-09-24
铁矿石,190686974200,0.08078706707526659,2019-09-24
螺纹钢,188544342280,0.07987931262919154,2019-09-24
沪银,170319793050,0.07215824050437879,2019-09-24
沪金,154086708500,0.06528087881839466,2019-09-24
焦炭,114295691600,0.0484228864737169,2019-09-24
500中证,108104826680,0.045800044396305854,2019-09-24
300沪深,106508906220,0.045123911515233525,2019-09-24
原油,98262545400,0.04163023132293337,2019-09-24
豆油,55693117840,0.02359512843206469,2019-09-24
沪铜,54148933600,0.022940914287145665,2019-09-24
甲醇,50362271920,0.021336644816632968,2019-09-24
白糖,49720741480,0.02106485193248585,2019-09-24
乙二醇,45279333860,0.01918319065587863,2019-09-24
豆粕,42367341600,0.017949486492192357,2019-09-24
棕榈油,41548282760,0.017602481345546792,2019-09-24
沪锌,40944640700,0.017346740376373283,2019-09-24
十债,36308275000,0.01538248252204017,2019-09-24
PTA,35433005600,0.015011663025724892,2019-09-24
燃料油,33857173740,0.014344040946622427,2019-09-24
天然橡胶,32212573600,0.013647284273128718,2019-09-24
菜油,30158766520,0.012777161649243602,2019-09-24
苹果,29686090680,0.012576906257121816,2019-09-24
塑料,28911140500,0.012248588329616257,2019-09-24
50上证,27583298040,0.011686030250694226,2019-09-24
棉花,27355761600,0.011589631418432784,2019-09-24
二债,26648343000,0.011289924140952208,2019-09-24
PP,26415310370,0.011191196774861693,2019-09-24
沥青,23855569520,0.010106728595470708,2019-09-24
纸浆,22615732720,0.009581455282260917,2019-09-24
焦煤,22422009420,0.00949938183546781,2019-09-24
热卷,21037060540,0.00891262986389882,2019-09-24
沪铝,18391115250,0.007791640029551154,2019-09-24
菜粕,14050678280,0.005952756308717763,2019-09-24
玻璃,12244212040,0.0051874229139625555,2019-09-24
玉米,12240847760,0.005185997592095867,2019-09-24
动力煤,11836513880,0.0050146961782399704,2019-09-24
鸡蛋,10010246480,0.00424097375928529,2019-09-24
红枣,8329338800,0.0035288349146620442,2019-09-24
五债,8026605200,0.0034005778076847976,2019-09-24
沪铅,6359189200,0.0026941548923309247,2019-09-24
PVC,6074497100,0.0025735413062431003,2019-09-24
豆一,4756023420,0.0020149524352937095,2019-09-24
沪锡,3754602860,0.0015906873259925467,2019-09-24
豆二,2740720780,0.001161142728376446,2019-09-24
锰硅,2149457440,0.0009106461681991008,2019-09-24
尿素,1870218560,0.0007923429111296291,2019-09-24
硅铁,1654558920,0.000700975842795772,2019-09-24
淀粉,1636357040,0.0006932643747910741,2019-09-24
棉纱,1289091000,0.0005461405086531729,2019-09-24
20号胶,221967900,9.403964639476704e-05,2019-09-24
粳米,116041500,4.9162521369614075e-05,2019-09-24
油菜籽,111135000,4.7083817534348144e-05,2019-09-24
强麦,3241040,1.3731096052685806e-06,2019-09-24
粳稻,981120,4.1566450766454896e-07,2019-09-24
纤维板,442306,1.8738880639175228e-07,2019-09-24
晚籼稻,441520,1.8705580706137034e-07,2019-09-24
线材,404600,1.7141415912536336e-07,2019-09-24
胶合板,0,0.0,2019-09-24
普麦,0,0.0,2019-09-24
早籼稻,0,0.0,2019-09-24
