date,price,volume,open_interest,margin,profit,long_short_ratio
2013-01-04,1000,5504160,4545990,426106684865,56879240,46.5
2013-01-07,1000.374,7818543,4805814,444572841550,653105,45.97
2013-01-08,999.545,8003701,4844549,441257339270,148746780,46.09
2013-01-09,996.705,6759257,4951471,445306224110,263467845,45.96
2013-01-10,997.088,6470466,4988114,453027438935,325605115,45.73
2013-01-11,988.646,7560736,4851660,445819203075,536478945,45.89
2013-01-14,997.847,7906045,5005113,456334670085,534908620,45.92
2013-01-15,993.638,8147913,4947760,458172811815,394032000,45.97
2013-01-16,996.693,8196072,4958365,445398503980,308838350,45.88
2013-01-17,995.41,7547885,4933779,446872589380,312566800,46.24
2013-01-18,1004.545,8207351,4931987,453538538890,346186490,45.85
2013-01-21,1002.659,6810129,5045671,460078622680,267141280,45.84
2013-01-22,1007.936,7442532,5071626,459107974700,126730915,45.68
2013-01-23,1008.888,6173385,5162038,465053152740,85464755,45.88
2013-01-24,1000.126,8360620,5120417,457246445155,476923475,46.25
2013-01-25,1002.856,6525468,5162266,463243645065,525641695,46.18
2013-01-28,1002.931,5827130,5238659,463880278180,691547450,46.06
2013-01-29,1005.751,4911249,5278292,474555880460,641327370,46.12
2013-01-30,1012.18,5984898,5358548,489838434495,449253280,45.63
2013-01-31,1018.976,5932936,5329877,489435483860,72951935,45.87
2013-02-01,1020.89,6186208,5403719,502943315460,110071010,45.95
2013-02-04,1026.463,6294218,5367928,503261071745,-108379105,45.59
2013-02-05,1024.049,6677112,5229463,500028609015,14954090,45.74
2013-02-06,1022.293,5444422,5074562,492158168170,26081005,45.95
2013-02-07,1019.515,4498311,4804789,473829646025,276299650,45.85
2013-02-08,1018.708,3296186,4637825,465574502535,302088065,45.79
2013-02-18,1004.048,4135158,4805125,461453326435,823125805,45.98
2013-02-19,1006.786,5704451,5262266,486960537555,722644685,45.75
2013-02-20,1006.776,5679217,5461811,497602926195,632631625,45.72
2013-02-21,992.469,9024860,5405868,475427629570,1288784970,45.86
2013-02-22,997.122,9391192,5651430,492536236515,1020317240,45.76
2013-02-25,985.126,9271339,5500499,484831394745,1708357925,45.69
2013-02-26,975.936,9939343,5427732,480897783825,1845480100,45.64
2013-02-27,981.864,8143075,5430672,479408781775,1852302190,45.43
2013-02-28,984.414,7452231,5475982,484441044330,1820231065,45.31
2013-03-01,976.864,8876007,5556463,499670970260,2182272800,45.64
2013-03-04,970.361,8836889,5556031,499889305195,2236719860,45.72
2013-03-05,977.153,8013792,5612694,500386774965,2058612375,45.53
2013-03-06,975.067,7810338,5549032,500693065305,2078216700,45.55
2013-03-07,971.028,6865773,5620422,504295267185,2257190735,45.81
2013-03-08,973.831,7559813,5612602,502937675625,2172516810,45.49
2013-03-11,968.818,7394982,5854795,516225899095,2277351455,45.69
2013-03-12,961.749,8016134,5876047,517035995130,2562191255,46.22
2013-03-13,958.92,9030489,5940633,516182125375,2804030380,46.43
2013-03-14,951.734,10003723,5990014,516497684780,3180265680,46.97
2013-03-15,960.605,10113225,5735911,511166268535,3000831075,46.16
2013-03-18,944.297,8922975,5735620,512450860860,3407350580,46.68
2013-03-19,946.959,6752014,5756082,517086742400,3337413195,46.78
2013-03-20,952.828,7726590,5881720,519333116225,3275093825,46.86
2013-03-21,957.4,8096792,5819215,521820228640,2996971870,46.48
2013-03-22,953.8,6827866,5899905,536213296120,3106772870,46.44
2013-03-25,955.358,6110340,6019570,541751061720,3100527695,46.47
2013-03-26,952.1,6817784,5973388,534167302885,3349405050,46.85
2013-03-27,950.728,5718398,6018548,534863988635,3387917545,47.03
2013-03-28,943.952,7480067,5902777,529584165290,3556405655,46.98
2013-03-29,936.835,7804122,5763062,520372051955,3984654210,47.2
2013-04-01,922.421,7890678,5943054,539008613795,4245603925,47.35
2013-04-02,931.364,8189899,5794691,529632218070,4256374725,47.67
2013-04-03,924.32,8456082,5832071,532208550165,4245357025,47.83
2013-04-08,931.096,7568088,5938262,537580953575,4183489930,47.74
2013-04-09,933.587,7295039,6099176,548576153445,3960604145,47.89
2013-04-10,936.795,6814773,6083459,550044217240,3905775195,47.76
2013-04-11,929.305,7854674,6152417,548097560110,4034397250,47.66
2013-04-12,931.414,7499400,6073081,547205701310,4211456200,47.82
2013-04-15,908.277,9748144,6303867,551589652535,4839587210,48.38
2013-04-16,900.574,9678741,6096159,522028902155,5427967090,48.51
2013-04-17,893.076,10872810,6241719,539748324325,5420889810,48.79
2013-04-18,882.946,11412480,6296490,527252787435,5703535725,48.98
2013-04-19,888.957,10330554,6147559,522250900060,5542279415,49.11
2013-04-22,872.053,9090511,6425643,543146259090,5657515960,49.3
2013-04-23,869.18,9885536,6549494,555629507180,5730495375,49.54
2013-04-24,876.615,11422944,6570324,550215818610,5850670550,49.22
2013-04-25,882.653,8392154,6389281,541835325600,5849006800,49.32
2013-04-26,885.784,8131066,6029393,528409847365,5981640720,48.95
2013-05-02,871.228,6426696,6304625,528241921715,6378075305,48.95
2013-05-03,883.262,8721127,6432213,539183095500,6324362065,48.68
2013-05-06,896.282,7829452,6355656,538982714865,6106631250,48.49
2013-05-07,890.512,9009210,6386449,546068763910,6044323870,48.35
2013-05-08,901.519,8183890,6395085,546571152640,5890951120,47.97
2013-05-09,898.798,7485908,6425247,543989368105,5957047600,48.02
2013-05-10,907.831,9102328,6423809,548751128785,5745309675,47.6
2013-05-13,904.656,9635258,6537171,551170451235,5508902940,47.85
2013-05-14,901.849,9020984,6534220,551506032215,5550918930,47.89
2013-05-15,888.579,9302971,6615616,546841414240,5788492640,47.93
2013-05-16,890.794,10440648,6687170,539580044690,5914053760,47.89
2013-05-17,900.62,10422545,6540534,537039187385,5654715585,48.05
2013-05-20,896.09,8496278,6596126,541517700635,5472937685,47.9
2013-05-21,902.71,8864012,6675501,540574060100,5613728255,47.69
2013-05-22,905.536,8075099,6791885,551680368190,5510146165,47.59
2013-05-23,892.052,8646850,6650693,540737932175,5667899025,48.17
2013-05-24,897.198,7479242,6635863,543246409820,5689785530,48.19
2013-05-27,892.315,7449383,6892081,557754368365,5851518070,48.06
2013-05-28,893.775,6985854,7001351,569738073640,5862843715,48.04
2013-05-29,890.424,9934870,7159457,576950066225,5653822825,47.58
2013-05-30,891.859,9462762,7206779,572787042835,5922386530,48.23
2013-05-31,892.244,7807633,7171046,575827850900,5932895520,48.06
2013-06-03,900.523,10177244,7197853,578190507520,5720239490,47.72
2013-06-04,898.806,9358030,7074880,572014101745,5814820565,47.7
2013-06-05,902.003,9937195,7097531,567980525020,5865344690,47.5
2013-06-06,892.006,10009923,6936860,565906452685,6136917425,47.37
