indexes,value,trans_date
国泰君安,-217069885,2026-04-24
银河期货,-195545615,2026-04-24
广发期货,-125456305,2026-04-24
华泰期货,-97708435,2026-04-24
平安期货,-94941270,2026-04-24
国元期货,-86207485,2026-04-24
方正中期,-82520705,2026-04-24
国投安信,-77003120,2026-04-24
东吴期货,-75516030,2026-04-24
招商期货,-58729790,2026-04-24
国贸期货,-53791430,2026-04-24
中信建投,-52970200,2026-04-24
海通期货,-47261560,2026-04-24
徽商期货,-47026895,2026-04-24
国金期货,-46697900,2026-04-24
国信期货,-46073020,2026-04-24
东方财富,-45051965,2026-04-24
信达期货,-43705395,2026-04-24
民生期货,-33172415,2026-04-24
宝城期货,-32756985,2026-04-24
东亚期货,-26915920,2026-04-24
光大期货,-23553560,2026-04-24
福能期货,-23393300,2026-04-24
大越期货,-21247950,2026-04-24
弘业期货,-12998875,2026-04-24
东航期货,-10945285,2026-04-24
兴业期货,-10897155,2026-04-24
华闻期货,-9767650,2026-04-24
恒力期货,-9546400,2026-04-24
建信期货,-8623745,2026-04-24
一德期货,-8080720,2026-04-24
先锋期货,-7636200,2026-04-24
广州期货,-7468345,2026-04-24
西部期货,-6270560,2026-04-24
中银国际,-5773040,2026-04-24
东兴期货,-5721670,2026-04-24
中航期货,-5386360,2026-04-24
铜冠金源,-4962410,2026-04-24
混沌天成,-4586100,2026-04-24
广州金控,-4582740,2026-04-24
东海期货,-4402010,2026-04-24
国新国证,-3299085,2026-04-24
长江期货,-3148055,2026-04-24
中原期货,-3008800,2026-04-24
安粮期货,-2837405,2026-04-24
大有期货,-1993405,2026-04-24
华安期货,-1727850,2026-04-24
通惠期货,-1641340,2026-04-24
先融期货,-1577615,2026-04-24
西南期货,-1382920,2026-04-24
财信期货,-1119020,2026-04-24
长安期货,-1090090,2026-04-24
正信期货,-1088255,2026-04-24
兴证期货,-1064960,2026-04-24
华联期货,-990990,2026-04-24
渤海期货,-895305,2026-04-24
恒泰期货,-785760,2026-04-24
华源期货,-736740,2026-04-24
金元期货,-595210,2026-04-24
中电投先融,-589650,2026-04-24
云财富,-529230,2026-04-24
盛达期货,-523055,2026-04-24
三立期货,-404550,2026-04-24
中衍期货,-367510,2026-04-24
港信期货,-184505,2026-04-24
金信期货,-179665,2026-04-24
中天期货,-170540,2026-04-24
交子期货,-149280,2026-04-24
华龙期货,-122320,2026-04-24
华创期货,-99330,2026-04-24
道通期货,-66800,2026-04-24
江西瑞奇,-46240,2026-04-24
第一创业,-30000,2026-04-24
长城期货,-13950,2026-04-24
新世纪,-13800,2026-04-24
和融期货,-6320,2026-04-24
佛山金控,4800,2026-04-24
天富期货,7650,2026-04-24
瑞奇期货,13500,2026-04-24
山西三立,15580,2026-04-24
恒银期货,22210,2026-04-24
中盛期货,25660,2026-04-24
首创期货,26000,2026-04-24
江苏东华,27090,2026-04-24
中金期货,46200,2026-04-24
神华期货,55680,2026-04-24
津投期货,93050,2026-04-24
东华期货,100040,2026-04-24
锦泰期货,102545,2026-04-24
云期货,106080,2026-04-24
中辉期货,164255,2026-04-24
红塔期货,194770,2026-04-24
云财富期货,241780,2026-04-24
浙江新世纪,301555,2026-04-24
宁证期货,361100,2026-04-24
迈科期货,422200,2026-04-24
上海浙石,511200,2026-04-24
财达期货,541020,2026-04-24
英大期货,584675,2026-04-24
前海期货,595200,2026-04-24
