broker,grade,money,open_order,variety
国金期货,D,-2047365750,2047365750,沪银
东证期货,A,1444014735,1444014735,沪银
永安期货,A,-1172162000,1172162000,沪铜
中信建投,E,1014663475,1014663475,沪铝
东吴期货,A,-996772800,996772800,沪银
宏源期货,A,-947279540,947279540,豆油
中信期货,A,921150660,921150660,沪金
创元期货,A,-909830850,909830850,棉花
光大期货,D,-894557900,894557900,豆油
国投安信,A,-878988820,878988820,玉米
宏源期货,A,807256630,807256630,豆粕
东证期货,A,788815360,788815360,玉米
银河期货,D,745861430,745861430,沪镍
中泰期货,E,718803880,718803880,沪金
中粮期货,E,716809725,716809725,棉花
徽商期货,E,714474600,714474600,螺纹钢
瑞达期货,A,-671462230,671462230,棕榈油
一德期货,A,-658492560,658492560,菜油
山金期货,D,643113900,643113900,沪铜
方正中期,E,-640809080,640809080,沪金
东证期货,A,-628466280,628466280,沪金
方正中期,E,-621998250,621998250,热卷
广发期货,E,617173330,617173330,豆粕
宝城期货,A,-606611040,606611040,热卷
华安期货,D,605163000,605163000,沪铜
东海期货,A,-603837200,603837200,螺纹钢
方正中期,E,-580061100,580061100,沪镍
乾坤期货,A,579179310,579179310,菜油
东证期货,A,-569386050,569386050,豆油
国信期货,D,-568485650,568485650,沪铜
银河期货,D,562621500,562621500,沪铜
东海期货,A,-560832640,560832640,生猪
平安期货,D,536246540,536246540,沪金
中银期货,B,-530855050,530855050,铁矿石
五矿期货,E,-528431125,528431125,沪铝
一德期货,A,528126700,528126700,豆粕
东证期货,A,-520170390,520170390,沪镍
先锋期货,D,-515298500,515298500,沪铜
东证期货,A,-503574100,503574100,棕榈油
国泰君安,A,-498230940,498230940,沪金
中泰期货,E,-494792050,494792050,沪铜
五矿期货,E,482223900,482223900,PTA
国泰君安,A,479658550,479658550,沪铜
银河期货,D,-467632840,467632840,豆油
中粮期货,E,461256770,461256770,玉米
创元期货,A,-457177650,457177650,天然橡胶
华闻期货,D,455886400,455886400,生猪
国贸期货,E,444476850,444476850,天然橡胶
东证期货,A,441870250,441870250,棉花
中信期货,A,439959900,439959900,螺纹钢
国泰君安,A,-438871200,438871200,沪铝
金瑞期货,E,435477550,435477550,沪铜
摩根大通,B,429093600,429093600,菜油
中泰期货,E,-428132640,428132640,焦煤
海通期货,A,-411527820,411527820,玻璃
摩根大通,B,-409183840,409183840,棕榈油
东证期货,A,-402796900,402796900,PTA
乾坤期货,A,386898860,386898860,甲醇
乾坤期货,A,380311800,380311800,螺纹钢
永安期货,A,-377082620,377082620,沪金
广发期货,E,-369031290,369031290,棕榈油
永安期货,A,-365092500,365092500,纯碱
国泰君安,A,-354837440,354837440,热卷
国信期货,D,-354201810,354201810,沪镍
光大期货,D,351934800,351934800,棉花
广发期货,E,-351824920,351824920,碳酸锂
国泰君安,A,-351667730,351667730,玉米
新湖期货,B,351568180,351568180,热卷
国泰君安,A,348460300,348460300,棕榈油
申银万国,A,-348335180,348335180,对二甲苯
华鑫期货,D,345711930,345711930,沪银
云晨期货,D,343110900,343110900,沪银
建信期货,D,-337422000,337422000,沪铝
南华期货,A,336963690,336963690,沪银
永安期货,A,-335420690,335420690,热卷
广发期货,E,332293360,332293360,豆油
中信期货,A,328768500,328768500,白糖
紫金天风,D,323746350,323746350,沪铜
东证期货,A,321426900,321426900,沪铜
东吴期货,A,-318887040,318887040,沪金
东证期货,A,317949950,317949950,铁矿石
浙商期货,A,-316609670,316609670,PVC
银河期货,D,316375780,316375780,沪金
银河期货,D,316038790,316038790,棕榈油
国泰君安,A,-313246150,313246150,天然橡胶
申银万国,A,-311960670,311960670,棕榈油
国泰君安,A,-310366180,310366180,豆油
平安期货,D,310237845,310237845,沪银
光大期货,D,-307646520,307646520,菜油
光大期货,D,-307524610,307524610,菜粕
光大期货,D,306114360,306114360,沪镍
建信期货,D,305499080,305499080,玻璃
东吴期货,A,-300008380,300008380,豆一
中信建投,E,-299268535,299268535,PVC
一德期货,A,-296999320,296999320,豆油
福能期货,D,294849260,294849260,沪镍
海通期货,A,-293788750,293788750,PTA
国泰君安,A,-289763655,289763655,沪银
中粮期货,E,-288804420,288804420,碳酸锂
中粮期货,E,286533540,286533540,棕榈油
