日期,数字经济指数,变化值
2016-01-01,100.0,0.0
2016-02-01,89.63,-10.370000000000005
2016-03-01,107.7,18.070000000000007
2016-04-01,116.13,8.429999999999993
2016-05-01,126.67,10.540000000000006
2016-06-01,164.77,38.10000000000001
2016-07-01,184.06,19.289999999999992
2016-08-01,207.31,23.25
2016-09-01,213.52,6.210000000000008
2016-10-01,217.35,3.829999999999984
2016-11-01,217.99,0.6400000000000148
2016-12-01,224.14,6.149999999999977
2017-01-01,233.65,9.51000000000002
2017-02-01,242.39,8.73999999999998
2017-03-01,237.87,-4.519999999999982
2017-04-01,259.07,21.19999999999999
2017-05-01,256.08,-2.990000000000009
2017-06-01,253.33,-2.7499999999999716
2017-07-01,260.0,6.6699999999999875
2017-08-01,291.51,31.50999999999999
2017-09-01,301.62,10.110000000000014
2017-10-01,319.37,17.75
2017-11-01,329.47,10.100000000000023
2017-12-01,354.52,25.049999999999955
2018-01-01,358.38,3.8600000000000136
2018-02-01,372.08,13.699999999999989
2018-03-01,364.46,-7.6200000000000045
2018-04-01,380.28,15.819999999999993
2018-05-01,383.49,3.2100000000000364
2018-06-01,373.79,-9.699999999999989
2018-07-01,363.37,-10.420000000000016
2018-08-01,431.19,67.82
2018-09-01,434.51,3.319999999999993
2018-10-01,446.33,11.819999999999993
2018-11-01,430.63,-15.699999999999989
2018-12-01,451.02,20.389999999999986
2019-01-01,508.48,57.460000000000036
2019-02-01,537.85,29.370000000000005
2019-03-01,574.56,36.70999999999992
2019-04-01,587.05,12.490000000000009
2019-05-01,575.79,-11.259999999999991
2019-06-01,555.85,-19.93999999999994
2019-07-01,510.91,-44.94
2019-08-01,541.44,30.53000000000003
2019-09-01,543.7,2.259999999999991
2019-10-01,574.07,30.370000000000005
2019-11-01,604.2,30.129999999999995
2019-12-01,589.34,-14.860000000000014
2020-01-01,573.13,-16.210000000000036
2020-02-01,516.95,-56.17999999999995
2020-03-01,600.54,83.58999999999992
2020-04-01,631.28,30.74000000000001
2020-05-01,636.34,5.060000000000059
2020-06-01,660.21,23.870000000000005
2020-07-01,685.66,25.449999999999932
2020-08-01,648.8,-36.860000000000014
2020-09-01,578.0,-70.79999999999995
2020-10-01,593.0,15.0
2020-11-01,616.25,23.25
2020-12-01,601.0,-15.25
2021-01-01,622.0,21.0
2021-02-01,525.0,-97.0
2021-03-01,588.0,63.0
2021-04-01,589.0,1.0
2021-05-01,573.25,-15.75
2021-06-01,569.39,-3.8600000000000136
2021-07-01,579.0,9.610000000000014
2021-08-01,585.0,6.0
2021-09-01,439.0,-146.0
2021-10-01,413.0,-26.0
2021-11-01,593.0,180.0
2021-12-01,435.0,-158.0
2022-01-01,421.0,-14.0
2022-02-01,417.0,-4.0
2022-03-01,420.0,3.0
2022-04-01,464.0,44.0
2022-05-01,444.8,-19.19999999999999
2022-06-01,467.63,22.829999999999984
2022-07-01,416.0,-51.629999999999995
2022-08-01,499.0,83.0
2022-09-01,489.0,-10.0
2022-10-01,461.0,-28.0
2022-11-01,481.0,20.0
2022-12-01,512.0,31.0
2023-01-01,474.0,-38.0
2023-02-01,476.0,2.0
2023-03-01,516.0,40.0
2023-04-01,527.0,11.0
2023-05-01,412.0,-115.0
2023-06-01,502.0,90.0
2023-07-01,495.0,-7.0
2023-08-01,494.75,-0.25
2023-09-01,520.0,25.25
2023-10-01,503.0,-17.0
2023-11-01,481.0,-22.0
2023-12-01,512.0,31.0
2024-01-01,488.0,-24.0
2024-02-01,457.0,-31.0
2024-03-01,459.0,2.0
2024-04-01,488.0,29.0
