日期,指数,4个月均线,6个月均线,12个月均线,预售均价,成交均价,成交均重
2015-01-05,92.88,,,,0.0,13.49,0
2015-01-12,92.82,,,,0.0,13.48,0
2015-01-19,93.29,,,,0.0,13.55,0
2015-01-26,93.48,,,,0.0,13.57,0
2015-02-02,92.12,,,,0.0,13.38,0
2015-02-09,90.84,,,,0.0,13.19,0
2015-02-16,87.31,,,,0.0,12.68,0
2015-02-23,87.19,,,,0.0,12.66,0
2015-03-02,87.18,,,,0.0,12.66,0
2015-03-09,84.73,,,,0.0,12.3,0
2015-03-16,83.13,,,,0.0,12.07,0
2015-03-23,83.15,,,,0.0,12.07,0
2015-03-30,84.25,,,,0.0,12.23,0
2015-04-06,85.51,,,,0.0,12.42,0
2015-04-13,86.27,,,,0.0,12.53,0
2015-04-20,86.84,,,,0.0,12.61,0
2015-04-27,88.84,88.23,,,0.0,12.9,0
2015-05-04,90.12,88.06,,,0.0,13.09,0
2015-05-11,92.04,88.02,,,0.0,13.36,0
2015-05-18,95.57,88.15,,,0.0,13.88,0
2015-05-25,97.02,88.36,,,0.0,14.09,0
2015-06-01,98.79,88.75,,,0.0,14.34,0
2015-06-08,100.49,89.32,,,0.0,14.59,0
2015-06-15,101.94,90.18,,,0.0,14.8,0
2015-06-22,103.47,91.14,,,0.0,15.02,0
2015-06-29,105.18,92.2,91.71,,0.0,15.27,0
2015-07-06,109.3,93.64,92.34,,0.0,15.87,0
2015-07-13,113.9,95.45,93.15,,0.0,16.54,0
2015-07-20,116.81,97.43,94.06,,0.0,16.96,0
2015-07-27,119.69,99.52,95.06,,0.0,17.38,0
2015-08-03,124.29,101.8,96.3,,0.0,18.05,0
2015-08-10,127.58,104.23,97.71,,0.0,18.52,0
2015-08-17,125.66,106.51,99.19,,0.0,18.25,0
2015-08-24,125.57,108.67,100.67,,0.0,18.23,0
2015-08-31,125.21,110.73,102.13,,0.0,18.18,0
2015-09-07,125.86,112.72,103.71,,0.0,18.27,0
2015-09-14,125.33,114.47,105.33,,0.0,18.2,0
2015-09-21,121.6,115.92,106.81,,0.0,17.66,0
2015-09-28,121.42,117.25,108.24,,0.0,17.63,0
2015-10-05,121.42,118.48,109.62,,0.0,17.63,0
2015-10-12,120.79,119.59,110.95,,0.0,17.54,0
2015-10-19,119.02,120.51,112.19,,17.72,17.28,98
2015-10-26,116.44,121.17,113.25,,17.58,16.91,97
2015-11-02,114.7,121.49,114.19,,16.98,16.65,92
2015-11-09,112.66,121.41,114.99,,17.47,16.36,91
2015-11-16,111.86,121.12,115.61,,16.44,16.24,88
2015-11-23,111.84,120.66,116.18,,17.04,16.24,96
2015-11-30,113.79,120.04,116.76,,18.34,16.52,103
2015-12-07,114.91,119.3,117.32,,18.24,16.68,101
2015-12-14,115.98,118.73,117.86,,17.36,16.84,103
2015-12-21,114.52,118.08,118.28,,18.03,16.63,99
2015-12-28,113.78,117.41,118.61,105.16,17.4,16.52,102
2016-01-04,116.67,116.87,118.9,105.62,17.9,16.94,106
2016-01-11,121.03,116.61,119.17,106.16,18.07,17.57,114
2016-01-18,122.93,116.69,119.41,106.73,18.3,17.85,114
2016-01-25,123.09,116.79,119.54,107.3,18.39,17.87,114
2016-02-01,126.62,117.1,119.63,107.96,18.66,18.39,115
2016-02-08,127.62,117.5,119.63,108.67,18.33,18.53,118
2016-02-15,126.89,117.96,119.67,109.43,18.66,18.42,124
2016-02-22,127.25,118.6,119.74,110.2,18.42,18.48,120
2016-02-29,124.99,119.2,119.73,110.93,18.6,18.15,116
2016-03-07,127.86,120.1,119.81,111.76,17.6,18.57,112
2016-03-14,131.37,121.24,120.04,112.69,19.08,19.08,112
2016-03-21,133.81,122.54,120.51,113.66,19.3,19.43,108
2016-03-28,136.95,123.9,121.11,114.67,19.82,19.89,109
2016-04-04,137.69,125.24,121.73,115.68,19.8,19.99,108
2016-04-11,137.56,126.51,122.38,116.66,19.76,19.97,109
2016-04-18,138.23,127.9,123.12,117.65,19.77,20.07,108
2016-04-25,139.39,129.41,124.0,118.62,20.05,20.24,110
2016-05-02,140.72,130.82,125.0,119.6,20.44,20.43,111
2016-05-09,143.5,132.15,126.19,120.59,20.76,20.84,112
2016-05-16,142.95,133.32,127.38,121.5,20.69,20.76,110
2016-05-23,144.26,134.57,128.63,122.41,20.85,20.95,113
2016-05-30,145.76,135.69,129.86,123.31,20.93,21.16,114
2016-06-06,145.28,136.73,131.03,124.17,20.96,21.1,112
2016-06-13,144.82,137.79,132.14,125.0,20.89,21.03,112
2016-06-20,139.47,138.51,133.1,125.69,20.3,20.25,113
2016-06-27,136.88,139.21,133.98,126.3,19.99,19.87,113
2016-07-04,131.11,139.4,134.54,126.72,19.36,19.04,111
2016-07-11,129.17,139.27,134.85,127.01,18.94,18.76,111
2016-07-18,128.72,138.97,135.08,127.24,18.85,18.69,111
2016-07-25,127.3,138.4,135.24,127.39,18.71,18.48,111
2016-08-01,125.25,137.67,135.18,127.41,18.45,18.19,112
2016-08-08,126.43,137.01,135.14,127.38,18.74,18.36,112
2016-08-15,128.71,136.45,135.21,127.44,18.64,18.69,111
2016-08-22,127.96,135.78,135.24,127.49,18.58,18.58,113
2016-08-29,127.46,135.0,135.33,127.53,18.61,18.51,113
2016-09-05,127.82,134.08,135.33,127.57,18.53,18.56,113
2016-09-12,127.44,133.17,135.18,127.61,18.56,18.5,113
2016-09-19,125.98,132.09,134.88,127.69,18.4,18.29,112
2016-09-26,123.31,130.77,134.35,127.73,18.1,17.91,113
2016-10-03,119.37,129.25,133.65,127.69,17.61,17.33,113
2016-10-10,116.75,127.6,132.85,127.61,17.34,16.95,113
2016-10-17,109.97,125.86,131.76,127.44,16.57,15.97,111
2016-10-24,110.56,124.31,130.65,127.33,16.26,16.05,108
2016-10-31,112.18,123.2,129.55,127.28,16.4,16.29,106
2016-11-07,114.17,122.32,128.43,127.31,16.57,16.58,109
2016-11-14,115.07,121.51,127.35,127.37,16.7,16.71,107
2016-11-21,115.48,120.82,126.25,127.44,16.72,16.77,106
2016-11-28,115.9,120.27,125.1,127.48,16.71,16.83,106
