日期,产业指数,变化值
2016-01-01,100.0,0.0
2016-02-01,83.97,-16.03
2016-03-01,139.06,55.09
2016-04-01,126.96,-12.100000000000009
2016-05-01,138.11,11.15000000000002
2016-06-01,184.85,46.73999999999998
2016-07-01,131.16,-53.69
2016-08-01,166.59,35.43000000000001
2016-09-01,140.89,-25.700000000000017
2016-10-01,117.99,-22.89999999999999
2016-11-01,210.43,92.44000000000001
2016-12-01,134.34,-76.09
2017-01-01,176.22,41.879999999999995
2017-02-01,155.31,-20.909999999999997
2017-03-01,108.4,-46.91
2017-04-01,225.83,117.43
2017-05-01,207.7,-18.130000000000024
2017-06-01,132.84,-74.85999999999999
2017-07-01,168.63,35.78999999999999
2017-08-01,177.34,8.710000000000008
2017-09-01,196.11,18.77000000000001
2017-10-01,258.1,61.99000000000001
2017-11-01,236.38,-21.720000000000027
2017-12-01,258.0,21.620000000000005
2018-01-01,251.77,-6.22999999999999
2018-02-01,210.4,-41.370000000000005
2018-03-01,208.93,-1.4699999999999989
2018-04-01,244.7,35.76999999999998
2018-05-01,243.03,-1.6699999999999875
2018-06-01,232.16,-10.870000000000005
2018-07-01,217.9,-14.259999999999991
2018-08-01,207.3,-10.599999999999994
2018-09-01,216.05,8.75
2018-10-01,210.08,-5.969999999999999
2018-11-01,193.82,-16.26000000000002
2018-12-01,292.74,98.92000000000002
2019-01-01,244.86,-47.879999999999995
2019-02-01,292.37,47.50999999999999
2019-03-01,230.4,-61.97
2019-04-01,335.32,104.91999999999999
2019-05-01,312.29,-23.029999999999973
2019-06-01,370.79,58.5
2019-07-01,244.51,-126.28000000000003
2019-08-01,271.85,27.340000000000032
2019-09-01,259.63,-12.220000000000027
2019-10-01,342.54,82.91000000000003
2019-11-01,246.29,-96.25000000000003
2019-12-01,306.05,59.76000000000002
2020-01-01,226.24,-79.81
2020-02-01,170.04,-56.20000000000002
2020-03-01,202.53,32.49000000000001
2020-04-01,298.04,95.51000000000002
2020-05-01,283.66,-14.379999999999995
2020-06-01,277.4,-6.260000000000048
2020-07-01,682.05,404.65
2020-08-01,312.49,-369.55999999999995
2020-09-01,262.38,-50.110000000000014
2020-10-01,245.0,-17.379999999999995
2020-11-01,276.08,31.079999999999984
2020-12-01,284.82,8.740000000000009
2021-01-01,295.64,10.819999999999993
2021-02-01,214.59,-81.04999999999998
2021-03-01,405.42,190.83
2021-04-01,324.67,-80.75
2021-05-01,292.72,-31.94999999999999
2021-06-01,293.08,0.3599999999999568
2021-07-01,444.39,151.31
2021-08-01,434.87,-9.519999999999982
2021-09-01,353.89,-80.98000000000002
2021-10-01,260.27,-93.62
2021-11-01,261.97,1.7000000000000455
2021-12-01,310.74,48.76999999999998
2022-01-01,275.81,-34.93000000000001
2022-02-01,227.98,-47.83000000000001
2022-03-01,218.43,-9.549999999999983
2022-04-01,454.4,235.96999999999997
2022-05-01,334.25,-120.14999999999998
2022-06-01,304.15,-30.100000000000023
2022-07-01,792.02,487.87
2022-08-01,344.49,-447.53
2022-09-01,376.11,31.620000000000005
2022-10-01,475.66,99.55000000000001
2022-11-01,283.75,-191.91000000000003
2022-12-01,470.71,186.95999999999998
2023-01-01,288.59,-182.12
2023-02-01,299.82,11.230000000000018
2023-03-01,255.36,-44.45999999999998
2023-04-01,420.35,164.99
2023-05-01,285.67,-134.68
2023-06-01,426.12,140.45
2023-07-01,455.98,29.860000000000014
2023-08-01,416.42,-39.56
2023-09-01,452.07,35.64999999999998
2023-10-01,444.75,-7.319999999999993
2023-11-01,376.4,-68.35000000000002
2023-12-01,464.62,88.22000000000003
2024-01-01,401.85,-62.76999999999998
2024-02-01,347.55,-54.30000000000001
2024-03-01,378.16,30.610000000000014
2024-04-01,530.86,152.7
