日期,新经济行业入职平均工资水平,变化值
2015-08-01,7409.0,0.0
2015-09-01,7307.0,-102.0
2015-10-01,7367.0,60.0
2015-11-01,7298.0,-69.0
2015-12-01,7494.0,196.0
2016-01-01,7466.0,-28.0
2016-02-01,8341.0,875.0
2016-03-01,8920.0,579.0
2016-04-01,8383.0,-537.0
2016-05-01,8494.0,111.0
2016-06-01,8442.0,-52.0
2016-07-01,8455.0,13.0
2016-08-01,8538.0,83.0
2016-09-01,8632.0,94.0
2016-10-01,8626.0532,-5.946799999999712
2016-11-01,8550.359,-75.69419999999991
2016-12-01,8359.9913,-190.3677000000007
2017-01-01,9077.784,717.7927
2017-02-01,8911.6432,-166.14079999999922
2017-03-01,8957.5813,45.938099999999395
2017-04-01,9216.2122,258.6309000000001
2017-05-01,9114.8405,-101.37169999999969
2017-06-01,8975.3506,-139.4899000000005
2017-07-01,9146.4895,171.13889999999992
2017-08-01,9312.6645,166.1750000000011
2017-09-01,9499.8494,187.18489999999838
2017-10-01,9950.464,450.6146000000008
2017-11-01,10122.31,171.84599999999955
2017-12-01,10261.02,138.71000000000095
2018-01-01,10481.3,220.27999999999884
2018-02-01,10759.14,277.84000000000015
2018-03-01,10264.62,-494.5199999999986
2018-04-01,10419.7372,155.11719999999877
2018-05-01,10443.86,24.122800000001007
2018-06-01,10369.1213,-74.73869999999988
2018-07-01,10357.14,-11.981300000001283
2018-08-01,10319.6114,-37.52859999999964
2018-09-01,10160.9452,-158.66619999999966
2018-10-01,10149.9385,-11.00669999999991
2018-11-01,10211.544,61.605499999999665
2018-12-01,10285.9185,74.3744999999999
2019-01-01,10540.55,254.6314999999995
2019-02-01,10627.2562,86.70620000000054
2019-03-01,10532.5615,-94.69470000000001
2019-04-01,10672.2815,139.71999999999935
2019-05-01,10775.9603,103.6788000000015
2019-06-01,10867.0503,91.09000000000015
2019-07-01,10880.406,13.35570000000007
2019-08-01,10959.988,79.58199999999852
2019-09-01,11054.3518,94.36380000000099
2019-10-01,10966.9678,-87.38400000000001
2019-11-01,10990.4467,23.478900000000067
2019-12-01,11311.4967,321.0499999999993
2020-01-01,11654.1378,342.64110000000073
2020-02-01,12224.1922,570.0543999999991
2020-03-01,11593.2488,-630.9434000000001
2020-04-01,11349.7239,-243.52489999999852
2020-05-01,11457.5706,107.84669999999824
2020-06-01,11460.4608,2.8902000000016415
2020-07-01,11455.9473,-4.513500000000931
2020-08-01,11487.577,31.629699999999502
2020-09-01,11422.6649,-64.91209999999955
2020-10-01,11874.3638,451.6988999999994
2020-11-01,12430.8994,556.5356000000011
2020-12-01,12524.3306,93.43119999999908
2021-01-01,12180.6226,-343.7079999999987
2021-02-01,12277.5684,96.94579999999951
2021-03-01,12132.5089,-145.0594999999994
2021-04-01,12554.7347,422.22580000000016
2021-05-01,12664.7484,110.01369999999952
2021-06-01,12953.7533,289.0048999999999
2021-07-01,12799.2796,-154.47370000000046
2021-08-01,12932.7931,133.51350000000093
2021-09-01,12905.0505,-27.742600000001403
2021-10-01,13100.2551,195.20460000000094
2021-11-01,13112.4344,12.179299999999785
2021-12-01,13124.6137,12.179299999999785
2022-01-01,13241.5176,116.90389999999934
2022-02-01,13253.6968,12.179200000000492
2022-03-01,13718.6978,465.0010000000002
2022-04-01,13768.3787,49.68089999999938
2022-05-01,13550.2194,-218.15929999999935
2022-06-01,14263.7086,713.4892
2022-07-01,13813.8295,-449.8791000000001
2022-08-01,14013.0968,199.26729999999952
2022-09-01,14056.8271,43.73030000000108
2022-10-01,14217.5608,160.73369999999886
2022-11-01,13661.857,-555.7037999999993
2022-12-01,14079.6767,417.8197
2023-01-01,14021.98,-57.69670000000042
2023-02-01,13579.6086,-442.3714
2023-03-01,13729.7727,150.16409999999996
2023-04-01,13676.3245,-53.448199999998906
2023-05-01,13851.5157,175.1911999999993
2023-06-01,13755.2299,-96.28579999999965
2023-07-01,14190.6488,435.4189000000006
2023-08-01,13756.23,-434.4188000000013
2023-09-01,13878.4612,122.23120000000017
2023-10-01,13757.23,-121.23120000000017
2023-11-01,13756.8514,-0.3786000000000058
