日期,新动能指数,变化幅度
2026-03-23,2139.2306,0.0
2026-03-24,2168.7077,1.3779299903432602
2026-03-25,2199.1071,1.4017287806927712
2026-03-26,2173.3221,-1.172521338319553
2026-03-27,2210.267,1.6999274980915147
2026-03-30,2197.2544,-0.5887343022358847
2026-03-31,2167.1157,-1.3716527317000695
2026-04-01,2219.9748,2.439145265755775
2026-04-02,2185.5723,-1.5496797531215285
2026-04-03,2160.3113,-1.1558071082800587
2026-04-07,2158.6666,-0.0761325462677453
2026-04-08,2240.5933,3.7952456391366773
2026-04-09,2224.5048,-0.7180464210082141
2026-04-10,2275.4015,2.28800135652662
2026-04-13,2282.5117,0.31248111597008604
2026-04-14,2305.6018,1.0116092723642947
2026-04-15,2300.0086,-0.24259176064139945
2026-04-16,2344.828,1.9486622789149508
2026-04-17,2345.0639,0.010060439401104421
2026-04-20,2345.0163,-0.0020297954354390768
2026-04-21,2345.926,0.038792907324360915
2026-04-22,2364.953,0.8110656516872248
2026-04-23,2351.1024,-0.5856606875485373
2026-04-24,2352.4264,0.056314008271167365
