time,qvix
9:30:00,14.92
9:31:52,14.85
9:32:52,14.89
9:33:53,14.95
9:34:53,14.93
9:35:54,14.92
9:36:54,14.88
9:37:54,14.95
9:38:55,14.97
9:39:55,14.91
9:40:56,14.94
9:41:56,14.92
9:42:57,14.91
9:43:57,14.99
9:44:58,15.06
9:45:58,15.07
9:46:58,15.04
9:47:59,15.18
9:48:59,15.17
9:50:00,15.1
9:51:00,15.13
9:52:01,15.1
9:53:01,15.02
9:54:01,15.03
9:55:02,15.07
9:56:02,15.11
9:57:03,15.04
9:58:03,15.02
9:59:04,15.08
10:00:04,15.0
10:01:05,15.05
10:02:05,15.01
10:03:06,15.08
10:04:06,15.03
10:05:06,15.15
10:06:07,15.1
10:07:07,15.1
10:08:08,15.1
10:09:08,14.99
10:10:08,14.98
10:11:09,14.93
10:12:09,14.91
10:13:10,14.94
10:14:10,14.9
10:15:11,14.88
10:16:11,14.86
10:17:11,14.88
10:18:12,14.9
10:19:12,14.9
10:20:13,14.96
10:21:13,15.0
10:22:14,14.96
10:23:14,14.99
10:24:15,14.97
10:25:15,14.96
10:26:16,14.96
10:27:16,15.01
10:28:17,15.01
10:29:17,15.03
10:30:17,15.01
10:31:18,14.95
10:32:19,14.96
10:33:19,14.98
10:34:19,15.0
10:35:20,15.03
10:36:20,15.0
10:37:21,15.0
10:38:21,14.99
10:39:22,14.92
10:40:22,14.83
10:41:23,14.82
10:42:23,14.77
10:43:24,14.79
10:44:24,14.78
10:45:25,14.75
10:46:25,14.71
10:47:26,14.72
10:48:26,14.77
10:49:27,14.76
10:50:27,14.71
10:51:28,14.72
10:52:28,14.69
10:53:29,14.67
10:54:29,14.71
10:55:29,14.64
10:56:30,14.68
10:57:30,14.66
10:58:31,14.67
10:59:31,14.67
11:00:32,14.61
11:01:32,14.64
11:02:32,14.67
11:03:33,14.76
11:04:34,14.74
11:05:34,14.75
11:06:34,14.78
11:07:35,14.77
11:08:35,14.79
11:09:36,14.76
11:10:36,14.75
