time,qvix
9:30:00,30.43
9:31:52,30.59
9:32:53,30.64
9:33:53,30.74
9:34:54,30.67
9:35:54,30.59
9:36:54,30.71
9:37:55,30.81
9:38:55,30.85
9:39:56,30.84
9:40:56,30.81
9:41:57,30.69
9:42:57,30.92
9:43:58,30.85
9:44:58,30.86
9:45:58,30.85
9:46:59,30.84
9:47:59,31.01
9:49:00,30.91
9:50:00,30.84
9:51:01,30.94
9:52:01,30.95
9:53:01,30.9
9:54:02,30.85
9:55:02,30.93
9:56:03,31.01
9:57:03,30.93
9:58:04,30.98
9:59:04,30.96
10:00:05,30.78
10:01:05,30.94
10:02:06,30.92
10:03:06,30.96
10:04:06,30.91
10:05:07,31.08
10:06:07,31.13
10:07:08,31.12
10:08:08,31.05
10:09:08,30.89
10:10:09,30.89
10:11:09,30.83
10:12:10,30.98
10:13:10,31.02
10:14:11,30.83
10:15:11,30.85
10:16:11,31.0
10:17:12,30.8
10:18:12,31.08
10:19:13,31.04
10:20:13,31.14
10:21:14,31.14
10:22:14,31.03
10:23:15,30.99
10:24:15,30.93
10:25:16,31.1
10:26:16,30.96
10:27:17,30.98
10:28:17,30.94
10:29:17,30.91
10:30:18,31.04
10:31:18,30.89
10:32:19,30.91
10:33:19,30.81
10:34:20,30.73
10:35:20,30.85
10:36:21,30.74
10:37:21,30.65
10:38:22,30.76
10:39:22,30.69
10:40:23,30.72
10:41:23,30.69
10:42:24,30.83
10:43:24,30.83
10:44:25,30.87
10:45:25,30.76
10:46:26,30.78
10:47:26,30.69
10:48:27,30.76
10:49:27,30.84
10:50:28,30.84
10:51:28,30.77
10:52:29,30.82
10:53:29,30.81
10:54:29,30.81
10:55:30,30.67
10:56:30,30.75
10:57:31,30.76
10:58:31,30.75
10:59:31,30.81
11:00:32,30.71
11:01:32,30.76
11:02:33,30.76
11:03:33,30.81
11:04:34,30.81
11:05:34,30.8
11:06:35,30.84
11:07:35,30.89
11:08:36,30.77
11:09:36,30.89
11:10:37,30.82
