time,qvix
9:30:00,32.18
9:31:53,31.85
9:32:53,31.73
9:33:53,32.0
9:34:54,31.92
9:35:54,32.09
9:36:54,32.21
9:37:55,32.38
9:38:55,32.5
9:39:56,32.46
9:40:56,32.51
9:41:57,32.44
9:42:57,32.58
9:43:58,32.72
9:44:58,32.84
9:45:59,32.73
9:46:59,32.75
9:47:59,32.87
9:49:00,32.85
9:50:00,32.85
9:51:01,32.69
9:52:01,32.78
9:53:02,32.69
9:54:02,32.7
9:55:02,32.77
9:56:03,32.94
9:57:03,32.97
9:58:04,32.93
9:59:04,32.91
10:00:05,32.78
10:01:05,32.89
10:02:06,32.8
10:03:06,32.94
10:04:06,32.94
10:05:07,32.93
10:06:07,32.9
10:07:08,32.86
10:08:08,32.9
10:09:08,32.72
10:10:09,32.61
10:11:09,32.68
10:12:10,32.8
10:13:10,32.86
10:14:11,32.58
10:15:11,32.58
10:16:12,32.73
10:17:12,32.55
10:18:12,32.71
10:19:13,32.84
10:20:13,32.67
10:21:14,32.78
10:22:14,32.68
10:23:15,32.77
10:24:15,32.52
10:25:16,32.7
10:26:16,32.53
10:27:17,32.45
10:28:17,32.35
10:29:17,32.47
10:30:18,32.41
10:31:18,32.28
10:32:19,32.22
10:33:20,32.17
10:34:20,31.98
10:35:20,32.19
10:36:21,32.09
10:37:21,32.02
10:38:22,32.1
10:39:22,31.97
10:40:23,32.08
10:41:23,31.99
10:42:24,32.11
10:43:24,32.1
10:44:25,31.98
10:45:25,32.0
10:46:26,31.75
10:47:26,31.87
10:48:27,31.88
10:49:27,31.99
10:50:28,31.85
10:51:28,31.97
10:52:29,32.05
10:53:29,32.07
10:54:30,31.86
10:55:30,31.88
10:56:30,31.82
10:57:31,31.87
10:58:31,31.86
10:59:31,31.78
11:00:32,31.7
11:01:32,32.03
11:02:33,31.95
11:03:34,32.05
11:04:34,31.94
11:05:34,32.19
11:06:35,32.12
11:07:35,32.17
11:08:36,32.09
11:09:36,32.14
11:10:37,32.05
