日期,巴西糖进口成本,泰国糖进口利润空间,巴西糖进口利润空间,泰国糖进口成本,日照现货价
2014-12-05,4637.0,4491.0,4770,133.0,279.0
2014-12-08,4697.0,4549.0,4770,73.0,221.0
2014-12-09,4774.0,4590.0,4770,-4.0,180.0
2014-12-10,4782.0,4607.0,4820,38.0,213.0
2014-12-11,4758.0,4772.0,4870,112.0,98.0
2014-12-12,4711.0,4725.0,4870,159.0,145.0
2014-12-15,4718.0,4743.0,4870,152.0,127.0
2014-12-16,4649.0,4675.0,4870,221.0,195.0
2014-12-17,4671.0,4683.0,4870,199.0,187.0
2014-12-18,4763.0,4770.0,4870,107.0,100.0
2014-12-19,4764.0,4770.0,4870,106.0,100.0
2014-12-22,4703.0,4721.0,4870,167.0,149.0
2014-12-23,4696.0,4715.0,4870,174.0,155.0
2014-12-24,4670.0,4688.0,4870,200.0,182.0
2014-12-26,4651.0,4671.0,4855,204.0,184.0
2014-12-29,4631.0,4651.0,4855,224.0,204.0
2014-12-30,4624.0,4643.0,4855,231.0,212.0
2014-12-31,4597.0,4615.0,4855,258.0,240.0
2015-01-05,4544.0,4556.0,4855,311.0,299.0
2015-01-06,4718.0,4717.0,4680,-38.0,-37.0
2015-01-07,4625.0,4692.0,4750,125.0,58.0
2015-01-08,4648.0,4720.0,4750,102.0,30.0
2015-01-09,4650.0,4724.0,4750,100.0,26.0
2015-01-12,4665.0,4682.0,4750,85.0,68.0
2015-01-13,4708.0,4688.0,4750,42.0,62.0
2015-01-14,4722.0,4676.0,4750,28.0,74.0
2015-01-15,4830.0,4784.0,4750,-80.0,-34.0
2015-01-16,4838.0,4819.0,4750,-88.0,-69.0
2015-01-20,4980.0,4971.0,4820,-160.0,-151.0
2015-01-21,5005.0,4996.2,4970,-35.0,-26.199999999999815
2015-01-22,5006.0,4992.0,4970,-36.0,-22.0
2015-01-23,4804.0,4802.0,5000,196.0,198.0
2015-01-26,4893.0,4885.0,5100,207.0,215.0
2015-01-27,4832.0,4811.0,5120,288.0,309.0
2015-01-28,4835.0,4815.0,5120,285.0,305.0
2015-01-29,4768.0,4729.0,5070,302.0,341.0
2015-01-30,4757.0,4717.0,5070,313.0,353.0
2015-02-02,4606.0,4566.0,5070,464.0,504.0
2015-02-03,4665.0,4625.85,5070,405.0,444.1499999999997
2015-02-04,4666.0,4616.0,5070,404.0,454.0
2015-02-05,4661.0,4545.0,5070,409.0,525.0
2015-02-06,4694.0,4576.0,5070,376.0,494.0
2015-02-09,4809.0,4655.0,5070,261.0,415.0
2015-02-10,4735.0,4581.0,5070,335.0,489.0
2015-02-11,4729.0,4581.0,5070,341.0,489.0
2015-02-12,4852.0,4712.0,5170,318.0,458.0
2015-02-13,4806.0,4666.0,5170,364.0,504.0
2015-02-24,4564.0,4463.0,5170,606.0,707.0
2015-02-25,4476.0,4362.0,5170,694.0,808.0
2015-02-26,4528.0,4441.0,5170,642.0,729.0
2015-02-27,4498.0,4396.0,5170,672.0,774.0
