日期,综合PMI,变化值
2014-04-30,49.5,0.0
2014-05-31,50.2,0.7000000000000028
2014-06-30,52.4,2.1999999999999957
2014-07-31,51.6,-0.7999999999999972
2014-08-31,52.8,1.1999999999999957
2014-09-30,52.3,-0.5
2014-10-31,51.7,-0.5999999999999943
2014-11-30,51.1,-0.6000000000000014
2014-12-31,51.4,0.29999999999999716
2015-01-31,51.0,-0.3999999999999986
2015-02-28,51.8,0.7999999999999972
2015-03-31,51.8,0.0
2015-04-30,51.3,-0.5
2015-05-31,51.2,-0.09999999999999432
2015-06-30,50.6,-0.6000000000000014
2015-07-31,50.2,-0.3999999999999986
2015-08-31,48.8,-1.4000000000000057
2015-09-30,48.0,-0.7999999999999972
2015-10-31,49.9,1.8999999999999986
2015-11-30,50.5,0.6000000000000014
2015-12-31,49.4,-1.1000000000000014
2016-01-31,50.1,0.7000000000000028
2016-02-29,49.4,-0.7000000000000028
2016-03-31,51.3,1.8999999999999986
2016-04-30,50.8,-0.5
2016-05-31,50.5,-0.29999999999999716
2016-06-30,50.3,-0.20000000000000284
2016-07-31,51.9,1.6000000000000014
2016-08-31,51.8,-0.10000000000000142
2016-09-30,51.4,-0.3999999999999986
2016-10-31,52.9,1.5
2016-11-30,52.9,0.0
2016-12-31,53.5,0.6000000000000014
2017-01-31,52.2,-1.2999999999999972
2017-02-28,52.6,0.3999999999999986
2017-03-31,52.1,-0.5
2017-04-30,51.2,-0.8999999999999986
2017-05-31,51.5,0.29999999999999716
2017-06-30,51.1,-0.3999999999999986
2017-07-31,51.9,0.7999999999999972
2017-08-31,52.4,0.5
2017-09-30,51.4,-1.0
2017-10-31,51.0,-0.3999999999999986
2017-11-30,51.6,0.6000000000000014
2017-12-31,53.0,1.3999999999999986
2018-01-31,53.7,0.7000000000000028
2018-02-28,53.3,-0.4000000000000057
2018-03-31,51.8,-1.5
2018-04-30,52.3,0.5
2018-05-31,52.3,0.0
2018-06-30,53.0,0.7000000000000028
2018-07-31,52.3,-0.7000000000000028
2018-08-31,52.0,-0.29999999999999716
2018-09-30,52.1,0.10000000000000142
2018-10-31,50.5,-1.6000000000000014
2018-11-30,51.9,1.3999999999999986
2018-12-31,52.2,0.30000000000000426
2019-01-31,50.9,-1.3000000000000043
2019-02-28,50.7,-0.19999999999999574
2019-03-31,52.9,2.1999999999999957
2019-04-30,52.7,-0.19999999999999574
2019-05-31,51.5,-1.2000000000000028
2019-06-30,50.6,-0.8999999999999986
2019-07-31,50.9,0.29999999999999716
2019-08-31,51.6,0.7000000000000028
2019-09-30,51.9,0.29999999999999716
2019-10-31,52.0,0.10000000000000142
2019-11-30,53.2,1.2000000000000028
2019-12-31,52.6,-0.6000000000000014
2020-01-31,51.9,-0.7000000000000028
2020-02-29,27.5,-24.4
2020-03-31,46.7,19.200000000000003
2020-04-30,47.6,0.8999999999999986
2020-05-31,54.5,6.899999999999999
2020-06-30,55.7,1.2000000000000028
2020-07-31,54.5,-1.2000000000000028
2020-08-31,55.1,0.6000000000000014
2020-09-30,54.5,-0.6000000000000014
2020-10-31,55.7,1.2000000000000028
2020-11-30,57.5,1.7999999999999972
2020-12-31,55.8,-1.7000000000000028
2021-01-31,52.2,-3.5999999999999943
2021-02-28,51.7,-0.5
2021-03-31,53.1,1.3999999999999986
2021-04-30,54.7,1.6000000000000014
2021-05-31,53.8,-0.9000000000000057
2021-06-30,50.6,-3.1999999999999957
2021-07-31,53.1,2.5
2021-08-31,47.2,-5.899999999999999
2021-09-30,51.4,4.199999999999996
2021-10-31,51.5,0.10000000000000142
2021-11-30,51.2,-0.29999999999999716
2021-12-31,53.0,1.7999999999999972
2022-01-31,50.1,-2.8999999999999986
2022-02-28,50.1,0.0
2022-03-31,43.9,-6.200000000000003
2022-04-30,37.2,-6.699999999999996
2022-05-31,42.2,5.0
2022-06-30,55.3,13.099999999999994
2022-07-31,54.0,-1.2999999999999972
