日期,制造业PMI,变化值
2014-04-30,48.1,0.0
2014-05-31,49.4,1.2999999999999972
2014-06-30,50.7,1.3000000000000043
2014-07-31,51.7,1.0
2014-08-31,50.2,-1.5
2014-09-30,50.2,0.0
2014-10-31,50.4,0.19999999999999574
2014-11-30,50.0,-0.3999999999999986
2014-12-31,49.6,-0.3999999999999986
2015-01-31,49.7,0.10000000000000142
2015-02-28,50.7,1.0
2015-03-31,49.6,-1.1000000000000014
2015-04-30,48.9,-0.7000000000000028
2015-05-31,49.2,0.30000000000000426
2015-06-30,49.4,0.19999999999999574
2015-07-31,47.8,-1.6000000000000014
2015-08-31,47.3,-0.5
2015-09-30,47.2,-0.09999999999999432
2015-10-31,48.3,1.0999999999999943
2015-11-30,48.6,0.30000000000000426
2015-12-31,48.2,-0.3999999999999986
2016-01-31,48.4,0.19999999999999574
2016-02-29,48.0,-0.3999999999999986
2016-03-31,49.7,1.7000000000000028
2016-04-30,49.4,-0.30000000000000426
2016-05-31,49.2,-0.19999999999999574
2016-06-30,48.6,-0.6000000000000014
2016-07-31,50.6,2.0
2016-08-31,50.0,-0.6000000000000014
2016-09-30,50.1,0.10000000000000142
2016-10-31,51.2,1.1000000000000014
2016-11-30,50.9,-0.30000000000000426
2016-12-31,51.9,1.0
2017-01-31,51.0,-0.8999999999999986
2017-02-28,51.7,0.7000000000000028
2017-03-31,51.2,-0.5
2017-04-30,50.3,-0.9000000000000057
2017-05-31,49.6,-0.6999999999999957
2017-06-30,50.4,0.7999999999999972
2017-07-31,51.1,0.7000000000000028
2017-08-31,51.6,0.5
2017-09-30,51.0,-0.6000000000000014
2017-10-31,51.0,0.0
2017-11-30,50.8,-0.20000000000000284
2017-12-31,51.5,0.7000000000000028
2018-01-31,51.5,0.0
2018-02-28,51.6,0.10000000000000142
2018-03-31,51.0,-0.6000000000000014
2018-04-30,51.1,0.10000000000000142
2018-05-31,51.1,0.0
2018-06-30,51.0,-0.10000000000000142
2018-07-31,50.8,-0.20000000000000284
2018-08-31,50.6,-0.19999999999999574
2018-09-30,50.0,-0.6000000000000014
2018-10-31,50.1,0.10000000000000142
2018-11-30,50.2,0.10000000000000142
2018-12-31,49.7,-0.5
2019-01-31,48.3,-1.4000000000000057
2019-02-28,49.9,1.6000000000000014
2019-03-31,50.8,0.8999999999999986
2019-04-30,50.2,-0.5999999999999943
2019-05-31,50.2,0.0
2019-06-30,49.4,-0.8000000000000043
2019-07-31,49.9,0.5
2019-08-31,50.4,0.5
2019-09-30,51.4,1.0
2019-10-31,51.7,0.30000000000000426
2019-11-30,51.8,0.09999999999999432
2019-12-31,51.5,-0.29999999999999716
2020-01-31,51.1,-0.3999999999999986
2020-02-29,40.3,-10.800000000000004
2020-03-31,50.1,9.800000000000004
2020-04-30,49.4,-0.7000000000000028
2020-05-31,50.7,1.3000000000000043
2020-06-30,51.2,0.5
2020-07-31,52.8,1.5999999999999943
2020-08-31,53.1,0.30000000000000426
2020-09-30,53.0,-0.10000000000000142
2020-10-31,53.6,0.6000000000000014
2020-11-30,54.9,1.2999999999999972
2020-12-31,53.0,-1.8999999999999986
2021-01-31,51.5,-1.5
2021-02-28,50.9,-0.6000000000000014
2021-03-31,50.6,-0.29999999999999716
2021-04-30,51.9,1.2999999999999972
2021-05-31,52.0,0.10000000000000142
2021-06-30,51.3,-0.7000000000000028
2021-07-31,50.3,-1.0
2021-08-31,49.2,-1.0999999999999943
2021-09-30,50.0,0.7999999999999972
2021-10-31,50.6,0.6000000000000014
2021-11-30,49.9,-0.7000000000000028
2021-12-31,50.9,1.0
2022-01-31,49.1,-1.7999999999999972
2022-02-28,50.4,1.2999999999999972
2022-03-31,48.1,-2.299999999999997
2022-04-30,46.0,-2.1000000000000014
2022-05-31,48.1,2.1000000000000014
2022-06-30,51.7,3.6000000000000014
2022-07-31,50.4,-1.3000000000000043
