日期,服务业PMI,变化值
2014-04-30,51.4,0.0
2014-05-31,50.7,-0.6999999999999957
2014-06-30,53.1,2.3999999999999986
2014-07-31,50.0,-3.1000000000000014
2014-08-31,54.1,4.100000000000001
2014-09-30,53.5,-0.6000000000000014
2014-10-31,52.9,-0.6000000000000014
2014-11-30,53.0,0.10000000000000142
2014-12-31,53.4,0.3999999999999986
2015-01-31,51.8,-1.6000000000000014
2015-02-28,52.0,0.20000000000000284
2015-03-31,52.3,0.29999999999999716
2015-04-30,52.9,0.6000000000000014
2015-05-31,53.5,0.6000000000000014
2015-06-30,51.8,-1.7000000000000028
2015-07-31,53.8,2.0
2015-08-31,51.5,-2.299999999999997
2015-09-30,50.5,-1.0
2015-10-31,52.0,1.5
2015-11-30,51.2,-0.7999999999999972
2015-12-31,50.2,-1.0
2016-01-31,52.4,2.1999999999999957
2016-02-29,51.2,-1.1999999999999957
2016-03-31,52.2,1.0
2016-04-30,51.8,-0.4000000000000057
2016-05-31,51.2,-0.5999999999999943
2016-06-30,52.7,1.5
2016-07-31,51.7,-1.0
2016-08-31,52.1,0.3999999999999986
2016-09-30,52.0,-0.10000000000000142
2016-10-31,52.4,0.3999999999999986
2016-11-30,53.1,0.7000000000000028
2016-12-31,53.4,0.29999999999999716
2017-01-31,53.1,-0.29999999999999716
2017-02-28,52.6,-0.5
2017-03-31,52.2,-0.3999999999999986
2017-04-30,51.5,-0.7000000000000028
2017-05-31,52.8,1.2999999999999972
2017-06-30,51.6,-1.1999999999999957
2017-07-31,51.5,-0.10000000000000142
2017-08-31,52.7,1.2000000000000028
2017-09-30,50.6,-2.1000000000000014
2017-10-31,51.2,0.6000000000000014
2017-11-30,51.9,0.6999999999999957
2017-12-31,53.9,2.0
2018-01-31,54.7,0.8000000000000043
2018-02-28,54.2,-0.5
2018-03-31,52.3,-1.9000000000000057
2018-04-30,52.9,0.6000000000000014
2018-05-31,52.9,0.0
2018-06-30,53.9,1.0
2018-07-31,52.8,-1.1000000000000014
2018-08-31,51.5,-1.2999999999999972
2018-09-30,53.1,1.6000000000000014
2018-10-31,50.8,-2.3000000000000043
2018-11-30,53.8,3.0
2018-12-31,53.9,0.10000000000000142
2019-01-31,53.6,-0.29999999999999716
2019-02-28,51.1,-2.5
2019-03-31,54.4,3.299999999999997
2019-04-30,54.5,0.10000000000000142
2019-05-31,52.7,-1.7999999999999972
2019-06-30,52.0,-0.7000000000000028
2019-07-31,51.6,-0.3999999999999986
2019-08-31,52.1,0.5
2019-09-30,51.3,-0.8000000000000043
2019-10-31,51.1,-0.19999999999999574
2019-11-30,53.5,2.3999999999999986
2019-12-31,52.5,-1.0
2020-01-31,51.8,-0.7000000000000028
2020-02-29,26.5,-25.299999999999997
2020-03-31,43.0,16.5
2020-04-30,44.4,1.3999999999999986
2020-05-31,55.0,10.600000000000001
2020-06-30,58.4,3.3999999999999986
2020-07-31,54.1,-4.299999999999997
2020-08-31,54.0,-0.10000000000000142
2020-09-30,54.8,0.7999999999999972
2020-10-31,56.8,2.0
2020-11-30,57.8,1.0
2020-12-31,56.3,-1.5
2021-01-31,52.0,-4.299999999999997
2021-02-28,51.5,-0.5
2021-03-31,54.3,2.799999999999997
2021-04-30,56.3,2.0
2021-05-31,55.1,-1.1999999999999957
2021-06-30,50.3,-4.800000000000004
2021-07-31,54.9,4.600000000000001
2021-08-31,46.7,-8.199999999999996
2021-09-30,53.4,6.699999999999996
2021-10-31,53.8,0.3999999999999986
2021-11-30,52.1,-1.6999999999999957
2021-12-31,53.1,1.0
2022-01-31,51.4,-1.7000000000000028
2022-02-28,50.2,-1.1999999999999957
2022-03-31,42.0,-8.200000000000003
2022-04-30,36.2,-5.799999999999997
2022-05-31,41.4,5.199999999999996
2022-06-30,54.5,13.100000000000001
2022-07-31,55.5,1.0
