日期,溢出指数,变化值
2016-01-01,100.0,0.0
2016-02-01,137.07,37.06999999999999
2016-03-01,127.53,-9.539999999999992
2016-04-01,168.82,41.28999999999999
2016-05-01,157.51,-11.310000000000002
2016-06-01,127.79,-29.719999999999985
2016-07-01,142.9,15.11
2016-08-01,141.82,-1.0800000000000125
2016-09-01,142.25,0.4300000000000068
2016-10-01,122.94,-19.310000000000002
2016-11-01,134.64,11.699999999999989
2016-12-01,137.67,3.030000000000001
2017-01-01,128.99,-8.679999999999978
2017-02-01,125.34,-3.6500000000000057
2017-03-01,99.36,-25.980000000000004
2017-04-01,97.82,-1.5400000000000063
2017-05-01,98.97,1.1500000000000057
2017-06-01,108.48,9.510000000000005
2017-07-01,102.2,-6.280000000000001
2017-08-01,105.03,2.8299999999999983
2017-09-01,108.9,3.8700000000000045
2017-10-01,84.86,-24.040000000000006
2017-11-01,64.37,-20.489999999999995
2017-12-01,68.61,4.239999999999995
2018-01-01,75.4,6.790000000000006
2018-02-01,62.25,-13.150000000000006
2018-03-01,114.41,52.16
2018-04-01,111.42,-2.989999999999995
2018-05-01,112.5,1.0799999999999983
2018-06-01,103.9,-8.599999999999994
2018-07-01,111.29,7.390000000000001
2018-08-01,92.59,-18.700000000000003
2018-09-01,101.29,8.700000000000003
2018-10-01,106.93,5.640000000000001
2018-11-01,28.38,-78.55000000000001
2018-12-01,36.16,7.779999999999998
2019-01-01,71.8,35.64
2019-02-01,57.59,-14.209999999999994
2019-03-01,52.89,-4.700000000000003
2019-04-01,77.45,24.560000000000002
2019-05-01,63.64,-13.810000000000002
2019-06-01,53.4,-10.240000000000002
2019-07-01,48.44,-4.960000000000001
2019-08-01,51.41,2.969999999999999
2019-09-01,54.42,3.010000000000005
2019-10-01,64.46,10.039999999999992
2019-11-01,81.76,17.30000000000001
2019-12-01,63.44,-18.320000000000007
2020-01-01,79.26,15.820000000000007
2020-02-01,77.94,-1.3200000000000074
2020-03-01,105.67,27.730000000000004
2020-04-01,97.44,-8.230000000000004
2020-05-01,96.44,-1.0
2020-06-01,118.18,21.74000000000001
2020-07-01,85.82,-32.360000000000014
2020-08-01,103.58,17.760000000000005
2020-09-01,80.85,-22.730000000000004
2020-10-01,120.0,39.150000000000006
2020-11-01,102.0,-18.0
2020-12-01,90.7,-11.299999999999997
2021-01-01,102.12,11.420000000000002
2021-02-01,64.82,-37.30000000000001
2021-03-01,77.12,12.300000000000011
2021-04-01,84.12,7.0
2021-05-01,82.04,-2.0799999999999983
2021-06-01,68.25,-13.790000000000006
2021-07-01,60.95,-7.299999999999997
2021-08-01,70.23,9.280000000000001
2021-09-01,25.26,-44.97
2021-10-01,29.86,4.599999999999998
2021-11-01,94.92,65.06
2021-12-01,48.24,-46.68
2022-01-01,29.41,-18.830000000000002
2022-02-01,26.29,-3.120000000000001
2022-03-01,27.42,1.1300000000000026
2022-04-01,25.8,-1.620000000000001
2022-05-01,25.93,0.129999999999999
2022-06-01,29.24,3.3099999999999987
2022-07-01,14.94,-14.299999999999999
2022-08-01,35.87,20.93
2022-09-01,31.82,-4.049999999999997
2022-10-01,21.24,-10.580000000000002
2022-11-01,27.17,5.930000000000003
2022-12-01,31.57,4.399999999999999
2023-01-01,30.49,-1.0800000000000018
2023-02-01,28.6,-1.889999999999997
2023-03-01,41.58,12.979999999999997
2023-04-01,31.05,-10.529999999999998
2023-05-01,21.83,-9.220000000000002
2023-06-01,27.16,5.330000000000002
2023-07-01,27.08,-0.08000000000000185
2023-08-01,26.87,-0.2099999999999973
2023-09-01,30.29,3.419999999999998
2023-10-01,25.69,-4.599999999999998
2023-11-01,25.68,-0.010000000000001563
2023-12-01,26.06,0.379999999999999
2024-01-01,26.65,0.5899999999999999
2024-02-01,24.98,-1.6699999999999982
2024-03-01,24.82,-0.16000000000000014
2024-04-01,25.33,0.509999999999998
