index_code,display_name,publish_date
000001,上证指数,1991-07-15
000002,A股指数,1992-02-21
000003,B股指数,1992-02-21
000004,工业指数,1993-05-03
000005,商业指数,1993-05-03
000006,地产指数,1993-05-03
000007,公用指数,1993-05-03
000008,综合指数,1993-05-03
000009,上证380,2010-11-29
000010,上证180,2002-07-01
000011,基金指数,2000-06-09
000012,国债指数,2003-01-02
000013,上证企业债指数,2003-06-09
000015,红利指数,2005-01-04
000016,上证50,2004-01-02
000017,新综指,2006-01-04
000018,180金融,2007-12-10
000019,治理指数,2008-01-02
000020,中型综指,2008-05-12
000021,180治理,2008-09-10
000022,上证公司债指数,2008-11-19
000025,180基建,2008-12-15
000026,180资源,2008-12-15
000027,180运输,2008-12-15
000028,180成长,2009-01-09
000029,180价值,2009-01-09
000030,180R成长,2009-01-09
000031,180R价值,2009-01-09
000032,上证能源,2009-01-09
000033,上证材料,2009-01-09
000034,上证工业,2009-01-09
000035,上证可选,2009-01-09
000036,上证消费,2009-01-09
000037,上证医药,2009-01-09
000038,上证金融,2009-01-09
000039,上证信息,2009-01-09
000040,上证电信,2009-01-09
000041,上证公用,2009-01-09
000042,上证央企,2009-03-30
000043,超大盘,2009-04-23
000044,上证中盘,2009-07-03
000045,上证小盘,2009-07-03
000046,上证中小,2009-07-03
000047,上证全指,2009-07-03
000048,责任指数,2009-08-05
000049,上证民企,2009-08-25
000050,50等权,2011-01-04
000051,180等权,2011-05-24
000052,50基本,2012-01-09
000053,180基本,2012-01-09
000054,上证海外,2010-01-04
000055,上证地企,2010-01-04
000056,上证国企,2010-01-04
000057,全指成长,2010-01-04
000058,全指价值,2010-01-04
000059,全R成长,2010-01-04
000060,全R价值,2010-01-04
000061,沪企债30,2010-01-04
000062,上证沪企,2010-01-04
000063,上证周期,2010-02-03
000064,非周期,2010-02-03
000065,上证龙头,2010-02-09
000066,上证商品,2010-04-30
000067,上证新兴,2010-04-30
000068,上证资源,2010-05-28
000069,消费80,2010-05-28
000070,能源等权,2010-08-18
000071,材料等权,2010-08-18
000072,工业等权,2010-08-18
000073,可选等权,2010-08-18
000074,消费等权,2010-08-18
000075,医药等权,2010-08-18
000076,金融等权,2010-08-18
000077,信息等权,2010-08-18
000078,电信等权,2010-08-18
000079,公用等权,2010-08-18
000090,上证流通,2010-12-02
000091,沪财中小,2011-04-06
000092,资源50,2011-05-10
000093,180分层,2011-05-24
000094,上证上游,2011-05-10
000095,上证中游,2011-05-10
000096,上证下游,2011-05-10
000097,高端装备,2011-05-24
000098,上证F200,2011-07-01
000099,上证F300,2011-07-01
000100,上证F500,2011-07-01
000101,5年信用,2013-04-01
000102,沪投资品,2011-06-13
000103,沪消费品,2011-06-13
000104,380能源,2011-06-13
000105,380材料,2011-06-13
000106,380工业,2011-06-13
000107,380可选,2011-06-13
000108,380消费,2011-06-13
000109,380医药,2011-06-13
000110,380金融,2011-06-13
000111,380信息,2011-06-13
000112,380电信,2011-06-13
000113,380公用,2011-06-13
