日期,综合价格,原糖价格,现货价格
2005-10-03,3927.0,15.51,
2005-10-04,3932.0,11.41,
2005-10-10,3950.0,11.62,3550.0
2005-10-11,3986.0,11.79,3640.0
2005-10-12,4020.0,11.67,3641.0
2005-10-13,4052.0,11.64,3668.0
2005-10-14,4080.0,11.6,3692.0
2005-10-15,4082.0,11.6,
2005-10-16,4081.0,11.6,
2005-10-17,4072.0,11.39,3652.0
2005-10-18,4051.0,11.63,3563.0
2005-10-19,4021.0,11.66,3644.0
2005-10-20,3989.0,11.57,3612.0
2005-10-21,3944.0,11.73,3538.0
2005-10-22,3923.0,11.73,
2005-10-23,3903.0,11.73,
2005-10-24,3894.0,11.57,3546.0
2005-10-25,3852.0,11.75,3563.0
2005-10-26,3824.0,11.72,3626.0
2005-10-27,3810.0,11.71,3580.0
2005-10-28,3806.0,11.56,3566.0
2005-10-29,3812.0,11.56,
2005-10-30,3827.0,11.56,
2005-10-31,3808.0,11.3,3509.0
2005-11-01,3809.0,11.21,3515.0
2005-11-02,3805.0,11.42,3518.0
2005-11-03,3794.0,11.49,3507.0
2005-11-04,3786.0,11.49,3520.0
2005-11-06,3765.0,11.49,
2005-11-07,3790.0,11.32,3516.0
2005-11-08,3791.0,11.23,3491.0
2005-11-09,3789.0,11.16,3528.0
2005-11-10,3786.0,11.42,3507.0
2005-11-11,3780.0,11.42,3492.0
2005-11-12,3776.0,11.42,
2005-11-13,3774.0,11.42,
2005-11-14,3768.0,11.66,3490.0
2005-11-15,3757.0,11.94,3497.0
2005-11-16,3747.0,11.99,3502.0
2005-11-17,3737.0,11.93,3501.0
2005-11-18,3730.0,11.88,3520.0
2005-11-19,3729.0,11.88,
2005-11-20,3729.0,11.88,
2005-11-21,3736.0,11.97,3587.0
2005-11-22,3745.0,11.96,3580.0
2005-11-23,3762.0,12.05,3630.0
2005-11-26,3847.0,12.05,
2005-11-27,3871.0,12.05,
2005-11-28,3863.0,12.35,3768.0
2005-11-29,3901.0,12.37,3735.0
2005-11-30,3936.0,12.34,3794.0
2005-12-01,3973.0,12.84,3894.0
2005-12-02,4012.0,12.78,3821.0
2005-12-03,4033.0,12.78,
2005-12-04,4056.0,12.78,
2005-12-05,4055.0,13.19,3861.0
2005-12-06,4096.0,13.03,3951.0
2005-12-07,4133.0,13.33,3945.0
2005-12-08,4159.0,13.54,3915.0
2005-12-09,4176.0,13.44,3991.0
2005-12-10,4185.0,13.44,
2005-12-11,4190.0,13.44,
2005-12-12,4218.0,13.88,4013.0
2005-12-13,4277.0,13.76,4113.0
2005-12-14,4336.0,13.54,4210.0
2005-12-15,4387.0,13.79,4110.0
2005-12-16,4442.0,14.12,4249.0
2005-12-17,4465.0,14.12,
2005-12-18,4464.0,14.12,
2005-12-19,4496.0,14.27,4272.0
2005-12-20,4525.0,14.15,4300.0
2005-12-21,4546.0,14.04,4265.0
2005-12-22,4570.0,14.42,4300.0
2005-12-23,4581.0,14.35,4310.0
2005-12-24,4571.0,14.35,
2005-12-25,4557.0,14.35,
2005-12-27,4546.0,14.47,4357.0
2005-12-28,4541.0,14.51,4368.0
2005-12-29,4541.0,14.67,4372.0
2005-12-30,4547.0,14.59,4379.0
2005-12-31,4555.0,14.59,
2006-01-01,4558.0,14.59,
2006-01-02,4559.0,14.59,
2006-01-03,4559.0,14.1,
2006-01-04,4560.0,14.76,4355.0
2006-01-05,4579.0,14.76,4461.0
2006-01-06,4601.0,14.8,4460.0
2006-01-07,4622.0,14.8,
2006-01-08,4622.0,14.8,
2006-01-09,4620.0,14.51,4243.0
2006-01-10,4628.0,14.57,4343.0
2006-01-11,4640.0,14.62,4443.0
2006-01-12,4637.0,14.64,4419.0
2006-01-13,4610.0,15.15,4440.0
2006-01-14,4597.0,15.15,
2006-01-15,4591.0,15.15,
2006-01-17,4626.0,15.45,4599.0
2006-01-18,4646.0,15.53,4635.0
2006-01-19,4673.0,15.85,4621.0
2006-01-20,4726.0,16.78,4728.0
