时间,前值,现值,发布日期
2008年01月,,7.0,2008-01-05
2008年02月,7.0,7.0,2008-02-05
2008年03月,7.0,7.25,2008-03-05
2008年04月,7.25,7.25,2008-04-05
2008年05月,7.25,7.25,2008-05-05
2008年06月,7.25,7.25,2008-06-05
2008年07月,7.25,7.25,2008-07-05
2008年08月,7.25,7.25,2008-08-05
2008年09月,7.25,7.0,2008-09-05
2008年10月,7.0,6.0,2008-10-05
2008年11月,6.0,5.25,2008-11-05
2008年12月,5.25,4.25,2008-12-05
2009年01月,4.25,4.25,2009-01-05
2009年02月,4.25,3.25,2009-02-05
2009年03月,3.25,3.25,2009-03-05
2009年04月,3.25,3.0,2009-04-05
2009年05月,3.0,3.0,2009-05-05
2009年06月,3.0,3.0,2009-06-05
2009年07月,3.0,3.0,2009-07-05
2009年08月,3.0,3.0,2009-08-05
2009年09月,3.0,3.0,2009-09-05
2009年10月,3.0,3.25,2009-10-05
2009年11月,3.25,3.5,2009-11-05
2009年12月,3.5,3.75,2009-12-05
2010年01月,3.75,3.75,2010-01-05
2010年02月,3.75,3.75,2010-02-05
2010年03月,3.75,3.75,2010-03-05
2010年04月,3.75,4.25,2010-04-05
2010年05月,4.25,4.25,2010-05-05
2010年06月,4.25,4.25,2010-06-05
2010年07月,4.25,4.25,2010-07-05
2010年08月,4.25,4.25,2010-08-05
2010年09月,4.25,4.25,2010-09-05
2010年10月,4.25,4.5,2010-10-05
2010年11月,4.5,4.75,2010-11-05
2010年12月,4.75,4.75,2010-12-05
2011年01月,4.75,4.75,2011-01-05
2011年02月,4.75,4.75,2011-02-05
2011年03月,4.75,4.75,2011-03-05
2011年04月,4.75,4.75,2011-04-05
2011年05月,4.75,4.75,2011-05-05
2011年06月,4.75,4.75,2011-06-05
2011年07月,4.75,4.75,2011-07-05
2011年08月,4.75,4.75,2011-08-05
2011年09月,4.75,4.75,2011-09-05
2011年10月,4.75,4.75,2011-10-05
2011年11月,4.75,4.5,2011-11-05
2011年12月,4.5,4.25,2011-12-05
2012年01月,4.25,4.25,2012-01-05
2012年02月,4.25,4.25,2012-02-05
2012年03月,4.25,4.25,2012-03-05
2012年04月,4.25,4.25,2012-04-05
2012年05月,4.25,3.75,2012-05-05
2012年06月,3.75,3.5,2012-06-05
2012年07月,3.5,3.5,2012-07-05
2012年08月,3.5,3.5,2012-08-05
2012年09月,3.5,3.5,2012-09-05
2012年10月,3.5,3.5,2012-10-05
2012年11月,3.5,3.5,2012-11-05
2012年12月,3.5,3.5,2012-12-05
2013年01月,3.5,3.5,2013-01-05
2013年02月,3.5,3.0,2013-02-05
2013年03月,3.0,3.0,2013-03-05
2013年04月,3.0,3.0,2013-04-05
2013年05月,3.0,2.75,2013-05-05
2013年06月,2.75,2.75,2013-06-05
2013年07月,2.75,2.75,2013-07-05
2013年08月,2.75,2.5,2013-08-05
2013年09月,2.5,2.5,2013-09-05
2013年10月,2.5,2.5,2013-10-05
2013年11月,2.5,2.5,2013-11-05
2013年12月,2.5,2.5,2013-12-05
2014年01月,2.5,2.5,2014-01-05
2014年02月,2.5,2.5,2014-02-05
2014年03月,2.5,2.5,2014-03-05
2014年04月,2.5,2.5,2014-04-05
2014年05月,2.5,2.5,2014-05-05
2014年06月,2.5,2.5,2014-06-05
2014年07月,2.5,2.5,2014-07-05
2014年08月,2.5,2.5,2014-08-05
2014年09月,2.5,2.5,2014-09-05
2014年10月,2.5,2.5,2014-10-05
2014年11月,2.5,2.5,2014-11-05
2014年12月,2.5,2.5,2014-12-05
2015年01月,2.5,2.5,2015-01-05
2015年02月,2.5,2.5,2015-02-05
2015年03月,2.5,2.25,2015-03-05
2015年04月,2.25,2.25,2015-04-05
2015年05月,2.25,2.0,2015-05-05
2015年06月,2.0,2.0,2015-06-02
2015年07月,2.0,2.0,2015-07-07
2015年08月,2.0,2.0,2015-08-04
2015年09月,2.0,2.0,2015-09-01
2015年10月,2.0,2.0,2015-10-06
2015年11月,2.0,2.0,2015-11-03
2015年12月,2.0,2.0,2015-12-01
2016年02月,2.0,2.0,2016-02-02
2016年03月,2.0,2.0,2016-03-01
2016年04月,2.0,2.0,2016-04-05
2016年05月,2.0,1.75,2016-05-03
