时间,前值,现值,发布日期
2008第1季度,0.9,1.3,2008-06-07
2008第2季度,1.3,1.5,2008-09-07
2008第3季度,1.5,1.2,2008-12-08
2008第4季度,1.2,-0.3,2009-03-09
2009第1季度,-0.3,0.1,2009-06-07
2009第2季度,0.1,0.5,2009-09-07
2009第3季度,0.5,0.9,2009-12-08
2009第4季度,0.9,0.5,2010-03-09
2010第1季度,0.5,0.9,2010-06-07
2010第2季度,0.9,0.6,2010-09-07
2010第3季度,0.6,0.7,2010-12-08
2010第4季度,0.7,0.4,2011-03-09
2011第1季度,0.4,1.5,2011-06-07
2011第2季度,1.5,0.9,2011-09-07
2011第3季度,0.9,0.6,2011-12-08
2011第4季度,0.6,0.0,2012-03-08
2012第1季度,0.0,0.1,2012-06-07
2012第2季度,0.1,0.5,2012-09-07
2012第3季度,0.5,1.4,2012-12-08
2012第4季度,1.4,0.3,2013-03-09
2013第1季度,0.3,0.3,2013-06-07
2013第2季度,0.3,0.4,2013-09-07
2013第3季度,0.4,1.2,2013-12-08
2013第4季度,1.2,0.7,2014-03-09
2014第1季度,0.7,0.6,2014-06-07
2014第2季度,0.6,0.5,2014-09-07
2014第3季度,0.5,0.4,2014-12-08
2014第4季度,0.4,0.2,2015-03-09
2015第1季度,0.2,0.2,2015-06-07
2015第2季度,0.2,0.7,2015-09-07
2015第3季度,0.7,0.4,2015-12-08
2015第4季度,0.4,0.4,2016-03-08
2016第1季度,0.4,-0.2,2016-06-07
2016第2季度,-0.2,0.4,2016-09-07
2016第3季度,0.4,0.7,2016-12-08
2016第4季度,0.7,0.5,2017-03-09
2017第1季度,0.5,0.5,2017-06-07
2017第2季度,0.5,0.2,2017-09-07
2017第3季度,0.2,0.6,2017-11-22
2017第4季度,0.6,0.7,2018-02-28
2018第1季度,0.7,0.4,2018-05-31
2018第2季度,0.4,0.4,2018-07-30
2018第3季度,0.4,0.4,2018-10-31
2018第4季度,0.4,0.5,2019-01-30
2019第1季度,0.5,0.0,2019-04-24
2019第2季度,0.0,0.6,2019-08-09
2019第3季度,0.6,0.6,2019-11-01
2019第4季度,0.6,0.7,2020-01-29
2020第1季度,0.7,0.4,2020-05-06
2020第2季度,0.4,-1.9,2020-07-30
2020第3季度,-1.9,1.5,2020-10-28
2020第4季度,1.5,0.9,2021-01-27
2021第1季度,0.9,0.6,2021-04-30
2021第2季度,0.6,0.7,2021-07-28
2021第3季度,0.7,0.8,2021-10-27
2021第4季度,0.8,1.3,2022-01-25
2022第1季度,1.3,2.2,2022-04-27
2022第2季度,2.2,1.8,2022-07-27
2022第3季度,1.8,1.8,2022-10-26
2022第4季度,1.8,1.8,2023-01-25
2023第1季度,1.8,1.4,2023-04-26
2023第2季度,1.4,0.9,2023-07-26
2023第3季度,0.9,1.2,2023-10-25
2023第4季度,1.2,0.6,2024-01-31
2024第1季度,0.6,0.9,2024-04-24
2024第2季度,0.9,1.0,2024-07-31
2024第3季度,1.0,0.2,2024-10-30
2024第4季度,0.2,0.2,2025-01-29
2025第1季度,0.2,0.9,2025-04-30
2025第2季度,0.9,0.7,2025-07-30
2025第3季度,0.7,1.3,2025-10-29
2025第4季度,1.3,0.6,2026-01-28
2026第1季度,0.6,,2026-04-29
