时间,前值,现值,发布日期
2008年03月,0.7,1.9,2008-04-29
2008年06月,1.9,1.0,2008-07-30
2008年09月,1.0,1.9,2008-10-30
2008年12月,1.9,1.4,2009-01-29
2009年03月,1.4,-0.3,2009-04-29
2009年06月,-0.3,-0.8,2009-07-30
2009年09月,-0.8,0.1,2009-10-30
2009年12月,0.1,-0.4,2010-01-29
2010年03月,-0.4,1.0,2010-04-29
2010年06月,1.0,0.3,2010-07-30
2010年09月,0.3,1.4,2010-10-30
2010年12月,1.4,0.1,2011-01-29
2011年03月,0.1,1.1,2011-04-29
2011年06月,1.1,0.8,2011-07-30
2011年09月,0.8,0.6,2011-10-30
2011年12月,0.6,0.3,2012-01-29
2012年03月,0.3,-0.3,2012-04-29
2012年06月,-0.3,0.5,2012-07-30
2012年09月,0.5,0.6,2012-10-30
2012年12月,0.6,0.2,2013-01-29
2013年03月,0.2,0.3,2013-04-29
2013年06月,0.3,0.1,2013-07-30
2013年09月,0.1,1.3,2013-10-30
2013年12月,1.3,0.2,2014-01-29
2014年03月,0.2,0.9,2014-04-29
2014年06月,0.9,-0.1,2014-07-30
2014年09月,-0.1,0.2,2014-10-30
2014年12月,0.2,0.1,2015-01-30
2015年03月,0.1,0.5,2015-05-26
2015年06月,0.5,0.3,2015-08-25
2015年09月,0.3,0.9,2015-10-30
2015年12月,0.9,0.3,2016-01-29
2016年03月,0.3,-0.2,2016-04-29
2016年06月,-0.2,0.1,2016-07-29
2016年09月,0.1,0.3,2016-10-28
2016年12月,0.3,0.5,2017-01-27
2017年03月,0.5,0.5,2017-04-28
2017年06月,0.5,0.5,2017-07-28
2017年09月,0.5,0.2,2017-10-27
2017年12月,0.2,0.6,2018-02-02
2018年03月,0.6,0.5,2018-04-27
2018年06月,0.5,0.3,2018-07-27
2018年09月,0.3,0.8,2018-11-02
2018年12月,0.8,0.5,2019-02-01
2019年03月,0.5,0.4,2019-04-26
2019年06月,0.4,0.4,2019-08-02
2019年09月,0.4,0.4,2019-11-01
2019年12月,0.4,0.3,2020-01-31
2020年03月,0.3,0.2,2020-05-01
2020年06月,0.2,-1.2,2020-07-31
2020年09月,-1.2,0.4,2020-10-30
2020年12月,0.4,0.5,2021-01-29
2021年03月,0.5,0.4,2021-04-30
2021年06月,0.4,0.7,2021-07-30
2021年09月,0.7,1.1,2021-10-29
2021年12月,1.1,1.3,2022-01-28
2022年03月,1.3,1.6,2022-04-29
2022年06月,1.6,1.4,2022-07-29
2022年09月,1.4,1.9,2022-10-28
2022年12月,1.9,0.7,2023-01-27
2023年03月,0.7,0.7,2023-04-28
2023年06月,0.7,0.5,2023-07-28
2023年09月,0.5,1.8,2023-10-27
2023年12月,1.8,0.9,2024-02-02
2024年03月,0.9,0.9,2024-04-26
2024年06月,0.9,1.0,2024-08-02
2024年09月,1.0,1.0,2024-11-01
2024年12月,1.0,0.8,2025-01-31
2025年03月,0.8,0.9,2025-05-02
2025年06月,0.9,0.7,2025-08-01
2025年09月,0.7,1.0,2025-10-31
2025年12月,1.0,0.8,2026-01-30
2026年03月,0.8,,2026-05-01
