时间,前值,现值,发布日期
2008年01月,23.4,-23.6,2008-03-06
2008年02月,-23.6,-7.7,2008-04-06
2008年03月,-7.7,6.1,2008-05-05
2008年04月,6.1,-1.5,2008-06-05
2008年05月,-1.5,3.7,2008-07-05
2008年06月,3.7,-3.9,2008-08-05
2008年07月,-3.9,5.2,2008-09-04
2008年08月,5.2,-1.0,2008-10-05
2008年09月,-1.0,-1.7,2008-11-05
2008年10月,-1.7,7.0,2008-12-05
2008年11月,7.0,1.7,2009-01-05
2008年12月,1.7,29.3,2009-02-04
2009年01月,29.3,-23.0,2009-03-07
2009年02月,-23.0,-13.1,2009-04-07
2009年03月,-13.1,12.3,2009-05-05
2009年04月,12.3,-0.4,2009-06-05
2009年05月,-0.4,2.9,2009-07-05
2009年06月,2.9,-2.5,2009-08-05
2009年07月,-2.5,2.4,2009-09-04
2009年08月,2.4,-1.1,2009-10-05
2009年09月,-1.1,-0.7,2009-11-05
2009年10月,-0.7,6.6,2009-12-05
2009年11月,6.6,2.7,2010-01-05
2009年12月,2.7,24.6,2010-02-04
2010年01月,24.6,-23.8,2010-03-07
2010年02月,-23.8,-11.9,2010-04-07
2010年03月,-11.9,11.8,2010-05-05
2010年04月,11.8,-2.4,2010-06-05
2010年05月,-2.4,2.6,2010-07-05
2010年06月,2.6,-1.0,2010-08-05
2010年07月,-1.0,4.6,2010-09-04
2010年08月,4.6,-1.8,2010-10-05
2010年09月,-1.8,0.3,2010-11-05
2010年10月,0.3,3.3,2010-12-05
2010年11月,3.3,2.9,2011-01-05
2010年12月,2.9,25.7,2011-02-04
2011年01月,25.7,-24.6,2011-03-07
2011年02月,-24.6,-9.9,2011-04-07
2011年03月,-9.9,10.3,2011-05-05
2011年04月,10.3,-0.5,2011-06-05
2011年05月,-0.5,0.3,2011-07-05
2011年06月,0.3,-0.8,2011-08-05
2011年07月,-0.8,3.5,2011-09-04
2011年08月,3.5,-0.2,2011-10-05
2011年09月,-0.2,0.4,2011-11-05
2011年10月,0.4,3.5,2011-12-05
2011年11月,3.5,3.2,2012-01-05
2011年12月,3.2,25.4,2012-02-04
2012年01月,25.4,-25.1,2012-03-06
2012年02月,-25.1,-7.1,2012-04-06
2012年03月,-7.1,9.4,2012-05-05
2012年04月,9.4,-4.0,2012-06-05
2012年05月,-4.0,4.2,2012-07-05
2012年06月,4.2,0.0,2012-08-05
2012年07月,0.0,0.4,2012-09-04
2012年08月,0.4,1.8,2012-10-05
2012年09月,1.8,-1.5,2012-11-05
2012年10月,-1.5,3.9,2012-12-05
2012年11月,3.9,3.8,2013-01-05
2012年12月,3.8,22.0,2013-02-04
2013年01月,22.0,-22.3,2013-03-07
2013年02月,-22.3,-10.3,2013-04-07
2013年03月,-10.3,10.9,2013-05-05
2013年04月,10.9,-3.8,2013-06-05
2013年05月,-3.8,4.3,2013-07-05
2013年06月,4.3,-2.3,2013-08-05
2013年07月,-2.3,2.3,2013-09-04
2013年08月,2.3,2.6,2013-10-05
2013年09月,2.6,-2.1,2013-11-05
2013年10月,-2.1,6.0,2013-12-05
2013年11月,6.0,4.0,2014-01-05
2013年12月,4.0,22.6,2014-02-04
2014年01月,22.6,-21.2,2014-03-07
2014年02月,-21.2,-11.6,2014-04-07
2014年03月,-11.6,10.3,2014-05-05
2014年04月,10.3,-1.8,2014-06-05
2014年05月,-1.8,2.9,2014-07-05
2014年06月,2.9,-2.5,2014-08-05
2014年07月,-2.5,3.9,2014-09-04
2014年08月,3.9,-0.1,2014-10-05
2014年09月,-0.1,0.7,2014-11-05
2014年10月,0.7,5.5,2014-12-05
2014年11月,5.5,1.9,2015-01-05
2014年12月,1.9,22.7,2015-02-04
2015年01月,22.7,-21.4,2015-03-07
2015年02月,-21.4,-11.2,2015-04-07
2015年03月,-11.2,11.0,2015-05-05
2015年04月,11.0,-3.3,2015-06-05
2015年05月,-3.3,3.2,2015-07-03
2015年06月,3.2,-1.0,2015-08-04
2015年07月,-1.0,3.1,2015-09-03
2015年08月,3.1,-0.8,2015-10-02
2015年09月,-0.8,0.8,2015-11-04
2015年10月,0.8,6.0,2015-12-04
2015年11月,6.0,1.3,2016-01-08
2015年12月,1.3,23.8,2016-02-05
2016年01月,23.8,-22.5,2016-03-04
2016年02月,-22.5,-8.2,2016-04-04
2016年03月,-8.2,7.8,2016-05-05
2016年04月,7.8,-2.2,2016-06-02
