时间,前值,现值,发布日期
2008年01月,-1148,-3854,2008-03-06
2008年02月,-3854,-2677,2008-04-06
2008年03月,-2677,-1434,2008-05-05
2008年04月,-1434,-1939,2008-06-05
2008年05月,-1939,-1285,2008-07-05
2008年06月,-1285,-1197,2008-08-05
2008年07月,-1197,-1973,2008-09-04
2008年08月,-1973,873,2008-10-05
2008年09月,873,-1185,2008-11-05
2008年10月,-1185,1063,2008-12-05
2008年11月,1063,114,2009-01-05
2008年12月,114,339,2009-02-04
2009年01月,339,-263,2009-03-07
2009年02月,-263,2863,2009-04-07
2009年03月,2863,2728,2009-05-05
2009年04月,2728,-63,2009-06-05
2009年05月,-63,141,2009-07-05
2009年06月,141,-1091,2009-08-05
2009年07月,-1091,-2345,2009-09-04
2009年08月,-2345,-870,2009-10-05
2009年09月,-870,-2944,2009-11-05
2009年10月,-2944,-2581,2009-12-05
2009年11月,-2581,-3003,2010-01-05
2009年12月,-3003,-1388,2010-02-04
2010年01月,-1388,-1484,2010-03-07
2010年02月,-1484,-378,2010-04-07
2010年03月,-378,-1599,2010-05-05
2010年04月,-1599,614,2010-06-05
2010年05月,614,2005,2010-07-05
2010年06月,2005,1974,2010-08-05
2010年07月,1974,934,2010-09-04
2010年08月,934,1749,2010-10-05
2010年09月,1749,298,2010-11-05
2010年10月,298,978,2010-12-05
2010年11月,978,-527,2011-01-05
2010年12月,-527,2126,2011-02-04
2011年01月,2126,480,2011-03-07
2011年02月,480,542,2011-04-07
2011年03月,542,2118,2011-05-05
2011年04月,2118,2124,2011-06-05
2011年05月,2124,2610,2011-07-05
2011年06月,2610,1240,2011-08-05
2011年07月,1240,768,2011-09-04
2011年08月,768,1660,2011-10-05
2011年09月,1660,226,2011-11-05
2011年10月,226,351,2011-12-05
2011年11月,351,-1864,2012-01-05
2011年12月,-1864,2515,2012-02-04
2012年01月,2515,-3048,2012-03-06
2012年02月,-3048,-211,2012-04-06
2012年03月,-211,-626,2012-05-05
2012年04月,-626,-219,2012-06-05
2012年05月,-219,-1236,2012-07-05
2012年06月,-1236,-811,2012-08-05
2012年07月,-811,-2327,2012-09-04
2012年08月,-2327,-2972,2012-10-05
2012年09月,-2972,-2804,2012-11-05
2012年10月,-2804,-4295,2012-12-05
2012年11月,-4295,-5050,2013-01-05
2012年12月,-5050,682,2013-02-04
2013年01月,682,-3232,2013-03-07
2013年02月,-3232,-52,2013-04-07
2013年03月,-52,1859,2013-05-05
2013年04月,1859,-1225,2013-06-05
2013年05月,-1225,-988,2013-07-05
2013年06月,-988,387,2013-08-05
2013年07月,387,-2897,2013-09-04
2013年08月,-2897,-1052,2013-10-05
2013年09月,-1052,-1507,2013-11-05
2013年10月,-1507,-2000,2013-12-05
2013年11月,-2000,-1784,2014-01-05
2013年12月,-1784,2844,2014-02-04
2014年01月,2844,-919,2014-03-07
2014年02月,-919,2551,2014-04-07
2014年03月,2551,2702,2014-05-05
2014年04月,2702,-126,2014-06-05
2014年05月,-126,-1229,2014-07-05
2014年06月,-1229,-1036,2014-08-05
2014年07月,-1036,-2208,2014-09-04
2014年08月,-2208,-500,2014-10-05
2014年09月,-500,-4045,2014-11-05
2014年10月,-4045,-2673,2014-12-05
2014年11月,-2673,-2379,2015-01-05
2014年12月,-2379,596,2015-02-04
2015年01月,596,-2478,2015-03-07
2015年02月,-2478,101,2015-04-07
2015年03月,101,109,2015-05-05
2015年04月,109,-3963,2015-06-05
2015年05月,-3963,-2351,2015-07-02
2015年06月,-2351,-4223,2015-08-04
2015年07月,-4223,-4226,2015-09-03
2015年08月,-4226,-2686,2015-10-06
2015年09月,-2686,-4866,2015-11-04
2015年10月,-4866,-4923,2015-12-03
2015年11月,-4923,-4930,2016-01-07
2015年12月,-4930,-2806,2016-02-03
2016年01月,-2806,-3771,2016-03-03
2016年02月,-3771,-1568,2016-04-05
2016年03月,-1568,-398,2016-05-05
2016年04月,-398,-1629,2016-06-02
