时间,前值,现值,发布日期
2026年04月,2.25,,2026-04-29
2026年03月,2.25,2.25,2026-03-18
2026年01月,2.25,2.25,2026-01-28
2025年12月,2.25,2.25,2025-12-10
2025年10月,2.5,2.25,2025-10-29
2025年09月,2.75,2.5,2025-09-17
2025年07月,2.75,2.75,2025-07-30
2025年06月,2.75,2.75,2025-06-04
2025年04月,2.75,2.75,2025-04-16
2025年03月,3.0,2.75,2025-03-12
2025年01月,3.25,3.0,2025-01-29
2024年12月,3.75,3.25,2024-12-11
2024年10月,4.25,3.75,2024-10-23
2024年09月,4.5,4.25,2024-09-04
2024年07月,4.75,4.5,2024-07-24
2024年06月,5.0,4.75,2024-06-05
2024年04月,5.0,5.0,2024-04-10
2024年03月,5.0,5.0,2024-03-06
2024年01月,5.0,5.0,2024-01-24
2023年11月,5.0,5.0,2023-12-06
2023年10月,5.0,5.0,2023-10-25
2023年09月,5.0,5.0,2023-09-06
2023年07月,4.75,5.0,2023-07-12
2023年06月,4.5,4.75,2023-06-07
2023年04月,4.5,4.5,2023-04-12
2023年03月,4.5,4.5,2023-03-08
2023年01月,4.25,4.5,2023-01-25
2022年12月,3.75,4.25,2022-12-07
2022年10月,3.25,3.75,2022-10-26
2022年09月,2.5,3.25,2022-09-07
2022年07月,1.5,2.5,2022-07-13
2022年06月,1.0,1.5,2022-06-01
2022年04月,0.5,1.0,2022-04-13
2022年03月,0.25,0.5,2022-03-02
2022年01月,0.25,0.25,2022-01-26
2021年12月,0.25,0.25,2021-12-08
2021年10月,0.25,0.25,2021-10-27
2021年09月,0.25,0.25,2021-09-08
2021年07月,0.25,0.25,2021-07-14
2021年06月,0.25,0.25,2021-06-09
2021年04月,0.25,0.25,2021-04-21
2021年03月,0.25,0.25,2021-03-10
2021年01月,0.25,0.25,2021-01-20
2020年12月,0.25,0.25,2020-12-09
2020年10月,0.25,0.25,2020-10-28
2020年09月,0.25,0.25,2020-09-09
2020年07月,0.25,0.25,2020-07-15
2020年06月,0.25,0.25,2020-06-03
2020年04月,1.25,0.25,2020-04-15
2020年03月,1.75,1.25,2020-03-04
2020年01月,1.75,1.75,2020-01-22
2019年12月,1.75,1.75,2019-12-04
2019年10月,1.75,1.75,2019-10-30
2019年09月,1.75,1.75,2019-09-04
2019年07月,1.75,1.75,2019-07-10
2019年05月,1.75,1.75,2019-05-29
2019年04月,1.75,1.75,2019-04-24
2019年03月,1.75,1.75,2019-03-06
2019年01月,1.75,1.75,2019-01-09
2018年12月,1.75,1.75,2018-12-05
2018年10月,1.5,1.75,2018-10-24
2018年09月,1.5,1.5,2018-09-05
2018年07月,1.25,1.5,2018-07-11
2018年05月,1.25,1.25,2018-05-30
2018年04月,1.25,1.25,2018-04-15
2018年03月,1.25,1.25,2018-03-07
2018年01月,1.0,1.25,2018-01-17
2017年12月,1.0,1.0,2017-12-06
2017年10月,1.0,1.0,2017-10-25
2017年09月,0.75,1.0,2017-09-06
2017年07月,0.5,0.75,2017-07-12
2017年05月,0.5,0.5,2017-05-24
2017年04月,0.5,0.5,2017-04-12
2017年03月,0.5,0.5,2017-03-01
2017年01月,0.5,0.5,2017-01-18
2016年12月,0.5,0.5,2016-12-07
2016年10月,0.5,0.5,2016-10-19
2016年09月,0.5,0.5,2016-09-07
2016年07月,0.5,0.5,2016-07-03
2016年05月,0.5,0.5,2016-05-25
2016年04月,0.5,0.5,2016-04-13
2016年03月,0.5,0.5,2016-03-09
2016年01月,0.5,0.5,2016-01-20
2015年12月,0.5,0.5,2015-12-02
2015年10月,0.5,0.5,2015-10-21
2015年09月,0.5,0.5,2015-09-09
2015年07月,0.75,0.5,2015-07-15
2015年05月,0.75,0.75,2015-05-27
2015年04月,0.75,0.75,2015-04-16
2015年03月,0.75,0.75,2015-03-15
2015年01月,1.0,0.75,2015-01-15
2014年12月,1.0,1.0,2014-12-15
2014年11月,1.0,1.0,2014-11-15
2014年10月,1.0,1.0,2014-10-15
2014年09月,1.0,1.0,2014-09-15
2014年08月,1.0,1.0,2014-08-15
2014年07月,1.0,1.0,2014-07-15
2014年06月,1.0,1.0,2014-06-15
2014年05月,1.0,1.0,2014-05-15
2014年04月,1.0,1.0,2014-04-15
