时间,前值,现值,发布日期
2026年04月,2.5,,2026-05-19
2026年03月,2.3,2.5,2026-04-20
2026年02月,2.6,2.3,2026-03-16
2026年01月,2.8,2.6,2026-02-17
2025年12月,2.9,2.8,2026-01-19
2025年11月,2.9,2.9,2025-12-15
2025年10月,2.8,2.9,2025-11-17
2025年09月,2.6,2.8,2025-10-21
2025年08月,2.6,2.6,2025-09-16
2025年07月,2.7,2.6,2025-08-19
2025年06月,2.5,2.7,2025-07-15
2025年05月,2.5,2.5,2025-06-24
2025年04月,2.2,2.5,2025-05-20
2025年03月,2.7,2.2,2025-04-15
2025年02月,2.1,2.7,2025-03-18
2025年01月,1.8,2.1,2025-02-18
2024年12月,1.6,1.8,2025-01-21
2024年11月,1.7,1.6,2024-12-17
2024年10月,1.6,1.7,2024-11-19
2024年09月,1.5,1.6,2024-10-15
2024年08月,1.7,1.5,2024-09-17
2024年07月,1.9,1.7,2024-08-20
2024年06月,1.8,1.9,2024-07-16
2024年05月,1.6,1.8,2024-06-25
2024年04月,2.0,1.6,2024-05-21
2024年03月,2.1,2.0,2024-04-16
2024年02月,2.4,2.1,2024-03-19
2024年01月,2.6,2.4,2024-02-20
2023年12月,2.8,2.6,2024-01-16
2023年11月,2.7,2.8,2023-12-19
2023年10月,2.8,2.7,2023-11-21
2023年09月,3.3,2.8,2023-10-17
2023年08月,3.2,3.3,2023-09-19
2023年07月,3.2,3.2,2023-08-15
2023年06月,3.7,3.2,2023-07-18
2023年05月,4.1,3.7,2023-06-27
2023年04月,4.3,4.1,2023-05-16
2023年03月,4.7,4.3,2023-04-18
2023年02月,5.0,4.7,2023-03-21
2023年01月,5.4,5.0,2023-02-21
2022年12月,5.8,5.4,2023-01-17
2022年11月,5.8,5.8,2022-12-21
2022年10月,6.0,5.8,2022-11-16
2022年09月,5.8,6.0,2022-10-19
2022年08月,6.1,5.8,2022-09-20
2022年07月,6.2,6.1,2022-08-16
2022年06月,6.1,6.2,2022-07-20
2022年05月,5.7,6.1,2022-06-22
2022年04月,5.5,5.7,2022-05-18
2022年03月,4.8,5.5,2022-04-20
2022年02月,4.3,4.8,2022-03-16
2022年01月,4.0,4.3,2022-02-23
2021年12月,3.6,4.0,2022-01-19
2021年11月,3.8,3.6,2021-12-15
2021年10月,3.7,3.8,2021-11-17
2021年09月,3.5,3.7,2021-10-20
2021年08月,3.3,3.5,2021-09-15
2021年07月,2.7,3.3,2021-08-18
2021年06月,2.8,2.7,2021-07-28
2021年05月,2.3,2.8,2021-06-16
2021年04月,,2.3,2021-05-19
2021年02月,1.6,,2021-03-17
2021年01月,1.5,1.6,2021-02-17
2020年12月,1.5,1.5,2021-01-20
2020年11月,1.0,1.5,2020-12-16
2020年10月,1.0,1.0,2020-11-18
2020年09月,-0.1,1.0,2020-10-21
2020年08月,-0.2,-0.1,2020-09-16
2020年07月,0.8,-0.2,2020-08-19
2020年06月,0.7,0.8,2020-07-22
2020年05月,1.2,0.7,2020-06-17
2020年04月,1.6,1.2,2020-05-20
2020年03月,1.8,1.6,2020-04-22
2020年02月,1.8,1.8,2020-03-18
2020年01月,1.7,1.8,2020-02-19
2019年12月,1.9,1.7,2020-01-22
2019年11月,1.9,1.9,2019-12-18
2019年10月,1.9,1.9,2019-11-20
2019年09月,1.9,1.9,2019-10-16
2019年08月,2.0,1.9,2019-09-18
2019年07月,2.0,2.0,2019-08-21
2019年06月,2.1,2.0,2019-07-17
2019年05月,1.5,2.1,2019-06-19
2019年04月,1.9,1.5,2019-05-15
2019年03月,1.5,1.9,2019-04-17
2019年02月,1.5,1.5,2019-03-22
2019年01月,1.7,1.5,2019-02-27
2018年12月,1.5,1.7,2019-01-18
2018年11月,1.6,1.5,2018-12-19
2018年10月,1.5,1.6,2018-11-23
2018年09月,1.7,1.5,2018-10-19
2018年08月,1.6,1.7,2018-09-21
2018年07月,1.3,1.6,2018-08-17
2018年06月,1.3,1.3,2018-07-20
2018年05月,1.5,1.3,2018-06-22
2018年04月,1.4,1.5,2018-05-18
2018年03月,1.5,1.4,2018-04-20
2018年02月,1.2,1.5,2018-03-23
2018年01月,1.2,1.2,2018-02-23
2017年12月,1.3,1.2,2018-01-26
