时间,前值,现值,发布日期
2026年03月,0.54545455,0.90415913,2026-04-20
2026年02月,0.0,0.54545455,2026-03-16
2026年01月,-0.24183797,0.0,2026-02-17
2025年12月,0.06049607,-0.24183797,2026-01-19
2025年11月,0.24257126,0.06049607,2025-12-15
2025年10月,0.06067961,0.24257126,2025-11-17
2025年09月,-0.06064281,0.06067961,2025-10-21
2025年08月,0.30413625,-0.06064281,2025-09-16
2025年07月,0.06086427,0.30413625,2025-08-19
2025年06月,0.55079559,0.06086427,2025-07-15
2025年05月,-0.06116208,0.55079559,2025-06-24
2025年04月,0.30674847,-0.06116208,2025-05-20
2025年03月,1.05393676,0.30674847,2025-04-15
2025年02月,0.06203474,1.05393676,2025-03-18
2025年01月,-0.37082818,0.06203474,2025-02-18
2024年12月,0.0,-0.37082818,2025-01-21
2024年11月,0.43451273,0.0,2024-12-17
2024年10月,-0.43263288,0.43451273,2024-11-19
2024年09月,-0.18507094,-0.43263288,2024-10-15
2024年08月,0.43370508,-0.18507094,2024-09-17
2024年07月,-0.0619195,0.43370508,2024-08-20
2024年06月,0.56039851,-0.0619195,2024-07-16
2024年05月,0.50062578,0.56039851,2024-06-25
2024年04月,0.62972292,0.50062578,2024-05-21
2024年03月,0.31585597,0.62972292,2024-04-16
2024年02月,0.0,0.31585597,2024-03-19
2024年01月,-0.31486146,0.0,2024-02-20
2023年12月,0.1261034,-0.31486146,2024-01-16
2023年11月,0.06309148,0.1261034,2023-12-19
2023年10月,-0.12602394,0.06309148,2023-11-21
2023年09月,0.37950664,-0.12602394,2023-10-17
2023年08月,0.57251908,0.37950664,2023-09-19
2023年07月,0.12738854,0.57251908,2023-08-15
2023年06月,0.38363171,0.12738854,2023-07-18
2023年05月,0.7083065,0.38363171,2023-06-27
2023年04月,0.51779935,0.7083065,2023-05-16
2023年03月,0.38986355,0.51779935,2023-04-18
2023年02月,0.52253429,0.38986355,2023-03-21
2023年01月,-0.58441558,0.52253429,2023-02-21
2022年12月,0.13003901,-0.58441558,2023-01-17
2022年11月,0.72036673,0.13003901,2022-12-21
2022年10月,0.0655308,0.72036673,2022-11-16
2022年09月,-0.32658393,0.0655308,2022-10-19
2022年08月,0.13080445,-0.32658393,2022-09-20
2022年07月,0.65832785,0.13080445,2022-08-16
2022年06月,1.40186916,0.65832785,2022-07-20
2022年05月,0.60443251,1.40186916,2022-06-22
2022年04月,1.43051771,0.60443251,2022-05-18
2022年03月,1.03234687,1.43051771,2022-04-20
2022年02月,0.90277778,1.03234687,2022-03-16
2022年01月,-0.13869626,0.90277778,2022-02-17
2021年12月,0.20847811,-0.13869626,2022-02-17
2021年11月,0.69979006,0.20847811,2022-02-17
2021年10月,0.21037868,0.69979006,2021-11-17
2021年09月,0.21082221,0.21037868,2021-10-20
2021年08月,0.63649222,0.21082221,2021-09-20
2021年07月,0.28368794,0.63649222,2021-08-20
2021年06月,0.49893086,0.28368794,2021-07-21
2021年05月,0.50143266,0.49893086,2021-06-20
2021年04月,0.50395968,0.50143266,2021-05-21
2021年03月,0.5065123,0.50395968,2021-04-20
2021年02月,0.58224163,0.5065123,2021-03-23
2021年01月,-0.21786492,0.58224163,2021-02-20
2020年12月,0.14545455,-0.21786492,2021-01-20
2020年11月,0.43827611,0.14545455,2020-12-21
2020年10月,-0.0729927,0.43827611,2020-11-20
2020年09月,-0.14577259,-0.0729927,2020-10-21
2020年08月,0.0,-0.14577259,2020-09-20
2020年07月,0.80822924,0.0,2020-08-20
2020年06月,0.29476787,0.80822924,2020-07-21
2020年05月,-0.65885798,0.29476787,2020-06-20
2020年04月,-0.58224163,-0.65885798,2020-05-21
2020年03月,0.43859649,-0.58224163,2020-04-20
2020年02月,0.29325513,0.43859649,2020-03-22
2020年01月,0.0,0.29325513,2020-02-20
2019年12月,-0.14641288,0.0,2020-01-20
2019年11月,0.29368576,-0.14641288,2019-12-21
2019年10月,-0.43859649,0.29368576,2019-11-20
2019年09月,-0.1459854,-0.43859649,2019-10-21
2019年08月,0.513573,-0.1459854,2019-09-20
2019年07月,-0.21961933,0.513573,2019-08-20
2019年06月,0.44117647,-0.21961933,2019-07-21
2019年05月,0.44313146,0.44117647,2019-06-20
2019年04月,0.66914498,0.44313146,2019-05-21
2019年03月,0.67365269,0.66914498,2019-04-20
2019年02月,0.14992504,0.67365269,2019-03-23
2019年01月,-0.07490637,0.14992504,2019-02-20
2018年12月,-0.44742729,-0.07490637,2019-01-20
2018年11月,0.29917726,-0.44742729,2018-12-21
2018年10月,-0.37257824,0.29917726,2018-11-20
2018年09月,-0.07446016,-0.37257824,2018-10-21
2018年08月,0.5239521,-0.07446016,2018-09-20
2018年07月,0.14992504,0.5239521,2018-08-20
2018年06月,0.07501875,0.14992504,2018-07-21
2018年05月,0.30097818,0.07501875,2018-06-20
2018年04月,0.30188679,0.30097818,2018-05-21
2018年03月,0.60744115,0.30188679,2018-04-20
2018年02月,0.68807339,0.60744115,2018-03-23
2018年01月,-0.38080731,0.68807339,2018-02-20
2017年12月,0.30557678,-0.38080731,2018-01-20
