时间,前值,现值,发布日期
2026年04月,23.59,,2026-05-15
2026年03月,25.09,23.59,2026-04-17
2026年02月,23.8,25.09,2026-03-16
2026年01月,28.24,23.8,2026-02-16
2025年12月,25.41,28.24,2026-01-16
2025年11月,23.28,25.41,2025-12-15
2025年10月,27.92,23.28,2025-11-18
2025年09月,24.58,27.92,2025-10-16
2025年08月,29.41,24.58,2025-09-16
2025年07月,28.37,29.41,2025-08-18
2025年06月,27.95,28.37,2025-07-16
2025年05月,27.86,27.95,2025-06-16
2025年04月,21.42,27.86,2025-05-15
2025年03月,22.9,21.42,2025-04-15
2025年02月,23.97,22.9,2025-03-17
2025年01月,23.15,23.97,2025-02-17
2024年12月,26.24,23.15,2025-01-16
2024年11月,24.08,26.24,2024-12-16
2024年10月,22.38,24.08,2024-11-18
2024年09月,21.74,22.38,2024-10-16
2024年08月,27.95,21.74,2024-09-17
2024年07月,24.17,27.95,2024-08-16
2024年06月,26.45,24.17,2024-07-16
2024年05月,24.02,26.45,2024-06-17
2024年04月,24.22,24.02,2024-05-15
2024年03月,25.35,24.22,2024-04-16
2024年02月,22.36,25.35,2024-03-15
2024年01月,24.93,22.36,2024-02-15
2023年12月,21.26,24.93,2024-01-16
2023年11月,27.47,21.26,2023-12-15
2023年10月,27.05,27.47,2023-11-16
2023年09月,25.28,27.05,2023-10-18
2023年08月,25.5,25.28,2023-09-18
2023年07月,28.14,25.5,2023-08-16
2023年06月,20.25,28.14,2023-07-19
2023年05月,26.16,20.25,2023-06-15
2023年04月,21.39,26.16,2023-05-15
2023年03月,24.4,21.39,2023-04-19
2023年02月,21.54,24.4,2023-03-15
2023年01月,24.86,21.54,2023-02-15
2022年12月,26.42,24.86,2023-01-17
2022年11月,26.71,26.42,2022-12-15
2022年10月,29.96,26.71,2022-11-16
2022年09月,26.74,29.96,2022-10-14
2022年08月,27.53,26.74,2022-09-16
2022年07月,27.37,27.53,2022-08-16
2022年06月,28.73,27.37,2022-07-18
2022年05月,26.73,28.73,2022-06-15
2022年04月,24.62,26.73,2022-05-16
2022年03月,24.73,24.62,2022-04-19
2022年02月,23.08,24.73,2022-03-15
2022年01月,23.61,23.08,2022-02-15
2021年12月,30.13,23.61,2022-01-18
2021年11月,23.66,30.13,2021-12-15
2021年10月,25.12,23.66,2021-11-16
2021年09月,26.02,25.12,2021-10-18
2021年08月,27.22,26.02,2021-09-16
2021年07月,28.21,27.22,2021-08-17
2021年06月,27.59,28.21,2021-07-16
2021年05月,26.86,27.59,2021-06-15
2021年04月,33.52,26.86,2021-05-17
2021年03月,24.59,33.52,2021-04-19
2021年02月,28.24,24.59,2021-03-15
2021年01月,22.83,28.24,2021-02-23
2020年12月,24.6,22.83,2021-01-18
2020年11月,21.49,24.6,2020-12-15
2020年10月,20.9,21.49,2020-11-17
2020年09月,26.24,20.9,2020-10-08
2020年08月,24.56,26.24,2020-09-09
2020年07月,21.17,24.56,2020-08-11
2020年06月,19.35,21.17,2020-07-08
2020年05月,17.13,19.35,2020-06-08
2020年04月,19.52,17.13,2020-05-08
2020年03月,21.01,19.52,2020-04-08
2020年02月,21.32,21.01,2020-03-09
2020年01月,19.73,21.32,2020-02-10
2019年12月,20.13,19.73,2020-01-09
2019年11月,20.2,20.13,2019-12-09
2019年10月,22.12,20.2,2019-11-08
2019年09月,22.66,22.12,2019-10-08
2019年08月,22.2,22.66,2019-09-10
2019年07月,24.57,22.2,2019-08-09
2019年06月,20.23,24.57,2019-07-09
2019年05月,23.55,20.23,2019-06-10
2019年04月,19.25,23.55,2019-05-08
2019年03月,17.32,19.25,2019-04-08
2019年02月,20.8,17.32,2019-03-08
2019年01月,21.34,20.8,2019-02-08
2018年12月,21.59,21.34,2019-01-09
2018年11月,20.59,21.59,2018-12-10
2018年10月,18.87,20.59,2018-11-08
2018年09月,20.1,18.87,2018-10-09
2018年08月,20.63,20.1,2018-09-11
2018年07月,24.81,20.63,2018-08-09
2018年06月,19.56,24.81,2018-07-10
2018年05月,21.44,19.56,2018-06-08
2018年04月,22.52,21.44,2018-05-08
2018年03月,22.97,22.52,2018-04-10
2018年02月,21.62,22.97,2018-03-08
2018年01月,21.7,21.62,2018-02-08
