时间,前值,现值,发布日期
2023年04月,0.9,1.1,2023-06-21
2023年03月,1.4,0.9,2023-05-19
2023年02月,1.9,1.4,2023-04-21
2023年01月,2.8,1.9,2023-03-24
2022年12月,-0.2,2.8,2023-02-21
2022年11月,0.2,-0.2,2023-01-20
2022年10月,1.2,0.2,2022-12-20
2022年09月,0.5,1.2,2022-11-22
2022年08月,-0.1,0.5,2022-10-21
2022年07月,1.9,-0.1,2022-09-23
2022年06月,5.2,1.9,2022-08-19
2022年05月,2.0,5.2,2022-07-22
2022年04月,-5.1,2.0,2022-06-21
2022年03月,1.4,-5.1,2022-05-26
2022年02月,5.9,1.4,2022-04-22
2022年01月,3.6,5.9,2022-03-18
2021年12月,0.1,3.6,2022-02-18
2021年11月,1.2,0.1,2022-01-21
2021年10月,1.0,1.2,2021-12-21
2021年09月,5.4,1.0,2021-11-19
2021年08月,2.8,5.4,2021-10-22
2021年07月,4.5,2.8,2021-09-23
2021年06月,19.2,4.5,2021-08-20
2021年05月,50.3,19.2,2021-07-23
2021年04月,19.4,50.3,2021-06-23
2021年03月,4.4,19.4,2021-05-21
2021年02月,0.6,4.4,2021-04-28
2021年01月,2.8,0.6,2021-03-19
2020年12月,7.2,2.8,2021-02-19
2020年11月,7.1,7.2,2021-01-22
2020年10月,4.3,7.1,2020-12-18
2020年09月,3.3,4.3,2020-11-20
2020年08月,2.6,3.3,2020-10-21
2020年07月,3.8,2.6,2020-09-18
2020年06月,-18.4,3.8,2020-08-21
2020年05月,-32.5,-18.4,2020-07-21
2020年04月,-7.9,-32.5,2020-06-19
2020年03月,0.9,-7.9,2020-05-22
2020年02月,0.4,0.9,2020-04-21
2020年01月,0.1,0.4,2020-03-20
2019年12月,0.0,0.1,2020-02-20
2019年11月,-1.6,0.0,2020-01-21
2019年10月,0.0,-1.6,2019-12-21
2019年09月,0.5,0.0,2019-11-21
2019年08月,0.0,0.5,2019-10-21
2019年07月,0.0,0.0,2019-09-20
2019年06月,-1.0,0.0,2019-08-21
2019年05月,2.2,-1.0,2019-07-21
2019年04月,1.2,2.2,2019-06-21
2019年03月,1.7,1.2,2019-05-21
2019年02月,1.8,1.7,2019-04-23
2019年01月,1.7,1.8,2019-03-23
2018年12月,-0.2,1.7,2019-02-20
2018年11月,-1.6,-0.2,2019-01-21
2018年10月,1.9,-1.6,2018-12-21
2018年09月,0.7,1.9,2018-11-21
2018年08月,0.7,0.7,2018-10-21
2018年07月,0.7,0.7,2018-09-20
2018年06月,0.8,0.7,2018-08-21
2018年05月,-0.7,0.8,2018-07-21
2018年04月,1.4,-0.7,2018-06-21
2018年03月,1.4,1.4,2018-05-21
2018年02月,3.1,1.4,2018-04-23
2018年01月,4.4,3.1,2018-03-23
2017年12月,4.5,4.4,2018-02-20
2017年11月,5.0,4.5,2018-01-21
2017年10月,4.5,5.0,2017-12-21
2017年09月,6.0,4.5,2017-11-21
2017年08月,7.2,6.0,2017-10-21
2017年07月,7.8,7.2,2017-09-20
2017年06月,6.4,7.8,2017-08-21
2017年05月,5.6,6.4,2017-07-21
2017年04月,,5.6,2017-06-21
