时间,前值,现值,发布日期
2026年03月,-5743,,2026-05-05
2026年02月,-4182,-5743.0,2026-04-02
2026年01月,-1301,-4182.0,2026-03-12
2025年12月,-2197,-1301.0,2026-02-19
2025年11月,-395,-2197.0,2026-01-29
2025年10月,243,-395.0,2026-01-08
2025年09月,-6427,243.0,2025-12-11
2025年08月,-3824,-6427.0,2025-10-07
2025年07月,-5981,-3824.0,2025-09-04
2025年06月,-5859,-5981.0,2025-08-05
2025年05月,-7603,-5859.0,2025-07-03
2025年04月,-2255,-7603.0,2025-06-05
2025年03月,-1407,-2255.0,2025-05-06
2025年02月,3131,-1407.0,2025-04-03
2025年01月,1659,3131.0,2025-03-06
2024年12月,-611,1659.0,2025-02-05
2024年11月,-544,-611.0,2025-01-07
2024年10月,-1277,-544.0,2024-12-05
2024年09月,-1685,-1277.0,2024-11-05
2024年08月,-287,-1685.0,2024-10-08
2024年07月,-179,-287.0,2024-09-04
2024年06月,-1777,-179.0,2024-08-06
2024年05月,-1323,-1777.0,2024-07-03
2024年04月,-1985,-1323.0,2024-06-06
2024年03月,476,-1985.0,2024-05-02
2024年02月,115,476.0,2024-04-04
2024年01月,-863,115.0,2024-03-07
2023年12月,1566,-863.0,2024-02-07
2023年11月,3197,1566.0,2024-01-09
2023年10月,1121,3197.0,2023-12-06
2023年09月,949,1121.0,2023-11-07
2023年08月,-437,949.0,2023-10-05
2023年07月,-3732,-437.0,2023-09-06
2023年06月,-2680,-3732.0,2023-08-08
2023年05月,1640,-2680.0,2023-07-06
2023年04月,231,1640.0,2023-06-07
2023年03月,-487,231.0,2023-05-04
2023年02月,1204,-487.0,2023-04-05
2023年01月,1186,1204.0,2023-03-08
2022年12月,-441,1186.0,2023-02-07
2022年11月,1214,-441.0,2023-01-05
2022年10月,1138,1214.0,2022-12-06
2022年09月,550,1138.0,2022-11-03
2022年08月,2373,550.0,2022-10-05
2022年07月,4881,2373.0,2022-09-07
2022年06月,4769,4881.0,2022-08-04
2022年05月,2174,4769.0,2022-07-07
2022年04月,2282,2174.0,2022-06-07
2022年03月,3081,2282.0,2022-05-04
2022年02月,2618,3081.0,2022-04-05
2022年01月,-1582,2618.0,2022-03-08
2021年12月,3133,-1582.0,2022-02-08
2021年11月,2264,3133.0,2022-01-06
2021年10月,1415,2264.0,2021-12-07
2021年09月,1939,1415.0,2021-11-04
2021年08月,778,1939.0,2021-10-05
2021年07月,3231,778.0,2021-09-02
2021年06月,-1386,3231.0,2021-08-05
2021年05月,594,-1386.0,2021-07-02
2021年04月,-1140,594.0,2021-06-08
2021年03月,1039,-1140.0,2021-05-04
2021年02月,1405,1039.0,2021-04-07
2021年01月,-1665,1405.0,2021-03-05
2020年12月,-3340,-1665.0,2021-02-05
2020年11月,-3763,-3340.0,2021-01-07
2020年10月,-3817,-3763.0,2020-12-04
2020年09月,-3211,-3817.0,2020-11-04
2020年08月,-2451,-3211.0,2020-10-06
2020年07月,-3189,-2451.0,2020-09-03
2020年06月,-1328,-3189.0,2020-08-05
2020年05月,-3251,-1328.0,2020-07-02
2020年04月,-1411,-3251.0,2020-06-04
2020年03月,-3302,-1411.0,2020-05-05
2020年02月,-1473,-3302.0,2020-04-02
2020年01月,-370,-1473.0,2020-03-06
2019年12月,-1195,-370.0,2020-02-05
2019年11月,-1607,-1195.0,2020-01-07
2019年10月,-1229,-1607.0,2019-12-05
2019年09月,-1235,-1229.0,2019-11-05
2019年08月,-1124,-1235.0,2019-10-04
2019年07月,-55,-1124.0,2019-09-04
2019年06月,556,-55.0,2019-08-02
2019年05月,-1083,556.0,2019-07-03
2019年04月,-2336,-1083.0,2019-06-06
2019年03月,-3418,-2336.0,2019-05-09
2019年02月,-3086,-3418.0,2019-04-17
2019年01月,-4823,-3086.0,2019-03-27
2018年12月,-2060,-4823.0,2019-03-06
2018年11月,-851,-2060.0,2019-01-08
2018年10月,-891,-851.0,2018-12-06
2018年09月,-551,-891.0,2018-11-02
2018年08月,-189,-551.0,2018-10-05
2018年07月,-626,-189.0,2018-09-05
2018年06月,-2771,-626.0,2018-08-03
2018年05月,-1864,-2771.0,2018-07-06
2018年04月,-4140,-1864.0,2018-06-06
2018年03月,-2932,-4140.0,2018-05-03
2018年02月,-1938,-2932.0,2018-04-05
2018年01月,-3186,-1938.0,2018-03-07
2017年12月,-2710,-3186.0,2018-02-06
