时间,前值,现值,发布日期
2026年04月,6.7,,2026-05-08
2026年03月,6.7,6.7,2026-04-10
2026年02月,6.5,6.7,2026-03-13
2026年01月,6.8,6.5,2026-02-06
2025年12月,6.5,6.8,2026-01-09
2025年11月,6.9,6.5,2025-12-05
2025年10月,7.1,6.9,2025-11-07
2025年09月,7.1,7.1,2025-10-10
2025年08月,6.9,7.1,2025-09-05
2025年07月,6.9,6.9,2025-08-08
2025年06月,7.0,6.9,2025-07-11
2025年05月,6.9,7.0,2025-06-06
2025年04月,6.7,6.9,2025-05-09
2025年03月,6.6,6.7,2025-04-04
2025年02月,6.6,6.6,2025-03-07
2025年01月,6.7,6.6,2025-02-07
2024年12月,6.8,6.7,2025-01-10
2024年11月,6.5,6.8,2024-12-06
2024年10月,6.5,6.5,2024-11-08
2024年09月,6.6,6.5,2024-10-11
2024年08月,6.4,6.6,2024-09-06
2024年07月,6.4,6.4,2024-08-09
2024年06月,6.2,6.4,2024-07-05
2024年05月,6.1,6.2,2024-06-07
2024年04月,6.1,6.1,2024-05-10
2024年03月,5.8,6.1,2024-04-05
2024年02月,5.7,5.8,2024-03-08
2024年01月,5.8,5.7,2024-02-09
2023年12月,5.8,5.8,2024-01-05
2023年11月,5.7,5.8,2023-12-01
2023年10月,5.5,5.7,2023-11-03
2023年09月,5.5,5.5,2023-10-06
2023年08月,5.5,5.5,2023-09-08
2023年07月,5.4,5.5,2023-08-04
2023年06月,5.2,5.4,2023-07-07
2023年05月,5.0,5.2,2023-06-09
2023年04月,5.0,5.0,2023-05-05
2023年03月,5.0,5.0,2023-04-06
2023年02月,5.0,5.0,2023-03-10
2023年01月,5.0,5.0,2023-02-10
2022年12月,5.1,5.0,2023-01-06
2022年11月,5.2,5.1,2022-12-02
2022年10月,5.2,5.2,2022-11-04
2022年09月,5.4,5.2,2022-10-07
2022年08月,4.9,5.4,2022-09-09
2022年07月,4.9,4.9,2022-08-05
2022年06月,5.1,4.9,2022-07-08
2022年05月,5.2,5.1,2022-06-10
2022年04月,5.3,5.2,2022-05-06
2022年03月,5.5,5.3,2022-04-08
2022年02月,6.5,5.5,2022-03-11
2022年01月,5.9,6.5,2022-02-04
2021年12月,6.0,5.9,2022-01-07
2021年11月,6.7,6.0,2021-12-03
2021年10月,6.9,6.7,2021-11-05
2021年09月,7.1,6.9,2021-10-08
2021年08月,7.5,7.1,2021-09-10
2021年07月,7.8,7.5,2021-08-06
2021年06月,8.2,7.8,2021-07-09
2021年05月,8.1,8.2,2021-06-04
2021年04月,7.5,8.1,2021-05-07
2021年03月,8.2,7.5,2021-04-09
2021年02月,9.4,8.2,2021-03-12
2021年01月,8.6,9.4,2021-02-05
2020年12月,8.5,8.6,2021-01-08
2020年11月,8.9,8.5,2020-12-04
2020年10月,9.0,8.9,2020-11-06
2020年09月,10.2,9.0,2020-10-09
2020年08月,10.9,10.2,2020-09-04
2020年07月,12.3,10.9,2020-08-07
2020年06月,13.7,12.3,2020-07-10
2020年05月,13.0,13.7,2020-06-10
2020年04月,7.8,13.0,2020-05-08
2020年03月,5.6,7.8,2020-04-09
2020年02月,5.5,5.6,2020-03-06
2020年01月,5.6,5.5,2020-02-07
2019年12月,5.9,5.6,2020-01-10
2019年11月,5.5,5.9,2019-12-06
2019年10月,5.5,5.5,2019-11-08
2019年09月,5.7,5.5,2019-10-11
2019年08月,5.7,5.7,2019-09-06
2019年07月,5.5,5.7,2019-08-09
2019年06月,5.4,5.5,2019-07-05
2019年05月,5.7,5.4,2019-06-07
2019年04月,5.8,5.7,2019-05-10
2019年03月,5.8,5.8,2019-04-05
2019年02月,5.8,5.8,2019-03-08
2019年01月,5.6,5.8,2019-02-08
2018年12月,5.6,5.6,2019-01-04
2018年11月,5.8,5.6,2018-12-07
2018年10月,5.9,5.8,2018-11-02
2018年09月,6.0,5.9,2018-10-05
2018年08月,5.8,6.0,2018-09-07
2018年07月,6.0,5.8,2018-08-10
2018年06月,5.8,6.0,2018-07-06
2018年05月,5.8,5.8,2018-06-08
2018年04月,5.8,5.8,2018-05-11
2018年03月,5.8,5.8,2018-04-06
2018年02月,5.9,5.8,2018-03-09
2018年01月,5.7,5.9,2018-02-09
