日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2011-12-05,995,,,,,,
2011-12-12,986,-0.90452261,,,,,
2011-12-19,990,0.40567951,,,,,
2011-12-26,988,-0.2020202,,,,,
2012-01-02,993,0.50607287,,,,,
2012-01-09,994,0.10070493,,,,,
2012-01-16,997,0.30181087,,,,,
2012-01-23,997,0.0,,,,,
2012-01-30,1004,0.70210632,,,,,
2012-02-06,1009,0.49800797,,,,,
2012-02-13,1013,0.39643211,,,,,
2012-02-20,1016,0.29615005,,,,,
2012-02-27,1021,0.49212598,,,,,
2012-03-05,1025,0.39177277,3.01507538,,,,
2012-03-12,1044,1.85365854,5.88235294,,,,
2012-03-19,1046,0.19157088,5.65656566,,,,
2012-03-26,1063,1.62523901,7.59109312,,,,
2012-04-02,1076,1.2229539,8.35850957,,,,
2012-04-09,1079,0.27881041,8.55130785,,,,
2012-04-16,1074,-0.46339203,7.72316951,,,,
2012-04-23,1081,0.65176909,8.42527583,,,,
2012-04-30,1078,-0.27752081,7.37051793,,,,
2012-05-07,1074,-0.37105751,6.4420218,,,,
2012-05-14,1059,-1.39664804,4.54096742,,,,
2012-05-21,1051,-0.75542965,3.44488189,,,,
2012-05-28,1047,-0.38058991,2.54652302,,,,
2012-06-04,1046,-0.09551098,2.44857982,,,,
2012-06-11,1042,-0.38240918,1.65853659,4.72361809,,,
2012-06-18,1043,0.09596929,-0.09578544,5.78093306,,,
2012-06-25,1047,0.38350911,0.09560229,5.75757576,,,
2012-07-02,1056,0.85959885,-1.85873606,6.34441088,,,
2012-07-09,1064,0.75757576,-1.39017609,7.04225352,,,
2012-07-16,1071,0.65789474,-0.27932961,7.4222668,,,
2012-07-23,1070,-0.09337068,-1.01757632,7.3219659,,,
2012-07-30,1083,1.21495327,0.46382189,7.8685259,,,
2012-08-06,1081,-0.18467221,0.27829314,7.135778,,,
2012-08-13,1086,0.46253469,1.11731844,7.20631787,,,
2012-08-20,1098,1.10497238,3.68271955,8.07086614,,,
2012-08-27,1105,0.63752277,5.13796384,8.22722821,,,
2012-09-03,1108,0.27149321,5.82617001,8.52105779,,,
2012-09-10,1108,0.0,5.92734226,8.09756098,,,
2012-09-17,1097,-0.99277978,5.27831094,5.07662835,,,
2012-09-24,1079,-1.64083865,3.45158198,3.15487572,,,
2012-10-01,1079,0.0,3.05635148,1.50517404,,,
2012-10-08,1066,-1.20481928,0.9469697,-0.92936803,,,
2012-10-15,1060,-0.56285178,-0.37593985,-1.76088971,,,
2012-10-22,1059,-0.09433962,-1.12044818,-1.39664804,,,
2012-10-29,1049,-0.94428706,-1.96261682,-2.96022202,,,
2012-11-05,1044,-0.47664442,-3.60110803,-3.15398887,,,
2012-11-12,1027,-1.62835249,-4.99537465,-4.37616387,,,
2012-11-19,1026,-0.09737098,-5.52486188,-3.11614731,,,
2012-11-26,1040,1.36452242,-5.28233151,-1.04662226,,,
2012-12-03,1055,1.44230769,-4.7833935,0.76408787,,,
2012-12-10,1060,0.47393365,-4.33212996,1.33843212,6.53266332,,
2012-12-17,1069,0.8490566,-2.55241568,2.59117083,8.4178499,,
2012-12-24,1068,-0.09354537,-1.01946247,2.39693193,7.87878788,,
2012-12-31,1069,0.09363296,-0.92678406,2.10124164,8.19838057,,
2013-01-07,1071,0.18709074,-0.74142725,1.42045455,7.85498489,,
2013-01-14,1077,0.56022409,1.03189493,1.22180451,8.3501006,,
2013-01-21,1077,0.0,1.60377358,0.56022409,8.02407222,,
2013-01-28,1077,0.0,1.69971671,0.65420561,8.02407222,,
2013-02-04,1076,-0.09285051,2.57387989,-0.64635272,7.17131474,,
2013-02-11,1075,-0.0929368,2.96934866,-0.55504163,6.54112983,,
2013-02-18,1072,-0.27906977,4.38169426,-1.28913444,5.8242843,,
2013-02-25,1065,-0.65298507,3.80116959,-3.00546448,4.82283465,,
2013-03-04,1059,-0.56338028,0.37914692,-4.42238267,3.72184133,,
