日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2005-09-27,125.5,,,,,,
2005-09-28,125.0,-0.39840637,,,,,
2005-09-29,125.0,0.0,,,,,
2005-09-30,125.8,0.64,,,,,
2005-10-08,124.2,-1.2718601,,,,,
2005-10-09,124.2,0.0,,,,,
2005-10-10,124.5,0.24154589,,,,,
2005-10-11,125.6,0.88353414,,,,,
2005-10-12,124.2,-1.11464968,,,,,
2005-10-13,124.8,0.48309179,,,,,
2005-10-14,124.7,-0.08012821,,,,,
2005-10-17,125.3,0.48115477,,,,,
2005-10-18,124.5,-0.63846768,,,,,
2005-10-19,124.5,0.0,,,,,
2005-10-20,124.6,0.08032129,,,,,
2005-10-24,123.4,-0.96308186,,,,,
2005-10-25,122.6,-0.64829822,,,,,
2005-10-26,123.7,0.89722675,,,,,
2005-10-27,124.0,0.24252223,,,,,
2005-10-28,123.4,-0.48387097,,,,,
2005-10-31,123.9,0.40518639,,,,,
2005-11-01,123.8,-0.08071025,,,,,
2005-11-02,122.5,-1.05008078,,,,,
2005-11-03,123.8,1.06122449,,,,,
2005-11-04,123.9,0.08077544,,,,,
2005-11-07,123.3,-0.4842615,,,,,
2005-11-08,122.3,-0.81103001,,,,,
2005-11-09,122.1,-0.1635323,,,,,
2005-11-10,122.6,0.40950041,,,,,
2005-11-11,122.5,-0.08156607,,,,,
2005-11-14,122.6,0.08163265,,,,,
2005-11-15,122.7,0.08156607,,,,,
2005-11-16,123.1,0.32599837,,,,,
2005-11-17,122.7,-0.32493907,,,,,
2005-11-18,122.0,-0.57049715,,,,,
2005-11-21,122.6,0.49180328,,,,,
2005-11-22,123.0,0.32626427,,,,,
2005-11-23,122.8,-0.16260163,,,,,
2005-11-24,122.0,-0.6514658,,,,,
2005-11-25,122.3,0.24590164,,,,,
2005-11-28,122.9,0.49059689,,,,,
2005-11-29,122.7,-0.16273393,,,,,
2005-11-30,122.6,-0.08149959,,,,,
2005-12-01,122.6,0.0,,,,,
2005-12-02,123.1,0.40783034,,,,,
2005-12-05,123.4,0.24370431,,,,,
2005-12-06,123.6,0.16207455,,,,,
2005-12-07,123.6,0.0,,,,,
2005-12-08,123.1,-0.40453074,,,,,
2005-12-09,124.0,0.73111292,,,,,
2005-12-12,124.5,0.40322581,,,,,
2006-01-10,132.2,6.18473896,6.18473896,,,,
2006-01-11,132.9,0.52950076,5.81210191,,,,
2006-01-12,132.4,-0.37622272,6.60225443,,,,
2006-01-13,133.2,0.60422961,6.73076923,,,,
2006-01-16,135.1,1.42642643,8.34001604,,,,
2006-01-17,135.5,0.29607698,8.14046289,,,,
2006-01-18,135.7,0.14760148,8.99598394,,,,
2006-01-19,136.5,0.58953574,9.63855422,,,,
2006-01-20,137.0,0.36630037,9.95184591,,,,
2006-01-23,137.4,0.2919708,10.27287319,,,,
2006-01-24,137.5,0.0727802,11.42625608,,,,
2006-01-25,138.3,0.58181818,12.80587276,,,,
2006-01-26,138.1,-0.14461316,11.6410671,,,,
2006-01-27,139.4,0.94134685,12.41935484,,,,
2006-02-05,138.3,-0.78909613,11.62227603,,,,
2006-02-06,137.9,-0.28922632,11.29943503,,,,
2006-02-07,137.8,-0.07251632,11.75993512,,,,
2006-02-08,138.2,0.29027576,13.00081766,,,,
2006-02-09,137.0,-0.8683068,12.2031122,,,,
2006-02-10,137.1,0.0729927,11.82707993,,,,
2006-06-01,127.9,-6.71043034,-6.71043034,4.32300163,,,
2006-06-02,128.1,0.15637217,-6.56455142,4.06173842,,,
2006-06-05,128.0,-0.07806401,-6.63749088,3.72771475,,,
2006-06-06,126.1,-1.484375,-8.02334063,2.02265372,,,
2006-06-07,126.4,0.23790642,-7.80452225,2.26537217,,,
2006-06-08,126.7,0.23734177,-7.58570387,2.92445167,,,
2006-06-09,126.8,0.0789266,-7.51276441,2.25806452,,,
2006-06-12,125.5,-1.02523659,-8.46097739,0.80321285,,,
2006-06-13,126.4,0.71713147,-7.80452225,1.52610442,,,
2006-06-14,126.6,0.15822785,-7.65864333,1.68674699,,,
2006-06-15,126.6,0.0,-7.65864333,1.68674699,,,
2006-06-16,125.1,-1.18483412,-8.75273523,0.48192771,,,
2006-06-19,126.4,1.03916867,-7.80452225,1.52610442,,,
2006-06-20,126.5,0.07911392,-7.73158279,1.6064257,,,
2006-06-21,125.5,-0.79051383,-8.46097739,0.80321285,,,
2006-06-22,125.3,-0.15936255,-8.60685631,0.64257028,,,
2006-06-23,125.1,-0.15961692,-8.75273523,0.48192771,,,
2006-06-26,127.1,1.59872102,-7.29394602,2.08835341,,,
2006-06-27,125.3,-1.41620771,-8.60685631,0.64257028,,,
2006-06-28,125.2,-0.07980846,-8.67979577,0.562249,,,
2006-06-29,124.8,-0.31948882,-8.97155361,0.24096386,,,
2006-06-30,125.2,0.32051282,-8.67979577,0.562249,,,
2006-07-03,124.9,-0.23961661,-8.89861415,0.32128514,,,
2006-07-04,123.4,-1.20096077,-9.99270605,-0.88353414,,,
2006-07-05,123.8,0.32414911,-9.70094821,-0.562249,,,
2006-07-06,122.8,-0.80775444,-10.43034282,-1.36546185,,,
2006-07-07,124.0,0.9771987,-9.55506929,-0.40160643,,,
2006-07-12,123.3,-0.56451613,-10.06564551,-6.87311178,,,
2006-07-13,125.5,1.78426602,-8.46097739,-5.78078078,,,
