日期,商品,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收方向,交收量
2014-09-05,Pt9995,293.5,293.5,293.0,293.05,-1.48,-0.005,293.27,384.0,112619000.0,,,
2014-09-05,Ag(T+D),4159.0,4197.0,4147.0,4165.0,5.0,0.0012,4165.0,913536.0,3805129752.0,5252236.0,空支付多,
2014-09-05,Ag99.99,4218.0,4218.0,4188.0,4206.0,11.0,0.0026,4206.0,4830.0,20315040.0,322.0,,
2014-09-05,Au(T+D),250.52,252.48,249.56,250.1,-0.94,-0.0037,250.15,37222.0,9311262880.0,144574.0,多支付空,11848.0
2014-09-05,mAu(T+D),250.87,252.5,249.87,250.25,-1.13,-0.0045,250.31,5329.8,1334146362.0,130808.0,多支付空,23644.0
2014-09-05,Au9995,251.0,251.08,249.7,250.09,-1.08,-0.0043,249.9,5546.0,1385966380.0,,,
2014-09-05,Au9999,251.44,252.0,249.6,250.25,-0.66,-0.0026,250.16,13288.58,3330792052.0,,,
2014-09-05,Au100g,252.0,252.98,250.5,251.14,-0.57,-0.0023,251.54,40.4,10162280.0,,,
2014-09-09,Pt9995,291.5,291.75,291.0,291.0,-2.05,-0.007,291.3,366.0,106618300.0,,,
2014-09-09,mAu(T+D),248.61,249.47,248.13,248.23,-2.08,-0.0083,248.54,2054.4,510600874.0,139416.0,多支付空,20802.0
2014-09-09,Au9999,250.25,250.25,248.18,248.18,-2.07,-0.0083,248.43,14277.64,3547070772.4,,,
2014-09-09,Au9995,248.99,248.99,247.9,248.0,-2.09,-0.0084,248.22,4426.0,1098635560.0,,,
2014-09-09,Au100g,253.98,253.98,248.21,248.38,-2.76,-0.011,249.42,60.2,15015498.0,,,
2014-09-09,Au(T+D),248.5,249.0,247.87,247.88,-2.27,-0.0091,248.27,26930.0,6685937480.0,145162.0,多支付空,9546.0
2014-09-09,Ag(T+D),4157.0,4162.0,4142.0,4150.0,-15.0,-0.0036,4152.0,467908.0,1942942368.0,5281428.0,空支付多,
2014-09-10,Ag(T+D),4150.0,4171.0,4138.0,4167.0,15.0,0.0036,4154.0,791414.0,3287911106.0,5263680.0,空支付多,
2014-09-10,Ag99.99,4180.0,4209.0,4180.0,4193.0,-13.0,-0.0031,4193.0,1650.0,6918750.0,110.0,,
2014-09-10,Au(T+D),248.24,248.3,245.95,247.98,-0.29,-0.0012,247.45,40372.0,9990408340.0,143174.0,空支付多,9814.0
2014-09-10,mAu(T+D),248.04,248.5,246.1,248.25,-0.29,-0.0012,247.68,2116.6,524240396.0,136972.0,多支付空,12066.0
2014-09-10,Au9995,247.6,248.23,245.5,248.17,0.17,0.0007,247.92,5140.0,1274351200.0,,,
2014-09-10,Au9999,248.45,248.6,246.01,248.46,0.28,0.0011,248.21,13515.28,3355129354.2,,,
2014-09-10,Pt9995,290.5,290.5,289.0,289.57,-1.43,-0.0049,289.67,448.0,129775000.0,,,
2014-09-10,Au100g,249.0,249.48,247.81,248.86,0.48,0.0019,248.74,60.0,14924722.0,,,
2014-09-11,Ag99.99,4180.0,4180.0,4180.0,4180.0,-13.0,-0.0031,4180.0,3000.0,12540000.0,200.0,,
2014-09-11,Ag(T+D),4152.0,4164.0,4148.0,4154.0,,,4154.0,521868.0,2167959162.0,5256348.0,空支付多,
2014-09-11,Au(T+D),247.1,247.4,246.0,246.98,-0.47,-0.0019,246.72,32068.0,7911835820.0,143604.0,多支付空,7350.0
2014-09-11,mAu(T+D),247.3,247.79,246.4,247.09,-0.59,-0.0024,246.96,2788.2,688598368.0,142404.0,空支付多,7172.0
2014-09-11,Au9995,247.3,247.3,246.2,246.95,-1.22,-0.0049,246.63,5930.0,1462556820.0,,,
2014-09-11,Au9999,247.95,247.95,246.5,247.19,-1.27,-0.0051,246.84,12707.0,3136673524.2,,,
2014-09-11,Pt9995,289.0,289.0,287.0,287.0,-2.57,-0.0089,287.35,190.0,54597000.0,,,
2014-09-11,Au100g,248.86,248.86,247.01,247.63,-1.23,-0.0049,247.92,70.6,17503698.0,,,
2014-09-12,Pt9995,286.0,286.0,284.0,284.91,-2.09,-0.0073,284.39,412.0,117171500.0,,,
2014-09-12,mAu(T+D),246.34,246.5,243.8,244.94,-2.02,-0.0082,245.01,4158.2,1018804584.0,140640.0,空支付多,22444.0
2014-09-12,Au9999,247.19,247.19,243.8,245.21,-1.98,-0.008,244.75,12573.28,3077401344.0,,,
2014-09-12,Au9995,246.3,246.3,243.6,244.9,-2.05,-0.0083,244.41,5284.0,1291478640.0,,,
2014-09-12,Au100g,247.01,247.01,244.5,245.89,-1.74,-0.007,245.64,68.6,16851090.0,,,
2014-09-12,Au(T+D),246.0,246.4,243.5,244.76,-1.96,-0.0079,244.75,41892.0,10253181620.0,150922.0,空支付多,9292.0
2014-09-12,Ag99.99,4178.0,4178.0,4178.0,4178.0,-2.0,-0.0005,4178.0,5550.0,23187900.0,370.0,,
2014-09-12,Ag(T+D),4135.0,4146.0,4081.0,4114.0,-40.0,-0.0096,4116.0,2097876.0,8636857864.0,5374644.0,空支付多,
2014-09-15,Ag99.99,4125.0,4149.0,4125.0,4143.0,-35.0,-0.0084,4143.0,2490.0,10316850.0,166.0,,
2014-09-15,Ag(T+D),4110.0,4122.0,4092.0,4118.0,2.0,0.0005,4107.0,820614.0,3370882152.0,5375152.0,空支付多,
2014-09-15,Au(T+D),244.5,244.67,242.93,244.44,-0.31,-0.0013,243.9,38410.0,9368346560.0,153520.0,空支付多,11036.0
2014-09-15,mAu(T+D),244.5,244.94,243.22,244.55,-0.46,-0.0019,244.02,2924.2,713575684.0,144178.0,空支付多,7162.0
2014-09-15,Au9995,244.9,244.9,243.6,244.2,-0.7,-0.0029,244.03,7742.0,1889314980.0,,,
2014-09-15,Au9999,245.0,245.45,243.3,244.8,-0.41,-0.0017,244.44,17376.92,4251238603.4,,,
2014-09-15,Pt9995,284.25,285.5,284.25,285.5,0.59,0.0021,285.22,202.0,57616000.0,,,
2014-09-15,Au100g,245.7,245.7,243.91,245.29,-0.6,-0.0024,244.73,99.0,24229096.0,,,
2014-09-16,Pt9995,284.75,285.5,284.5,284.5,-1.0,-0.0035,284.85,338.0,96279500.0,,,
2014-09-16,mAu(T+D),244.7,245.7,244.15,245.4,1.38,0.0057,244.93,1938.4,474776244.0,142544.0,空支付多,7106.0
2014-09-16,Au9999,245.8,245.8,244.4,245.4,0.6,0.0025,245.26,25037.7,6189033964.2,,,
2014-09-16,Au9995,244.5,245.4,244.5,245.13,0.93,0.0038,245.04,3630.0,889514200.0,,,
2014-09-16,Au100g,245.99,246.38,245.0,245.98,0.69,0.0028,245.84,33.2,8162002.0,,,
2014-09-16,Au(T+D),244.5,245.48,244.1,245.18,1.28,0.0052,244.83,29406.0,7199474480.0,157866.0,空支付多,8684.0
2014-09-16,Ag99.99,4150.0,4150.0,4135.0,4139.0,-4.0,-0.001,4139.0,3300.0,13659000.0,220.0,,
2014-09-16,Ag(T+D),4111.0,4149.0,4108.0,4127.0,20.0,0.0049,4128.0,864770.0,3569799650.0,5341770.0,空支付多,
2014-09-17,Ag(T+D),4133.0,4144.0,4122.0,4134.0,6.0,0.0015,4133.0,601366.0,2485661394.0,5302776.0,空支付多,
