日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2000-03-01,4,,,,,,
2004-02-01,2,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0
2004-03-01,8,300.0,100.0,100.0,100.0,100.0,100.0
2004-04-01,3,-62.5,-25.0,-25.0,-25.0,-25.0,-25.0
2004-05-01,6,100.0,200.0,50.0,50.0,50.0,50.0
2004-06-01,11,83.33333333,37.5,175.0,175.0,175.0,175.0
2004-07-01,8,-27.27272727,166.66666667,100.0,100.0,100.0,100.0
2004-08-01,20,150.0,233.33333333,900.0,400.0,400.0,400.0
2004-09-01,56,180.0,409.09090909,600.0,1300.0,1300.0,1300.0
2004-10-01,14,-75.0,75.0,366.66666667,250.0,250.0,250.0
2004-11-01,23,64.28571429,15.0,283.33333333,475.0,475.0,475.0
2004-12-01,44,91.30434783,-21.42857143,300.0,1000.0,1000.0,1000.0
2005-01-01,59,34.09090909,321.42857143,637.5,1375.0,1375.0,1375.0
2005-02-01,24,-59.3220339,4.34782609,20.0,1100.0,500.0,500.0
2005-03-01,52,116.66666667,18.18181818,-7.14285714,550.0,1200.0,1200.0
2005-04-01,55,5.76923077,-6.77966102,292.85714286,1733.33333333,1275.0,1275.0
2005-05-01,28,-49.09090909,16.66666667,21.73913043,366.66666667,600.0,600.0
2005-06-01,58,107.14285714,11.53846154,31.81818182,427.27272727,1350.0,1350.0
2005-07-01,58,0.0,5.45454545,-1.69491525,625.0,1350.0,1350.0
2005-08-01,71,22.4137931,153.57142857,195.83333333,255.0,1675.0,1675.0
2005-09-01,65,-8.45070423,12.06896552,25.0,16.07142857,1525.0,1525.0
2005-10-01,84,29.23076923,44.82758621,52.72727273,500.0,2000.0,2000.0
2005-11-01,37,-55.95238095,-47.88732394,32.14285714,60.86956522,825.0,825.0
2005-12-01,62,67.56756757,-4.61538462,6.89655172,40.90909091,1450.0,1450.0
2006-01-01,78,25.80645161,-7.14285714,34.48275862,32.20338983,1850.0,1850.0
2006-02-01,54,-30.76923077,45.94594595,-23.94366197,125.0,2600.0,1250.0
2006-03-01,110,103.7037037,77.41935484,69.23076923,111.53846154,1275.0,2650.0
2006-04-01,112,1.81818182,43.58974359,33.33333333,103.63636364,3633.33333333,2700.0
2006-05-01,69,-38.39285714,27.77777778,86.48648649,146.42857143,1050.0,1625.0
2006-06-01,132,91.30434783,20.0,112.90322581,127.5862069,1100.0,3200.0
2006-07-01,121,-8.33333333,8.03571429,55.12820513,108.62068966,1412.5,2925.0
2006-08-01,145,19.83471074,110.14492754,168.51851852,104.22535211,625.0,3525.0
2006-09-01,151,4.13793103,14.39393939,37.27272727,132.30769231,169.64285714,3675.0
2006-10-01,121,-19.86754967,0.0,8.03571429,44.04761905,764.28571429,2925.0
2006-11-01,141,16.52892562,-2.75862069,104.34782609,281.08108108,513.04347826,3425.0
2006-12-01,156,10.63829787,3.31125828,18.18181818,151.61290323,254.54545455,3800.0
2007-01-01,322,106.41025641,166.11570248,166.11570248,312.82051282,445.76271186,7950.0
