日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2001-12-27,849,,,,,,
2001-12-28,850,0.11778563,,,,,
2002-01-02,845,-0.58823529,,,,,
2002-01-03,826,-2.24852071,,,,,
2002-01-04,811,-1.81598063,,,,,
2002-01-07,800,-1.35635018,,,,,
2002-01-08,790,-1.25,,,,,
2002-01-09,778,-1.51898734,,,,,
2002-01-10,777,-0.1285347,,,,,
2002-01-11,773,-0.51480051,,,,,
2002-01-14,777,0.51746442,,,,,
2002-01-15,776,-0.12870013,,,,,
2002-01-16,783,0.90206186,,,,,
2002-01-17,790,0.89399745,,,,,
2002-01-18,793,0.37974684,,,,,
2002-01-21,800,0.88272383,,,,,
2002-01-22,811,1.375,,,,,
2002-01-23,811,0.0,,,,,
2002-01-24,815,0.49321825,,,,,
2002-01-25,815,0.0,,,,,
2002-01-28,812,-0.36809816,,,,,
2002-01-29,808,-0.49261084,,,,,
2002-01-30,812,0.4950495,,,,,
2002-01-31,810,-0.24630542,,,,,
2002-02-01,807,-0.37037037,,,,,
2002-02-04,724,-10.2850062,,,,,
2002-02-05,717,-0.96685083,,,,,
2002-02-06,714,-0.41841004,,,,,
2002-02-07,712,-0.28011204,,,,,
2002-02-08,706,-0.84269663,,,,,
2002-02-12,704,-0.28328612,,,,,
2002-02-13,703,-0.14204545,,,,,
2002-02-14,703,0.0,,,,,
2002-02-15,704,0.14224751,,,,,
2002-02-18,705,0.14204545,,,,,
2002-02-19,712,0.9929078,,,,,
2002-02-20,710,-0.28089888,,,,,
2002-02-21,709,-0.14084507,,,,,
2002-02-22,707,-0.28208745,,,,,
2002-02-25,706,-0.14144272,,,,,
2002-02-26,709,0.42492918,,,,,
2002-02-27,713,0.56417489,,,,,
2002-02-28,717,0.56100982,,,,,
2002-03-01,720,0.41841004,,,,,
2002-03-04,719,-0.13888889,,,,,
2002-03-05,717,-0.27816412,,,,,
2002-03-06,720,0.41841004,,,,,
2002-03-07,719,-0.13888889,,,,,
2002-03-11,699,-2.78164117,,,,,
2002-03-12,687,-1.7167382,,,,,
2002-03-13,681,-0.87336245,,,,,
2002-03-14,681,0.0,,,,,
2002-03-15,684,0.44052863,,,,,
2002-03-18,682,-0.29239766,,,,,
2002-03-19,678,-0.58651026,,,,,
2002-03-20,681,0.44247788,,,,,
2002-03-21,677,-0.58737151,,,,,
2002-03-22,681,0.59084195,,,,,
2002-03-25,680,-0.14684288,,,,,
2002-03-26,685,0.73529412,,,,,
2002-03-27,692,1.02189781,-18.49234393,,,,
2002-03-28,689,-0.43352601,-18.94117647,,,,
2002-04-02,689,0.0,-18.46153846,,,,
2002-04-03,691,0.29027576,-16.34382567,,,,
2002-04-04,707,2.3154848,-12.82367448,,,,
2002-04-05,718,1.55586987,-11.46732429,,,,
2002-04-08,718,0.0,-9.11392405,,,,
2002-04-09,720,0.27855153,-7.45501285,,,,
2002-04-10,721,0.13888889,-7.20720721,,,,
2002-04-11,733,1.66435506,-5.17464424,,,,
2002-04-12,736,0.40927694,-4.78654592,,,,
2002-04-15,753,2.30978261,-2.96391753,,,,
2002-04-16,775,2.92164675,-1.02171137,,,,
2002-04-17,778,0.38709677,-1.51898734,,,,
2002-04-18,778,0.0,-1.89155107,,,,
2002-04-19,774,-0.51413882,-2.39596469,,,,
2002-04-22,768,-0.7751938,-5.30209618,,,,
2002-04-23,758,-1.30208333,-6.5351418,,,,
2002-04-24,745,-1.71503958,-8.58895706,,,,
2002-04-25,744,-0.13422819,-8.71165644,,,,
2002-04-26,753,1.20967742,-7.60736196,,,,
2002-04-29,749,-0.5312085,-7.3019802,,,,
2002-04-30,759,1.33511348,-6.2962963,,,,
2002-05-01,760,0.13175231,-5.82403965,,,,
2002-05-02,760,0.0,-5.82403965,,,,
2002-05-03,760,0.0,-5.82403965,,,,
2002-05-07,756,-0.52631579,6.17977528,,,,
2002-05-08,746,-1.32275132,5.66572238,,,,
2002-05-09,741,-0.67024129,4.95750708,,,,
2002-05-10,735,-0.8097166,4.10764873,,,,
2002-05-13,742,0.95238095,5.54765292,,,,
2002-05-14,763,2.83018868,8.53485064,,,,
2002-05-15,782,2.49017038,11.07954545,,,,
2002-05-16,813,3.96419437,15.48295455,,,,
2002-05-17,821,0.98400984,16.61931818,,,,
2002-05-20,824,0.36540804,16.05633803,,,,
2002-05-22,830,0.72815534,17.39745403,,,,
2002-05-23,816,-1.68674699,15.41725601,,,,
2002-05-24,811,-0.6127451,14.71004243,,,,
2002-05-27,808,-0.36991369,13.32398317,,,,
