债券全称,债券类型,发行日期,计息方式,价格,债券期限,计划发行量,债券评级
2026年陕西省政府专项债券(八期),地方政府债,04-29,附息式固定利率,100.0,20年,6.3,AAA
2026年陕西省政府专项债券(六期),地方政府债,04-29,附息式固定利率,100.0,10年,1.4,AAA
2026年陕西省政府专项债券(四期),地方政府债,04-29,附息式固定利率,100.0,5年,1.4,AAA
2026年陕西省政府一般债券(四期),地方政府债,04-29,附息式固定利率,100.0,10年,12.83,AAA
2026年陕西省政府专项债券(五期),地方政府债,04-29,附息式固定利率,100.0,7年,4.0,AAA
2026年陕西省政府专项债券(七期),地方政府债,04-29,附息式固定利率,100.0,20年,16.3475,AAA
2026年陕西省政府专项债券(九期),地方政府债,04-29,附息式固定利率,100.0,20年,2.5,AAA
2026年陕西省地方政府再融资专项债券(五期),地方政府债,04-29,附息式固定利率,100.0,30年,29.9235,AAA
2026年吉林省政府专项债券(七期),地方政府债,04-29,附息式固定利率,100.0,30年,2.04,AAA
2026年吉林省收费公路专项债券(一期)-2026年吉林省政府专项债券(四期),地方政府债,04-29,附息式固定利率,100.0,30年,16.0,AAA
2026年吉林省政府专项债券(六期),地方政府债,04-29,附息式固定利率,100.0,20年,9.68,AAA
2026年吉林省政府专项债券(五期),地方政府债,04-29,附息式固定利率,100.0,15年,6.13,AAA
2026年吉林省地方政府再融资专项债券(五期),地方政府债,04-29,附息式固定利率,100.0,10年,24.4382,AAA
2026年吉林省棚户区改造专项债券(一期)-2026年吉林省政府专项债券(三期),地方政府债,04-29,附息式固定利率,100.0,10年,1.14,AAA
2026年吉林省政府一般债券(二期),地方政府债,04-29,附息式固定利率,100.0,10年,60.0,AAA
2026年吉林省地方政府再融资专项债券(四期),地方政府债,04-29,附息式固定利率,100.0,5年,9.7,AAA
2026年吉林省地方政府再融资一般债券(三期),地方政府债,04-29,附息式固定利率,100.0,5年,12.1404,AAA
2026年安徽省政府专项债券(二十一期),地方政府债,04-28,附息式固定利率,100.0,10年,4.48,AAA
2026年天津市地方政府再融资专项债券(十二期),地方政府债,04-28,附息式固定利率,100.0,20年,70.33,AAA
2026年天津市政府专项债券(十一期),地方政府债,04-28,附息式固定利率,100.0,7年,1.1,AAA
2026年天津市政府专项债券(十二期),地方政府债,04-28,附息式固定利率,100.0,20年,3.0,AAA
2026年安徽省政府专项债券(二十七期),地方政府债,04-28,附息式固定利率,100.0,20年,77.66,AAA
2026年安徽省政府专项债券(二十期),地方政府债,04-28,附息式固定利率,100.0,7年,4.16,AAA
2026年天津市地方政府再融资专项债券(九期),地方政府债,04-28,附息式固定利率,100.0,30年,85.9,AAA
2026年天津市地方政府再融资专项债券(十一期),地方政府债,04-28,附息式固定利率,100.0,20年,114.2925,AAA
2026年安徽省政府专项债券(二十五期),地方政府债,04-28,附息式固定利率,100.0,15年,33.42,AAA
2026年天津市政府专项债券(十期),地方政府债,04-28,附息式固定利率,100.0,30年,3.96,AAA
2026年安徽省政府一般债券(一期),地方政府债,04-28,附息式固定利率,100.0,7年,80.9526,AAA
2026年安徽省政府专项债券(二十二期),地方政府债,04-28,附息式固定利率,100.0,10年,4.13,AAA
2026年天津市政府一般债券(一期),地方政府债,04-28,附息式固定利率,100.0,7年,15.8793,AAA
2026年天津市地方政府再融资专项债券(八期),地方政府债,04-28,附息式固定利率,100.0,7年,16.0,AAA
2026年大连市地方政府再融资一般债券(二期),地方政府债,04-28,附息式固定利率,100.0,5年,18.0,AAA
2026年安徽省政府专项债券(二十四期),地方政府债,04-28,附息式固定利率,100.0,15年,7.04,AAA
2026年安徽省政府专项债券(二十六期),地方政府债,04-28,附息式固定利率,100.0,20年,6.2,AAA
2026年天津市地方政府再融资专项债券(十期),地方政府债,04-28,附息式固定利率,100.0,20年,86.9575,AAA
2026年大连市地方政府再融资一般债券(三期),地方政府债,04-28,附息式固定利率,100.0,7年,11.2833,AAA
2026年天津市地方政府再融资专项债券(七期),地方政府债,04-28,附息式固定利率,100.0,3年,1.0,AAA
2026年安徽省政府专项债券(二十八期),地方政府债,04-28,附息式固定利率,100.0,30年,19.61,AAA
2026年安徽省政府专项债券(二十三期),地方政府债,04-28,附息式固定利率,100.0,10年,3.02,AAA
2026年安徽省政府专项债券(十九期),地方政府债,04-28,附息式固定利率,100.0,5年,4.65,AAA
湖南银行股份有限公司2026年第042期同业存单,同业存单,04-27,贴现式,99.298,6月,4.5,
上海浦东发展银行2026年第112期同业存单,同业存单,04-27,贴现式,99.8941,1月,3.5,
中原银行股份有限公司2026年第061期同业存单,同业存单,04-27,贴现式,99.298,6月,15.0,
中原银行股份有限公司2026年第060期同业存单,同业存单,04-27,贴现式,99.6547,3月,5.0,
中信银行股份有限公司2026年第117期同业存单,同业存单,04-27,贴现式,98.5756,1年,25.0,
中信百信银行股份有限公司2026年第009期同业存单,同业存单,04-27,贴现式,99.2832,6月,20.0,
中国农业银行股份有限公司2026年第083期同业存单,同业存单,04-27,贴现式,99.3005,6月,180.0,
中国农业银行股份有限公司2026年第082期同业存单,同业存单,04-27,贴现式,99.8924,1月,300.0,
中国民生银行股份有限公司2026年第090期同业存单,同业存单,04-27,贴现式,98.9562,9月,6.0,
