日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2011-12-05,999,,,,,,
2011-12-12,991,-0.8008008,,,,,
2011-12-19,990,-0.10090817,,,,,
2011-12-26,988,-0.2020202,,,,,
2012-01-02,992,0.4048583,,,,,
2012-01-09,994,0.2016129,,,,,
2012-01-16,996,0.20120724,,,,,
2012-01-23,997,0.10040161,,,,,
2012-01-30,1010,1.30391174,,,,,
2012-02-06,1018,0.79207921,,,,,
2012-02-13,1013,-0.49115914,,,,,
2012-02-20,1013,0.0,,,,,
2012-02-27,1016,0.29615005,,,,,
2012-03-05,1017,0.0984252,1.8018018,,,,
2012-03-12,1019,0.19665683,2.82542886,,,,
2012-03-19,1018,-0.09813543,2.82828283,,,,
2012-03-26,1018,0.0,3.03643725,,,,
2012-04-02,1018,0.0,2.62096774,,,,
2012-04-09,1017,-0.09823183,2.3138833,,,,
2012-04-16,1017,0.0,2.10843373,,,,
2012-04-23,1016,-0.09832842,1.90571715,,,,
2012-04-30,1014,-0.19685039,0.3960396,,,,
2012-05-07,1005,-0.88757396,-1.27701375,,,,
2012-05-14,991,-1.39303483,-2.17176703,,,,
2012-05-21,981,-1.00908174,-3.15893386,,,,
2012-05-28,973,-0.81549439,-4.23228346,,,,
2012-06-04,960,-1.336074,-5.51181102,,,,
2012-06-11,948,-1.25,-6.78466077,-5.10510511,,,
2012-06-18,945,-0.3164557,-7.26202159,-4.64177598,,,
2012-06-25,938,-0.74074074,-7.85854617,-5.25252525,,,
2012-07-02,944,0.63965885,-7.26915521,-4.83870968,,,
2012-07-09,947,0.31779661,-6.88298918,-4.72837022,,,
2012-07-16,952,0.5279831,-6.3913471,-4.41767068,,,
2012-07-23,949,-0.31512605,-6.59448819,-4.81444333,,,
2012-07-30,949,0.0,-6.41025641,-6.03960396,,,
2012-08-06,953,0.42149631,-6.01577909,-6.38506876,,,
2012-08-13,952,-0.10493179,-5.27363184,-6.02171767,,,
2012-08-20,953,0.10504202,-3.8345106,-5.92300099,,,
2012-08-27,956,0.31479538,-2.54841998,-5.90551181,,,
2012-09-03,958,0.20920502,-1.54162384,-5.70866142,,,
2012-09-10,968,1.04384134,0.83333333,-4.81809243,,,
2012-09-17,977,0.92975207,3.05907173,-4.12168793,,,
2012-09-24,976,-0.10235415,3.28042328,-4.12573674,,,
2012-10-01,976,0.0,4.05117271,-4.12573674,,,
2012-10-08,977,0.10245902,3.49576271,-4.02750491,,,
2012-10-15,976,-0.10235415,3.06230201,-4.03146509,,,
2012-10-22,978,0.20491803,2.73109244,-3.83480826,,,
2012-10-29,974,-0.40899796,2.63435195,-4.13385827,,,
2012-11-05,972,-0.20533881,2.42360379,-4.14201183,,,
2012-11-12,969,-0.30864198,1.67890871,-3.58208955,,,
2012-11-19,966,-0.30959752,1.47058824,-2.52270434,,,
2012-11-26,967,0.10351967,1.46904512,-1.42711519,,,
2012-12-03,965,-0.20682523,0.73068894,-0.82219938,,,
2012-12-10,966,0.10362694,-0.20661157,0.625,-3.3033033,,
2012-12-17,969,0.31055901,-0.81883316,2.21518987,-2.21997982,,
2012-12-24,971,0.20639835,-0.51229508,2.75132275,-1.91919192,,
2012-12-31,975,0.41194645,-0.10245902,3.9445629,-1.31578947,,
2013-01-07,981,0.61538462,0.51229508,3.91949153,-1.10887097,,
2013-01-14,981,0.0,0.40941658,3.59028511,-1.30784708,,
2013-01-21,983,0.2038736,0.71721311,3.25630252,-1.30522088,,
2013-01-28,985,0.2034588,0.71574642,3.79346681,-1.20361083,,
2013-02-04,986,0.10152284,1.23203285,3.89884089,-2.37623762,,
2013-02-11,988,0.20283976,1.64609053,3.6726128,-2.94695481,,
2013-02-18,989,0.10121457,2.06398349,3.88655462,-2.36920039,,
2013-02-25,988,-0.10111223,2.27743271,3.6726128,-2.46791708,,
2013-03-04,981,-0.70850202,1.65803109,2.40083507,-3.44488189,,
2013-03-11,971,-1.01936799,0.51759834,0.30991736,-4.52310718,,
2013-03-18,965,-0.61791967,-0.4127967,-1.22824974,-5.29931305,,
2013-03-25,960,-0.51813472,-1.13285273,-1.63934426,-5.69744597,,
2013-04-01,954,-0.625,-2.15384615,-2.25409836,-6.28683694,,
2013-04-08,952,-0.20964361,-2.95616718,-2.55885363,-6.48330059,,
2013-04-15,944,-0.84033613,-3.77166157,-3.27868852,-7.17797443,,
2013-04-22,940,-0.42372881,-4.37436419,-3.88548057,-7.5712881,,
2013-04-29,938,-0.21276596,-4.7715736,-3.69609856,-7.67716535,,
2013-05-06,939,0.10660981,-4.76673428,-3.39506173,-7.3964497,,
2013-05-13,936,-0.31948882,-5.26315789,-3.40557276,-6.86567164,,
2013-05-20,933,-0.32051282,-5.66228514,-3.41614907,-5.85267407,,
2013-05-27,928,-0.53590568,-6.07287449,-4.03309204,-5.40265036,,
2013-06-03,923,-0.5387931,-6.57894737,-4.35233161,-5.13874615,,
2013-06-10,921,-0.21668472,-6.11620795,-4.65838509,-4.0625,,
2013-06-17,918,-0.3257329,-5.45829042,-5.26315789,-3.16455696,,
2013-06-24,912,-0.65359477,-5.49222798,-6.07621009,-3.49206349,,
2013-07-01,911,-0.10964912,-4.50733753,-6.56410256,-2.87846482,,
2013-07-08,910,-0.10976948,-4.41176471,-7.23751274,-3.60169492,,
2013-07-15,911,0.10989011,-3.49576271,-7.13557594,-3.80147835,,
2013-07-22,916,0.54884742,-2.55319149,-6.81586979,-3.78151261,,
2013-07-29,916,0.0,-2.34541578,-7.00507614,-3.47734457,,
2013-08-05,920,0.43668122,-1.91897655,-6.69371197,-3.05584826,,
2013-08-12,923,0.32608696,-1.70394036,-6.57894737,-3.14795383,,
2013-08-19,922,-0.10834236,-1.4957265,-6.77451972,-3.1512605,,
