商品,日期,今值,预测值,前值
中国CPI月率报告,1996-02-01,2.1,,
中国CPI月率报告,1996-03-01,2.3,,2.1
中国CPI月率报告,1996-04-01,0.6,,2.3
中国CPI月率报告,1996-05-01,0.7,,0.6
中国CPI月率报告,1996-06-01,-0.5,,0.7
中国CPI月率报告,1996-07-01,-1.6,,-0.5
中国CPI月率报告,1996-08-01,-0.8,,-1.6
中国CPI月率报告,1996-09-01,1.5,,-0.8
中国CPI月率报告,1996-10-01,1.5,,1.5
中国CPI月率报告,1996-11-01,-0.2,,1.5
中国CPI月率报告,1996-12-01,-0.1,,-0.2
中国CPI月率报告,1997-01-01,0.7,,-0.1
中国CPI月率报告,1997-02-01,1.1,,0.7
中国CPI月率报告,1997-03-01,2.0,,1.1
中国CPI月率报告,1997-04-01,-1.1,,2.0
中国CPI月率报告,1997-05-01,-0.2,,-1.1
中国CPI月率报告,1997-06-01,-0.9,,-0.2
中国CPI月率报告,1997-07-01,-1.7,,-0.9
中国CPI月率报告,1997-08-01,-1.2,,-1.7
中国CPI月率报告,1997-09-01,0.6,,-1.2
中国CPI月率报告,1997-10-01,1.7,,0.6
中国CPI月率报告,1997-11-01,-0.6,,1.7
中国CPI月率报告,1997-12-01,-0.3,,-0.6
中国CPI月率报告,1998-01-01,0.1,,-0.3
中国CPI月率报告,1998-02-01,0.7,,0.1
中国CPI月率报告,1998-03-01,1.5,,0.7
中国CPI月率报告,1998-04-01,-0.5,,1.5
中国CPI月率报告,1998-05-01,-0.8,,-0.5
中国CPI月率报告,1998-06-01,-1.4,,-0.8
中国CPI月率报告,1998-07-01,-1.8,,-1.4
中国CPI月率报告,1998-08-01,-1.3,,-1.8
中国CPI月率报告,1998-09-01,0.8,,-1.3
中国CPI月率报告,1998-10-01,1.6,,0.8
中国CPI月率报告,1998-11-01,-0.3,,1.6
中国CPI月率报告,1998-12-01,-0.3,,-0.3
中国CPI月率报告,1999-01-01,0.2,,-0.3
中国CPI月率报告,1999-02-01,0.2,,0.2
中国CPI月率报告,1999-03-01,1.3,,0.2
中国CPI月率报告,1999-04-01,-0.8,,1.3
中国CPI月率报告,1999-05-01,-1.0,,-0.8
中国CPI月率报告,1999-06-01,-1.3,,-1.0
中国CPI月率报告,1999-07-01,-1.8,,-1.3
中国CPI月率报告,1999-08-01,-0.9,,-1.8
中国CPI月率报告,1999-09-01,1.0,,-0.9
中国CPI月率报告,1999-10-01,2.0,,1.0
中国CPI月率报告,1999-11-01,0.0,,2.0
中国CPI月率报告,1999-12-01,-0.6,,0.0
中国CPI月率报告,2000-01-01,0.0,,-0.6
中国CPI月率报告,2000-02-01,0.9,,0.0
中国CPI月率报告,2000-03-01,1.9,,0.9
中国CPI月率报告,2000-04-01,-1.6,,1.9
中国CPI月率报告,2000-05-01,-0.9,,-1.6
中国CPI月率报告,2000-06-01,-1.0,,-0.9
中国CPI月率报告,2000-07-01,-1.5,,-1.0
中国CPI月率报告,2000-08-01,-0.8,,-1.5
中国CPI月率报告,2000-09-01,1.0,,-0.8
中国CPI月率报告,2000-10-01,1.6,,1.0
中国CPI月率报告,2000-11-01,-0.1,,1.6
中国CPI月率报告,2000-12-01,0.7,,-0.1
中国CPI月率报告,2001-01-01,0.1,,0.7
中国CPI月率报告,2001-02-01,0.9,,0.1
中国CPI月率报告,2001-03-01,0.1,,0.9
中国CPI月率报告,2001-04-01,-0.6,,0.1
中国CPI月率报告,2001-05-01,0.2,,-0.6
中国CPI月率报告,2001-06-01,-0.5,,0.2
中国CPI月率报告,2001-07-01,-1.2,,-0.5
中国CPI月率报告,2001-08-01,-0.5,,-1.2
中国CPI月率报告,2001-09-01,0.1,,-0.5
中国CPI月率报告,2001-10-01,0.9,,0.1
中国CPI月率报告,2001-11-01,0.3,,0.9
中国CPI月率报告,2001-12-01,-0.2,,0.3
中国CPI月率报告,2002-01-01,0.1,,-0.2
中国CPI月率报告,2002-02-01,0.3,,0.1
中国CPI月率报告,2002-03-01,1.1,,0.3
中国CPI月率报告,2002-04-01,-1.3,,1.1
中国CPI月率报告,2002-05-01,-0.3,,-1.3
中国CPI月率报告,2002-06-01,-0.3,,-0.3
中国CPI月率报告,2002-07-01,-0.9,,-0.3
中国CPI月率报告,2002-08-01,-0.7,,-0.9
中国CPI月率报告,2002-09-01,0.3,,-0.7
中国CPI月率报告,2002-10-01,1.0,,0.3
中国CPI月率报告,2002-11-01,0.2,,1.0
中国CPI月率报告,2002-12-01,-0.1,,0.2
中国CPI月率报告,2003-01-01,0.3,,-0.1
中国CPI月率报告,2003-02-01,1.1,,0.3
中国CPI月率报告,2003-03-01,0.9,,1.1
中国CPI月率报告,2003-04-01,-0.6,,0.9
中国CPI月率报告,2003-05-01,-0.2,,-0.6
中国CPI月率报告,2003-06-01,-0.7,,-0.2
中国CPI月率报告,2003-07-01,-1.2,,-0.7
中国CPI月率报告,2003-08-01,-0.5,,-1.2
中国CPI月率报告,2003-09-01,0.7,,-0.5
中国CPI月率报告,2003-10-01,1.2,,0.7
中国CPI月率报告,2003-11-01,0.9,,1.2
中国CPI月率报告,2003-12-01,1.0,,0.9
中国CPI月率报告,2004-01-01,0.6,,1.0
中国CPI月率报告,2004-02-01,1.1,,0.6
中国CPI月率报告,2004-03-01,-0.2,,1.1
中国CPI月率报告,2004-04-01,0.3,,-0.2
中国CPI月率报告,2004-05-01,0.5,,0.3
