商品,日期,今值,预测值,前值
中国财新制造业PMI终值报告,2012-01-20,48.8,,48.7
中国财新制造业PMI终值报告,2012-02-22,49.7,,48.8
中国财新制造业PMI终值报告,2012-03-22,48.1,,49.6
中国财新制造业PMI终值报告,2012-04-23,49.1,,48.3
中国财新制造业PMI终值报告,2012-05-02,49.3,,49.1
中国财新制造业PMI终值报告,2012-05-24,48.7,,49.3
中国财新制造业PMI终值报告,2012-06-01,48.4,,48.7
中国财新制造业PMI终值报告,2012-06-21,48.1,,48.4
中国财新制造业PMI终值报告,2012-07-02,48.2,,48.1
中国财新制造业PMI终值报告,2012-07-24,49.5,,48.2
中国财新制造业PMI终值报告,2012-08-01,49.3,,49.5
中国财新制造业PMI终值报告,2012-08-23,47.8,,49.3
中国财新制造业PMI终值报告,2012-09-03,47.6,,47.8
中国财新制造业PMI终值报告,2012-09-20,47.8,,47.6
中国财新制造业PMI终值报告,2012-09-29,47.9,,47.8
中国财新制造业PMI终值报告,2012-10-24,49.1,,47.9
中国财新制造业PMI终值报告,2012-11-01,49.5,49.1,49.1
中国财新制造业PMI终值报告,2012-11-22,50.4,,49.5
中国财新制造业PMI终值报告,2012-12-03,50.5,50.4,50.4
中国财新制造业PMI终值报告,2012-12-14,50.9,,50.5
中国财新制造业PMI终值报告,2012-12-31,51.5,50.9,50.9
中国财新制造业PMI终值报告,2013-01-24,51.9,,51.5
中国财新制造业PMI终值报告,2013-02-01,52.3,52.1,51.9
中国财新制造业PMI终值报告,2013-02-25,50.4,52.2,52.3
中国财新制造业PMI终值报告,2013-03-01,50.4,50.4,50.4
中国财新制造业PMI终值报告,2013-03-21,51.7,51.2,50.4
中国财新制造业PMI终值报告,2013-04-01,51.6,51.7,51.7
中国财新制造业PMI终值报告,2013-04-23,50.5,51.4,51.6
中国财新制造业PMI终值报告,2013-05-02,50.4,50.6,50.5
中国财新制造业PMI终值报告,2013-05-23,49.6,50.5,50.4
中国财新制造业PMI终值报告,2013-06-03,49.2,49.6,49.6
中国财新制造业PMI终值报告,2013-06-20,48.3,49.4,49.2
中国财新制造业PMI终值报告,2013-07-01,48.2,48.3,48.3
中国财新制造业PMI终值报告,2013-07-24,47.7,48.6,48.2
中国财新制造业PMI终值报告,2013-08-01,47.7,47.7,47.7
中国财新制造业PMI终值报告,2013-08-22,50.1,48.3,47.7
中国财新制造业PMI终值报告,2013-09-02,50.1,50.2,50.1
中国财新制造业PMI终值报告,2013-09-23,51.2,50.9,50.1
中国财新制造业PMI终值报告,2013-09-30,50.2,51.2,51.2
中国财新制造业PMI终值报告,2013-10-24,50.9,50.5,50.2
中国财新制造业PMI终值报告,2013-11-01,50.9,50.7,50.9
中国财新制造业PMI终值报告,2013-11-21,50.4,50.8,50.9
中国财新制造业PMI终值报告,2013-12-02,50.8,50.5,50.4
中国财新制造业PMI终值报告,2013-12-16,50.5,51.0,50.8
中国财新制造业PMI终值报告,2014-01-02,50.5,50.5,50.5
中国财新制造业PMI终值报告,2014-01-23,49.6,50.6,50.5
中国财新制造业PMI终值报告,2014-01-30,49.5,49.6,49.6
