月份,当月,当月-同比增长,当月-环比增长,累计,累计-同比增长
2008年01月份,7396.64,42.35230494,135.2127098,7396.64,42.4
2008年02月份,4158.75,36.55213854,-43.77514655,11555.39,40.2
2008年03月份,4415.95,24.67144918,6.18455065,15971.34,35.5
2008年04月份,6824.88,17.01646489,54.55066294,22796.22,29.4
2008年05月份,6268.15,52.6025563,-8.15735954,29064.37,33.8
2008年06月份,5743.82,30.71039594,-8.36498807,34808.19,33.3
2008年07月份,6073.52,16.5223931,5.74008238,40881.71,30.5
2008年08月份,3847.93,10.08491111,-36.64415364,44729.64,28.4
2008年09月份,4217.22,3.07724646,9.59710806,48946.86,25.8
2008年10月份,5328.95,-0.33980909,26.36167902,54275.81,22.6
2008年11月份,3792.4,-3.084511,-28.83401045,58068.21,20.5
2008年12月份,3248.69,3.30814778,-14.33683156,61316.9,19.5
2009年01月份,6131.61,-17.10276558,88.74100022,6131.61,-17.1
2009年02月份,4108.23,-1.2147881,-32.99916335,10239.84,-11.4
2009年03月份,4402.21,-0.31114483,7.15587978,14642.05,-8.3
2009年04月份,5897.15,-13.59335256,33.95885249,20539.2,-9.9
2009年05月份,6569.47,4.80716001,11.40076138,27108.67,-6.7
2009年06月份,6867.47,19.56276485,4.53613457,33976.14,-2.4
2009年07月份,6695.91,10.24759942,-2.49815434,40672.05,-0.5
2009年08月份,5237.47,36.11136377,-21.78105739,45909.52,2.6
2009年09月份,5609.35,33.01060888,7.1003748,51518.87,5.3
2009年10月份,6844.93,28.4480057,22.0271511,58363.8,7.5
2009年11月份,5029.3,32.61523046,-26.52517995,63393.1,9.2
2009年12月份,5083.9,56.49077013,1.08563816,68477.0,11.7
2010年01月份,8658.66,41.21348227,70.31530911,8658.66,41.2
2010年02月份,4944.97,20.36740884,-42.88989289,13603.63,32.9
2010年03月份,6023.44,36.82763885,21.80943464,19627.07,34.0
2010年04月份,7925.66,34.39814148,31.58029299,27552.73,34.1
2010年05月份,7917.66,20.52205125,-0.10093797,35470.39,30.8
2010年06月份,7879.4,14.73512079,-0.48322358,43349.79,27.6
2010年07月份,7783.18,16.23782279,-1.22115897,51132.97,25.7
2010年08月份,5619.35,7.29130668,-27.8013614,56752.32,23.6
2010年09月份,6287.19,12.08410957,11.88464858,63039.51,22.4
2010年10月份,7860.31,14.83404505,25.02103483,70899.82,21.5
2010年11月份,5840.69,16.1332591,-25.69389757,76740.51,21.1
2010年12月份,6339.49,24.697378,8.54008687,83080.0,21.3
2011年01月份,11497.38,32.7847496,81.3612767,11497.38,32.8
2011年02月份,6997.01,41.49752172,-39.14256987,18494.39,36.0
2011年03月份,7631.35,26.6942146,9.06587242,26125.74,33.1
2011年04月份,10082.06,27.20782875,32.11371514,36207.8,31.4
2011年05月份,10612.26,34.03278241,5.25884591,46820.06,32.0
2011年06月份,10055.76,27.62088484,-5.24393485,56875.82,31.2
2011年07月份,9864.1,26.73611557,-1.9059723,66739.92,30.5
2011年08月份,7546.37,34.29257832,-23.49661905,74286.29,30.9
2011年09月份,7377.05,17.33461212,-2.24372778,81663.34,29.5431
2011年10月份,9188.34,16.89538962,24.55303949,90851.68,28.1409
2011年11月份,6457.32,10.5574855,-29.72267025,97309.0,26.8026
2011年12月份,6431.0,1.44349151,-0.40759944,103740.0,24.8
2012年01月份,12912.58,12.30889124,100.78650288,12912.58,12.31
2012年02月份,8005.7,14.41601484,-38.00077134,20918.28,13.1061
2012年03月份,9057.97,18.69420221,13.14400989,29976.25,14.7
2012年04月份,10774.0,6.86308155,18.94497332,40750.25,12.5455
2012年05月份,12004.77,13.12171017,11.42351958,52755.02,12.6761
2012年06月份,11040.25,9.79030924,-8.03447296,63795.27,12.1659
2012年07月份,10671.73,8.18756906,-3.33796789,74467.0,11.5779
2012年08月份,7863.0,4.19579215,-26.31935028,82330.0,10.8
2012年09月份,8258.37,11.94678089,5.0282335,90588.37,10.9
2012年10月份,10443.63,13.66177133,26.46115396,101032.0,11.2
2012年11月份,7871.3,21.89731963,-24.63061215,108903.3,11.9
2012年12月份,8306.7,29.16653709,5.53148781,117210.0,12.8
2013年01月份,13655.86,5.75624701,64.39572875,13655.86,5.8
2013年02月份,8770.28,9.55044531,-35.7764359,22426.14,7.2
2013年03月份,9607.75,6.06957188,9.54895397,32033.89,6.9
2013年04月份,11430.81,6.09625023,18.97489006,43464.7,6.6612
2013年05月份,12749.3,6.20195139,11.53452817,56214.0,6.6
2013年06月份,12376.52,12.10362084,-2.92392524,68590.52,7.5166
2013年07月份,11848.61,11.02801514,-4.26541548,80439.13,8.0198
2013年08月份,8588.17,9.22256136,-27.51748939,89027.3,8.13470181
2013年09月份,9361.73,13.36050577,9.00727396,98389.03,8.61110538
2013年10月份,12136.41,16.20873202,29.63853903,110525.44,9.39646845
2013年11月份,9124.96,15.92697521,-24.8133509,119650.4,9.86847965
2013年12月份,9492.6,14.27642746,4.02894917,129143.0,10.1
2014年01月份,15434.54,13.02503101,62.59549544,15434.54,13.02503101
2014年02月份,9487.98,8.18331912,-38.52761404,24922.52,11.13156343
2014年03月份,10103.21,5.15687856,6.48430962,35025.73,9.33960877
2014年04月份,12481.26,9.18963748,23.53756875,47506.99,9.30016772
2014年05月份,13669.98,7.22141608,9.52403844,61176.97,8.8
2014年06月份,13461.05,8.76280247,-1.52838556,74638.02,8.8
2014年07月份,12661.58,6.86131116,-5.93913551,87299.6,8.5
2014年08月份,9109.4,6.06916258,-28.05479253,96409.0,8.3
2014年09月份,9952.77,6.31336302,9.25823874,106361.77,8.1
2014年10月份,13280.2,9.42445089,33.43220028,119641.97,8.2
2014年11月份,9952.91,9.07346443,-25.05451725,129594.88,8.3
2014年12月份,10755.12,13.30004424,8.0600548,140350.0,8.6
2015年01月份,16203.42,4.98155436,50.65773325,16203.42,3.4
2015年02月份,9513.08,0.26454525,-41.28967835,25716.5,3.2
2015年03月份,10690.62,5.81409275,12.37811518,36407.12,2.4
2015年04月份,13502.09,8.17890181,26.29847474,49909.21,3.0
2015年05月份,14355.49,5.01471107,6.32050297,64264.7,5.0
2015年06月份,15335.24,13.92305949,6.82491507,79599.94,4.7
2015年07月份,14249.36,12.54014112,-7.08094559,93849.3,7.5
2015年08月份,9671.33,6.1686829,-32.12796926,103520.63,7.4
2015年09月份,10891.86,9.4354637,12.62008431,114412.49,7.6
2015年10月份,14435.08,8.69625457,32.53089922,128847.57,5.4
2015年11月份,11087.38,11.39837495,-23.19141979,139934.95,8.0
2015年12月份,12282.05,14.19723815,10.77504334,152217.0,8.4
2016年01月份,17166.3,5.94244919,39.76738411,17166.3,5.9
2016年02月份,10218.5,7.41526404,-40.47348584,27384.8,6.3
2016年03月份,11511.2,7.67570075,12.65058472,38896.0,6.5
2016年04月份,15523.0,14.96738653,34.85127528,54419.0,8.6
