季度,企业景气指数-指数,企业景气指数-同比,企业景气指数-环比,企业家信心指数-指数,企业家信心指数-同比,企业家信心指数-环比
2025年第4季度,108.4,8.4,-0.5,,,
2025年第3季度,108.9,8.9,0.4,,,
2025年第2季度,108.5,8.5,0.0,,,
2025年第1季度,108.5,8.5,0.2,,,
2024年第4季度,108.3,8.3,0.2,,,
2024年第3季度,108.1,8.1,0.6,,,
2024年第2季度,107.5,7.5,-1.6,,,
2024年第1季度,109.1,9.1,0.1,,,
2023年第4季度,109.0,9.0,0.4,,,
2023年第3季度,108.6,8.6,2.7,,,
2023年第2季度,105.9,5.9,-1.9,,,
2023年第1季度,107.8,7.8,8.9,,,
2022年第4季度,98.9,-1.1,-1.7,,,
2022年第3季度,100.6,0.6,-1.2,,,
2022年第2季度,101.8,1.8,-10.9,,,
2022年第1季度,112.7,12.7,-6.5,,,
2021年第4季度,119.2,19.2,0.0,,,
2021年第3季度,119.2,19.2,-4.6,120.9,20.9,-5.1
2021年第2季度,123.8,23.8,-1.4,126.0,26.0,-1.8
2021年第1季度,125.2,25.2,3.29,127.8,27.8,4.36
2020年第4季度,121.91,21.91,0.76,123.44,23.44,0.9
2020年第3季度,121.15,21.15,12.04,122.54,22.54,12.13
2020年第2季度,109.12,9.12,20.9,110.41,10.41,19.55
2020年第1季度,88.22,-11.78,-34.58,90.86,-9.14,-32.74
2019年第4季度,122.8,22.8,-0.6,123.6,23.6,-0.7
2019年第3季度,123.4,23.4,0.2,124.3,24.3,0.2
2019年第2季度,123.2,23.2,-3.4,124.1,24.1,-3.8
2019年第1季度,126.6,26.6,6.4,127.9,27.9,6.6
2018年第4季度,120.2,20.2,-2.5,121.3,21.3,-2.3
2018年第3季度,122.7,22.7,-1.8,123.6,23.6,-2.2
2018年第2季度,124.5,24.5,-2.1,125.8,25.8,-2.2
2018年第1季度,126.6,26.6,3.2,128.0,28.0,4.1
2017年第4季度,123.4,23.4,-0.1,123.9,23.9,0.3
2017年第3季度,123.5,23.5,0.4,123.6,23.6,0.5
2017年第2季度,123.1,23.1,-0.3,123.1,23.1,-0.6
2017年第1季度,123.4,23.4,9.9,123.7,23.7,10.1
2016年第4季度,113.5,13.5,2.2,113.6,13.6,2.2
2016年第3季度,111.3,11.3,3.5,111.4,11.4,3.4
2016年第2季度,107.8,7.8,0.7,108.0,8.0,0.1
2016年第1季度,107.1,7.1,-5.1,107.9,7.9,-1.0
2015年第4季度,112.2,12.2,-3.3,108.9,8.9,-3.2
2015年第3季度,115.5,15.5,-3.0,112.1,12.1,-2.4
2015年第2季度,118.5,18.5,-5.8,114.5,14.5,-6.1
2015年第1季度,124.3,24.3,6.3,120.6,20.6,5.5
2014年第4季度,118.0,18.0,-4.3,115.1,15.1,-3.9
2014年第3季度,122.3,22.3,-2.9,119.0,19.0,-2.4
2014年第2季度,125.2,25.2,,121.4,21.4,-2.9
2014年第1季度,,,,124.3,24.3,7.2
2013年第4季度,119.5,19.5,-2.0,117.1,17.1,-2.4
2013年第3季度,121.5,21.5,0.9,119.5,19.5,2.5
2013年第2季度,120.6,20.6,-5.0,117.0,17.0,-5.4
2013年第1季度,125.6,25.6,1.2,122.4,22.4,2.0
2012年第4季度,124.4,24.4,1.6,120.4,20.4,3.9
2012年第3季度,122.8,22.8,-4.13,116.5,16.5,-4.65
2012年第2季度,126.93,26.93,-0.41,121.15,21.15,-1.85
2012年第1季度,127.34,27.34,-0.86,123.0,23.0,1.0
2011年第4季度,128.2,28.2,-5.2,122.0,22.0,-7.4
2011年第3季度,133.4,33.4,-2.2,129.4,29.4,-3.0
2011年第2季度,135.6,35.6,1.8,132.4,32.4,-5.0
2011年第1季度,133.8,33.8,-4.2,137.4,37.4,0.4
2010年第4季度,138.0,38.0,0.1,137.0,37.0,1.1
2010年第3季度,137.9,37.9,2.0,135.9,35.9,2.9
2010年第2季度,135.9,35.9,3.0,133.0,33.0,-2.5
2010年第1季度,132.9,32.9,2.3,135.5,35.5,7.8
2009年第4季度,130.6,30.6,6.2,127.7,27.7,7.6
2009年第3季度,124.4,24.4,8.5,120.1,20.1,9.9
2009年第2季度,115.9,15.9,10.3,110.2,10.2,9.1
2009年第1季度,105.6,5.6,-1.4,101.1,1.1,6.5
2008年第4季度,107.0,7.0,-21.6,94.6,-5.4,-29.2
2008年第3季度,128.6,28.6,-8.8,123.8,23.8,-11.0
2008年第2季度,137.4,37.4,1.2,134.8,34.8,-5.8
2008年第1季度,136.2,36.2,-7.4,140.6,40.6,1.0
2007年第4季度,143.6,43.6,-1.1,139.6,39.6,-3.4
2007年第3季度,144.7,44.7,-1.3,143.0,43.0,-0.1
2007年第2季度,146.0,46.0,6.3,143.1,43.1,1.1
2007年第1季度,139.7,39.7,0.3,142.0,42.0,6.7
2006年第4季度,139.4,39.4,2.7,135.3,35.3,2.7
2006年第3季度,136.7,36.7,0.8,132.6,32.6,0.1
2006年第2季度,135.9,35.9,4.4,132.5,32.5,-0.6
2006年第1季度,131.5,31.5,-0.2,133.1,33.1,7.7
2005年第4季度,131.7,31.7,-0.3,125.4,25.4,-2.2
2005年第3季度,132.0,32.0,0.29,127.6,27.6,-0.9
2005年第2季度,131.71,31.71,-0.75,128.5,28.5,-7.35
2005年第1季度,132.46,32.46,-2.27,135.85,35.85,5.04
