商品,日期,今值,预测值,前值
中国以美元计算出口年率报告,1982-02-01,8.7,,
中国以美元计算出口年率报告,1982-03-01,23.2,,8.7
中国以美元计算出口年率报告,1982-04-01,12.2,,23.2
中国以美元计算出口年率报告,1982-05-01,-2.5,,12.2
中国以美元计算出口年率报告,1982-06-01,41.5,,-2.5
中国以美元计算出口年率报告,1982-07-01,0.8,,41.5
中国以美元计算出口年率报告,1982-08-01,-12.0,,0.8
中国以美元计算出口年率报告,1982-09-01,-14.1,,-12.0
中国以美元计算出口年率报告,1982-10-01,-3.9,,-14.1
中国以美元计算出口年率报告,1982-11-01,-17.5,,-3.9
中国以美元计算出口年率报告,1982-12-01,-9.9,,-17.5
中国以美元计算出口年率报告,1983-01-01,-5.1,,-9.9
中国以美元计算出口年率报告,1983-02-01,-11.8,,-5.1
中国以美元计算出口年率报告,1983-03-01,-21.9,,-11.8
中国以美元计算出口年率报告,1983-04-01,-7.4,,-21.9
中国以美元计算出口年率报告,1983-05-01,2.0,,-7.4
中国以美元计算出口年率报告,1983-06-01,6.9,,2.0
中国以美元计算出口年率报告,1983-07-01,-3.1,,6.9
中国以美元计算出口年率报告,1983-08-01,20.8,,-3.1
中国以美元计算出口年率报告,1983-09-01,19.9,,20.8
中国以美元计算出口年率报告,1983-10-01,-15.8,,19.9
中国以美元计算出口年率报告,1983-11-01,11.4,,-15.8
中国以美元计算出口年率报告,1983-12-01,6.7,,11.4
中国以美元计算出口年率报告,1984-01-01,7.7,,6.7
中国以美元计算出口年率报告,1984-02-01,17.2,,7.7
中国以美元计算出口年率报告,1984-03-01,30.3,,17.2
中国以美元计算出口年率报告,1984-04-01,25.0,,30.3
中国以美元计算出口年率报告,1984-05-01,16.4,,25.0
中国以美元计算出口年率报告,1984-06-01,11.6,,16.4
中国以美元计算出口年率报告,1984-07-01,15.6,,11.6
中国以美元计算出口年率报告,1984-08-01,-1.4,,15.6
中国以美元计算出口年率报告,1984-09-01,10.3,,-1.4
中国以美元计算出口年率报告,1984-10-01,22.0,,10.3
中国以美元计算出口年率报告,1984-11-01,12.1,,22.0
中国以美元计算出口年率报告,1984-12-01,4.8,,12.1
中国以美元计算出口年率报告,1985-01-01,-3.2,,4.8
中国以美元计算出口年率报告,1985-02-01,-10.4,,-3.2
中国以美元计算出口年率报告,1985-03-01,-7.6,,-10.4
中国以美元计算出口年率报告,1985-04-01,12.9,,-7.6
中国以美元计算出口年率报告,1985-05-01,0.9,,12.9
中国以美元计算出口年率报告,1985-06-01,0.0,,0.9
中国以美元计算出口年率报告,1985-07-01,-2.1,,0.0
中国以美元计算出口年率报告,1985-08-01,9.2,,-2.1
中国以美元计算出口年率报告,1985-09-01,0.9,,9.2
中国以美元计算出口年率报告,1985-10-01,16.0,,0.9
中国以美元计算出口年率报告,1985-11-01,12.9,,16.0
中国以美元计算出口年率报告,1985-12-01,22.0,,12.9
中国以美元计算出口年率报告,1986-01-01,53.2,,22.0
中国以美元计算出口年率报告,1986-02-01,15.0,,53.2
中国以美元计算出口年率报告,1986-03-01,25.0,,15.0
中国以美元计算出口年率报告,1986-04-01,-12.7,,25.0
中国以美元计算出口年率报告,1986-05-01,21.5,,-12.7
中国以美元计算出口年率报告,1986-06-01,14.8,,21.5
中国以美元计算出口年率报告,1986-07-01,33.2,,14.8
中国以美元计算出口年率报告,1986-08-01,18.9,,33.2
中国以美元计算出口年率报告,1986-09-01,18.8,,18.9
中国以美元计算出口年率报告,1986-10-01,14.5,,18.8
中国以美元计算出口年率报告,1986-11-01,21.1,,14.5
中国以美元计算出口年率报告,1986-12-01,10.5,,21.1
中国以美元计算出口年率报告,1987-01-01,2.7,,10.5
中国以美元计算出口年率报告,1987-02-01,-4.7,,2.7
中国以美元计算出口年率报告,1987-03-01,33.9,,-4.7
中国以美元计算出口年率报告,1987-04-01,41.5,,33.9
中国以美元计算出口年率报告,1987-05-01,19.8,,41.5
中国以美元计算出口年率报告,1987-06-01,20.0,,19.8
中国以美元计算出口年率报告,1987-07-01,23.9,,20.0
中国以美元计算出口年率报告,1987-08-01,21.7,,23.9
中国以美元计算出口年率报告,1987-09-01,20.0,,21.7
中国以美元计算出口年率报告,1987-10-01,27.4,,20.0
中国以美元计算出口年率报告,1987-11-01,17.7,,27.4
中国以美元计算出口年率报告,1987-12-01,41.1,,17.7
中国以美元计算出口年率报告,1988-01-01,47.4,,41.1
中国以美元计算出口年率报告,1988-02-01,52.8,,47.4
中国以美元计算出口年率报告,1988-03-01,8.3,,52.8
中国以美元计算出口年率报告,1988-04-01,17.5,,8.3
中国以美元计算出口年率报告,1988-05-01,38.3,,17.5
中国以美元计算出口年率报告,1988-06-01,44.3,,38.3
中国以美元计算出口年率报告,1988-07-01,9.0,,44.3
中国以美元计算出口年率报告,1988-08-01,18.2,,9.0
中国以美元计算出口年率报告,1988-09-01,24.1,,18.2
中国以美元计算出口年率报告,1988-10-01,17.5,,24.1
中国以美元计算出口年率报告,1988-11-01,19.9,,17.5
中国以美元计算出口年率报告,1988-12-01,4.9,,19.9
中国以美元计算出口年率报告,1989-01-01,12.5,,4.9
中国以美元计算出口年率报告,1989-02-01,4.7,,12.5
中国以美元计算出口年率报告,1989-03-01,6.9,,4.7
中国以美元计算出口年率报告,1989-04-01,11.3,,6.9
中国以美元计算出口年率报告,1989-05-01,-1.5,,11.3
中国以美元计算出口年率报告,1989-06-01,0.8,,-1.5
中国以美元计算出口年率报告,1989-07-01,13.2,,0.8
中国以美元计算出口年率报告,1989-08-01,14.3,,13.2
中国以美元计算出口年率报告,1989-09-01,19.8,,14.3
中国以美元计算出口年率报告,1989-10-01,19.2,,19.8
中国以美元计算出口年率报告,1989-11-01,8.4,,19.2
中国以美元计算出口年率报告,1989-12-01,20.6,,8.4
中国以美元计算出口年率报告,1990-01-01,-6.1,,20.6
中国以美元计算出口年率报告,1990-02-01,1.1,,-6.1
中国以美元计算出口年率报告,1990-03-01,11.5,,1.1
中国以美元计算出口年率报告,1990-04-01,19.3,,11.5
中国以美元计算出口年率报告,1990-05-01,21.9,,19.3
