月份,当月,当月-同比增长,当月-环比增长,累计,累计-同比增长
2008年01月份,11200250.0,116.42242395,-14.46044457,11200250,109.78
2008年02月份,6928190.0,52.80120508,-38.14254146,18128440,75.19
2008年03月份,9285600.0,50.17175239,34.02634743,27414040,61.26
2008年04月份,7602890.0,70.21497143,-18.12171534,35016930,59.32
2008年05月份,7760960.0,58.42185625,2.07907782,42777890,54.97
2008年06月份,9610050.0,44.94096816,23.82553189,52387940,45.55
2008年07月份,8336010.0,65.31928438,-13.25737119,60723950,44.54
2008年08月份,7008160.0,39.65151684,-15.92908358,67732110,41.6
2008年09月份,6641870.0,26.04197306,-5.22662154,74373980,39.85
2008年10月份,6721860.0,-0.80207077,1.2043295,81095840,35.06
2008年11月份,5321810.0,-30.69801905,-20.8283124,86417650,26.29
2008年12月份,5977790.0,-54.34588522,12.32625742,92395440,23.58
2009年01月份,7540950.0,-32.67159215,26.14946326,7540950,-32.67
2009年02月份,5832890.0,-15.80932394,-22.65046181,13373840,-26.23
2009年03月份,8403480.0,-9.49987077,44.07060651,21777320,-20.56
2009年04月份,5891510.0,-22.50959832,-29.89202092,27668830,-20.98
2009年05月份,6379000.0,-17.80656001,8.27444916,34047830,-20.4
2009年06月份,8960750.0,-6.75646849,40.47264462,43008580,-17.9
2009年07月份,5359420.0,-35.70761072,-40.19005106,48368000,-20.35
2009年08月份,7499000.0,7.00383553,39.92185722,55867000,-17.52
2009年09月份,7899000.0,18.92735028,5.33404454,63766000,-14.26
2009年10月份,7105000.0,5.69991044,-10.0519053,70871000,-12.61
2009年11月份,7023000.0,31.96637986,-1.15411682,77894000,-9.86
2009年12月份,12139000.0,103.06835804,72.84636195,90033000,-2.56
2010年01月份,8129000.0,7.7980891,-33.03402257,8129000,7.79
2010年02月份,5895000.0,1.06482378,-27.48185509,14024000,4.86
2010年03月份,9419000.0,12.08451737,59.77947413,23443000,7.65
2010年04月份,7346110.0,24.68976544,-22.00753796,30789110,11.28
2010年05月份,8132030.0,27.48126666,10.69845129,38921140,14.31
2010年06月份,12508630.0,39.59356081,53.81928006,51429770,19.58
2010年07月份,6923860.0,29.1904721,-44.64733548,58353630,20.65
2010年08月份,7602370.0,1.37845046,9.79959156,65956000,13.0281
2010年09月份,8383830.0,6.13786555,10.27916295,74339830,16.58
2010年10月份,7663170.0,7.85601689,-8.59583269,82003000,15.71
2010年11月份,9704000.0,38.17456927,26.6316681,91707000,17.73
2010年12月份,14028240.0,15.56339072,44.56141797,105735240,17.44
2011年01月份,10027550.0,23.35527125,-28.51883059,10027550,23.36
2011年02月份,7795390.0,32.23731976,-22.26027295,17822940,27.09
2011年03月份,12516620.0,32.88693067,60.56438485,30339560,29.42
2011年04月份,8463930.0,15.21648873,-32.37846959,38803490,26.03
2011年05月份,9224510.0,13.43428394,8.98613292,48028000,23.4
2011年06月份,12862810.0,2.83148514,39.4416614,60890810,18.4
2011年07月份,8296190.0,19.82030255,-35.50250684,69187000,18.57
2011年08月份,8447000.0,11.11008804,1.8178224,77634000,17.71
2011年09月份,9044570.0,7.88112354,7.07434592,86678570,16.6
2011年10月份,8333580.0,8.74846832,-7.86095967,95012150,15.86
2011年11月份,8756850.0,-9.76040808,5.07908966,103769000,13.15
2011年12月份,12242000.0,-12.73317251,39.79912868,116011000,9.72
2012年01月份,9997000.0,-0.30466066,-18.33850678,9997000,-0.3
2012年02月份,7725590.0,-0.895401,-22.72091627,17722590,-0.56
2012年03月份,11756950.0,-6.06929027,52.18190455,29479540,-2.83
2012年04月份,8401420.0,-0.73854581,-28.54082054,37880960,-2.38
2012年05月份,9229040.0,0.0491083,9.85095377,47110000,-1.91
2012年06月份,11979000.0,-6.87104917,29.79681527,59089000,-2.96
2012年07月份,7580000.0,-8.63275793,-36.72259788,66669000,-3.64
2012年08月份,8325000.0,-1.44429975,9.82849604,74994000,-3.4
2012年09月份,8429000.0,-6.80596203,1.24924925,83423000,-3.76
2012年10月份,8313000.0,-0.24695269,-1.37620121,91736000,-3.45
2012年11月份,8286000.0,-5.37693349,-0.32479249,100022000,-3.61
2012年12月份,11694000.0,-4.47639275,41.12961622,111716000,-3.7
2013年01月份,9270000.0,-7.27218165,-20.72857876,9270000,-7.27
2013年02月份,8214000.0,6.3219767,-11.39158576,17484000,-1.35
2013年03月份,12420700.0,5.64559686,51.21378135,29904700,1.44
2013年04月份,8435300.0,0.40326516,-32.0867584,38340000,1.21
2013年05月份,9255000.0,0.28128603,9.71749671,47595000,1.03
2013年06月份,14389000.0,20.11854078,55.47271745,61984000,4.9
2013年07月份,9408000.0,24.11609499,-34.61672111,71392000,7.09
2013年08月份,8378000.0,0.63663664,-10.94812925,79770000,6.37
2013年09月份,8839000.0,4.86415945,5.50250656,88609000,6.22
2013年10月份,8417000.0,1.25105257,-4.77429573,97026000,5.77
2013年11月份,8480000.0,2.34129858,0.74848521,105506000,5.48
2013年12月份,12080000.0,3.30083804,42.45283019,117586000,5.25
2014年01月份,10763000.0,16.10571737,-10.90231788,10763000,16.11
2014年02月份,8547000.0,4.05405405,-20.5890551,19310000,10.44
2014年03月份,12239000.0,-1.46288051,43.1964432,31549000,5.5
2014年04月份,8720000.0,3.37510225,-28.75234905,40269000,5.03
2014年05月份,8640000.0,-6.64505673,-0.91743119,48909000,2.76
2014年06月份,14417000.0,0.19459309,66.86342593,63326000,2.17
2014年07月份,7813000.0,-16.95365646,-45.80703336,71139000,-0.35
2014年08月份,7205000.0,-14.00095488,-7.78190196,78344000,-1.79
2014年09月份,9010500.0,1.94026474,25.05898681,87354500,-1.42
2014年10月份,8526500.0,1.30093858,-5.37151101,95881000,-1.18
2014年11月份,10360000.0,22.16981132,21.50354776,106241000,0.7
2014年12月份,13321000.0,10.27317881,28.58108108,119562000,1.68
2015年01月份,13923000.0,29.35984391,4.51918024,13923000,29.35
2015年02月份,8561000.0,0.16380016,-38.51181498,22484000,16.44
2015年03月份,12399000.0,1.30729635,44.83121131,34883000,10.57
2015年04月份,9611000.0,10.21788991,-22.48568433,44494000,10.49
2015年05月份,9335000.0,8.04398148,-2.8717095,53829000,10.06
2015年06月份,14582000.0,1.14448221,56.20782003,68411000,8.03
2015年07月份,8220000.0,5.20926661,-43.62913181,76631000,7.72
2015年08月份,8712000.0,20.91603053,5.98540146,85343000,8.93
2015年09月份,9560000.0,6.09844071,9.73370064,94903000,8.64
2015年10月份,8773000.0,2.89098692,-8.23221757,103676000,8.13
2015年11月份,10361000.0,0.00965251,18.10099168,114037000,7.34
2015年12月份,12230000.0,-8.19007582,18.03879934,126267000,5.6
2016年01月份,14070000.0,1.05580694,15.04497138,14070000,1.1
2016年02月份,8447000.0,-1.33162014,-39.9644634,22517000,0.2
2016年03月份,12898000.0,4.02451811,52.69326388,35415000,1.5
2016年04月份,9888000.0,2.88211424,-23.33695147,45303000,1.8
