截止日期,波罗的海好望角型船运价指数BCI,灵便型船综合运价指数BHMI,波罗的海超级大灵便型船BSI指数,波罗的海综合运价指数BDI,HRCI国际集装箱租船指数,油轮运价指数成品油运价指数BCTI,油轮运价指数原油运价指数BDTI
2026-04-23,4315.0,,1522.0,2673.0,,2201.0,2837.0
2026-04-22,4356.0,,1484.0,2675.0,,2198.0,2854.0
2026-04-21,4300.0,,1443.0,2640.0,,2202.0,2865.0
2026-04-20,4300.0,,1422.0,2633.0,,2163.0,2907.0
2026-04-17,4128.0,,1415.0,2567.0,,2123.0,2831.0
2026-04-16,4026.0,,1398.0,2523.0,,2121.0,2975.0
2026-04-15,3964.0,,1371.0,2484.0,,2135.0,3111.0
2026-04-14,3671.0,,1344.0,2354.0,,2147.0,3275.0
2026-04-13,3437.0,,1320.0,2250.0,,2146.0,3422.0
2026-04-10,3318.0,,1308.0,2201.0,,2106.0,3561.0
2026-04-09,3235.0,,1293.0,2161.0,,2084.0,3658.0
2026-04-08,3220.0,,1261.0,2139.0,,2023.0,3593.0
2026-04-07,3148.0,,1231.0,2095.0,,1972.0,3498.0
2026-04-02,3086.0,,1224.0,2066.0,,1969.0,3639.0
2026-04-01,3023.0,,1209.0,2030.0,,1994.0,3678.0
2026-03-31,2947.0,,1202.0,1995.0,,1966.0,3705.0
2026-03-30,3004.0,,1203.0,2017.0,,1930.0,3723.0
2026-03-27,3032.0,,1206.0,2031.0,,1947.0,3737.0
2026-03-26,2974.0,,1205.0,2014.0,,1936.0,3716.0
2026-03-25,2915.0,,1208.0,2001.0,,1892.0,3618.0
2026-03-24,2844.0,,1215.0,1989.0,,1833.0,3572.0
2026-03-23,2937.0,,1218.0,2037.0,,1748.0,3120.0
2026-03-19,2965.0,,1229.0,2057.0,,1549.0,2842.0
2026-03-18,2986.0,,1240.0,2064.0,,1510.0,2743.0
2026-03-17,2888.0,,1256.0,2024.0,,1461.0,2850.0
2026-03-16,2927.0,,1268.0,2038.0,,1455.0,2849.0
2026-03-13,2880.0,,1283.0,2028.0,,1463.0,2586.0
2026-03-12,2721.0,,1290.0,1972.0,,1471.0,2684.0
2026-03-11,2574.0,,1312.0,1926.0,,1553.0,2835.0
2026-03-10,2502.0,,1342.0,1919.0,,1579.0,2924.0
2026-03-09,2835.0,,1373.0,2066.0,,1585.0,3040.0
2026-03-06,2631.0,,1386.0,2010.0,,1592.0,3069.0
2026-03-05,2951.0,,1392.0,2138.0,,1654.0,3083.0
2026-03-04,3202.0,,1392.0,2233.0,,1784.0,3002.0
2026-03-03,3245.0,,1383.0,2242.0,,1395.0,2866.0
2026-03-02,3133.0,,1361.0,2187.0,,1124.0,2322.0
2026-02-27,3056.0,,1338.0,2140.0,,906.0,1991.0
