月份,黄金储备-数值,黄金储备-同比,黄金储备-环比,国家外汇储备-数值,国家外汇储备-同比,国家外汇储备-环比
2008年01月份,,,,15898.104,43.91438669,4.02822351
2008年02月份,,,,16471.3371,42.31667678,3.60566958
2008年03月份,,,,16821.77,39.94455701,2.12753159
2008年04月份,,,,17566.5514,40.91959398,4.42748534
2008年05月份,,,,17969.6074,39.01145518,2.29445149
2008年06月份,,,,18088.2805,35.73424209,0.66041009
2008年07月份,,,,18451.6418,33.20563334,2.00882168
2008年08月份,,,,18841.5279,33.75675817,2.11301576
2008年09月份,,,,19055.8452,32.92197035,1.13747304
2008年10月份,,,,18796.88,29.19724292,-1.35898039
2008年11月份,,,,18847.17,25.90751951,0.2675444
2008年12月份,,,,19460.3,27.33722449,3.25316745
2009年01月份,,,,19134.56,20.35749672,-1.67386936
2009年02月份,,,,19120.66,16.08444344,-0.07264343
2009年03月份,,,,19537.41,16.14360439,2.17957958
2009年04月份,,,,20088.8,14.35824564,2.82222669
2009年05月份,,,,20894.91,16.27916812,4.01273346
2009年06月份,,,,21316.06,17.84459004,2.01556264
2009年07月份,,,,21746.1791,17.85498188,2.01781708
2009年08月份,,,,22108.2688,17.33798298,1.66507274
2009年09月份,,,,22725.9517,19.25974136,2.7938999
2009年10月份,,,,23282.72,23.86481161,2.44992292
2009年11月份,,,,23887.8847,26.74520737,2.59920104
2009年12月份,,,,23991.5229,23.28444526,0.43385256
2010年01月份,,,,24152.21,26.22297037,0.66976615
2010年02月份,,,,24245.9067,26.80475831,0.38794255
2010年03月份,,,,24470.84,25.25119757,0.92771659
2010年04月份,,,,24905.12,23.97515033,1.77468366
2010年05月份,,,,24395.0578,16.75119826,-2.04802145
2010年06月份,,,,24542.748,15.13735653,0.60541033
2010年07月份,,,,25388.94,16.75126873,3.44782907
2010年08月份,,,,25478.38,15.24366847,0.35227938
2010年09月份,,,,26483.03,16.53210545,3.94314709
2010年10月份,,,,27608.99,18.58146299,4.25162831
2010年11月份,,,,27678.09,15.86664264,0.2502808
2010年12月份,,,,28473.38,18.68100295,2.87335578
2011年01月份,,,,29316.74,21.38326058,2.96192444
2011年02月份,,,,29913.86,23.37694923,2.03678854
2011年03月份,,,,30446.74,24.42049394,1.78138161
2011年04月份,,,,31458.43,26.31310349,3.3228188
2011年05月份,,,,31659.97,29.7802623,0.64065499
2011年06月份,,,,31974.9082,30.28251034,0.99475205
2011年07月份,,,,32452.83,27.82270548,1.49467763
2011年08月份,,,,32624.99,28.04970332,0.53049303
2011年09月份,,,,32016.83,20.89564525,-1.86409253
2011年10月份,,,,32737.96,18.57717359,2.25234666
2011年11月份,,,,32209.07,16.370277,-1.61552522
2011年12月份,,,,31811.48,11.72358182,-1.23440385
2012年01月份,,,,32536.31,10.98201915,2.27851706
2012年02月份,,,,33096.57,10.63958312,1.7219531
2012年03月份,,,,33049.71,8.54925683,-0.14158567
2012年04月份,,,,32989.13,4.86578637,-0.18329964
2012年05月份,,,,32061.09,1.26696267,-2.81316907
2012年06月份,,,,32400.05,1.3296107,1.05723168
2012年07月份,,,,32399.52,-0.16426919,-0.0016358
2012年08月份,,,,32729.01,0.31883535,1.01695951
