月份,当月,同比增长,环比增长,自年初累计
2026年03月份,49987.0,-1.12,,102708.0
2026年02月份,,,,52721.0
2025年12月份,41151.0,-15.21,17.17,485186.0
2025年11月份,35121.0,-17.59,-6.04,444035.0
2025年10月份,37379.0,-15.52,-17.71,408914.0
2025年09月份,45424.0,-8.41,19.91,371535.0
2025年08月份,37882.0,-9.32,-4.28,326111.0
2025年07月份,39575.0,-6.26,-30.21,288229.0
2025年06月份,56707.0,-1.18,26.23,248654.0
2025年05月份,44923.0,0.71,2.45,191947.0
2025年04月份,43850.0,1.13,-13.26,147024.0
2025年03月份,50555.0,2.76,,103174.0
2025年02月份,,,,52619.0
2024年12月份,48535.0,14.95,13.89,514374.0
2024年11月份,42617.0,2.93,-3.68,465839.0
2024年10月份,44244.0,-0.29,-10.79,423222.0
2024年09月份,49593.0,3.33,18.72,378978.0
2024年08月份,41774.0,1.53,-1.06,329385.0
2024年07月份,42220.0,-1.32,-26.43,287611.0
2024年06月份,57385.0,5.69,28.65,245391.0
2024年05月份,44605.0,7.92,2.87,188006.0
2024年04月份,43359.0,7.86,-11.86,143401.0
2024年03月份,49195.0,-8.4,,100042.0
2024年02月份,,,,50847.0
2023年12月份,42222.0,-18.95,1.97,503036.0
2023年11月份,41405.0,-14.78,-6.69,460814.0
2023年10月份,44374.0,-11.34,-7.54,419409.0
2023年09月份,47993.0,-11.62,16.65,375035.0
2023年08月份,41144.0,-13.0,-3.84,327042.0
2023年07月份,42785.0,-11.57,-21.2,285898.0
2023年06月份,54298.0,-17.06,31.37,243113.0
2023年05月份,41333.0,-21.15,2.82,188815.0
2023年04月份,40200.0,-17.41,-25.15,147482.0
2023年03月份,53705.0,-0.75,,107282.0
2023年02月份,,,,53577.0
2022年12月份,52095.0,3.23,7.23,572138.0
2022年11月份,48584.0,0.67,-2.92,520043.0
2022年10月份,50047.0,4.27,-7.84,471459.0
2022年09月份,54306.0,6.66,14.83,421412.0
2022年08月份,47294.0,6.57,-2.25,367106.0
2022年07月份,48382.0,3.75,-26.1,319812.0
2022年06月份,65466.0,5.62,24.89,271430.0
2022年05月份,52420.0,4.6,7.7,205964.0
2022年04月份,48672.0,1.8,-10.05,153544.0
2022年03月份,54109.0,6.6,,104872.0
2022年02月份,,,,50763.0
2021年12月份,50465.0,160.84,4.57,544547.0
2021年11月份,48259.0,196.65,0.55,494082.0
2021年10月份,47996.0,2.64,-5.73,445823.0
2021年09月份,50914.0,-11.75,14.72,397827.0
2021年08月份,44380.0,-10.56,-4.83,346913.0
2021年07月份,46633.0,-2.05,-24.76,302533.0
2021年06月份,61983.0,-24.79,23.69,255900.0
2021年05月份,50113.0,-19.65,4.82,193917.0
2021年04月份,47810.0,-9.24,-5.81,143804.0
2021年03月份,50758.0,-0.13,,95994.0
2021年02月份,,,,45236.0
2020年12月份,19347.0,8.94,18.93,518907.0
2020年11月份,16268.0,-28.77,-65.21,499560.0
2020年10月份,46762.0,-5.87,-18.95,483292.0
2020年09月份,57696.0,-4.75,16.28,436530.0
2020年08月份,49620.0,-4.09,4.22,378834.0
2020年07月份,47611.0,-4.38,-42.23,329214.0
2020年06月份,82409.0,1.06,32.13,281603.0
2020年05月份,62370.0,0.91,18.4,199194.0
2020年04月份,52679.0,-2.22,3.65,136824.0
2020年03月份,50822.0,-10.87,,84145.0
2020年02月份,,,,33323.0
2019年12月份,17760.0,-32.65,-22.23,551478.0
2019年11月份,22838.0,-62.99,-54.03,533718.0
2019年10月份,49676.0,-22.53,-17.99,510880.0
2019年09月份,60576.0,-11.29,17.09,461204.0
2019年08月份,51736.0,-12.84,3.9,400628.0
2019年07月份,49792.0,-14.86,-38.94,348892.0
2019年06月份,81545.0,0.33,31.93,299100.0
2019年05月份,61808.0,0.2,14.72,217555.0
2019年04月份,53876.0,0.52,-5.52,155747.0
2019年03月份,57022.0,1.58,,101871.0
2019年02月份,,,,44849.0
2018年12月份,26369.0,-53.43,-57.26,635636.0
2018年11月份,61700.0,7.79,-3.78,609267.0
2018年10月份,64125.0,8.06,-6.09,547567.0
2018年09月份,68284.0,6.15,15.03,483442.0
2018年08月份,59360.0,4.62,1.5,415158.0
2018年07月份,58482.0,2.95,-28.04,355798.0
2018年06月份,81273.0,5.7,31.75,297316.0
2018年05月份,61685.0,3.86,15.09,216043.0
2018年04月份,53595.0,6.02,-4.53,154358.0
2018年03月份,56137.0,7.13,,100763.0
2018年02月份,,,,44626.0
2017年12月份,56627.0,-2.29,-1.07,631684.0
2017年11月份,57239.0,5.77,-3.54,575057.0
2017年10月份,59340.0,3.16,-7.75,517818.0
2017年09月份,64328.0,6.21,13.37,458478.0
2017年08月份,56741.0,3.84,-0.11,394150.0
2017年07月份,56804.0,6.51,-26.12,337409.0
2017年06月份,76887.0,8.77,29.46,280605.0
2017年05月份,59391.0,7.83,17.49,203718.0
2017年04月份,50550.0,8.13,-3.53,144327.0
2017年03月份,52399.0,9.54,,93777.0
