月份,当月出口额-金额,当月出口额-同比增长,当月出口额-环比增长,当月进口额-金额,当月进口额-同比增长,当月进口额-环比增长,累计出口额-金额,累计出口额-同比增长,累计进口额-金额,累计进口额-同比增长
2026年03月份,321032652.74,2.5,7.07952771,269903560.06,27.8,29.12613796,977493896.094,14.7,713160870.19,22.7
2026年02月份,299807684.643,39.6,-15.9386813,209023180.217,13.9,-10.76314101,656461243.354,21.8,443257310.13,19.8
2026年01月份,356653558.711,10.0,-0.19182268,234234129.913,25.7,-3.86158314,356653558.711,10.0,234234129.913,25.7
2025年12月份,357339015.985,6.6,8.27562813,243642591.137,5.7,11.29233142,3770613022.336,5.5,2585535331.358,0.0
2025年11月份,330027192.787,5.9,8.2272808,218921275.188,1.9,1.32089263,3413274006.351,5.4,2341892740.221,-0.6
2025年10月份,304939004.612,-1.2,-7.08386128,216067258.698,0.9,-9.58702465,3083246813.564,5.3,2122971465.033,-0.8
2025年09月份,328187340.558,8.2,2.13455598,238978153.143,7.4,8.57500714,2778307808.952,6.1,1906904206.335,-1.0
2025年08月份,321328405.86,4.3,0.02517955,220104202.09,1.4,-1.65106988,2450120468.394,5.8,1667926053.192,-2.1
2025年07月份,321247517.169,7.1,-1.05960751,223799284.673,4.2,6.15158712,2128792062.534,6.0,1447821851.102,-2.6
2025年06月份,324687934.9,5.8,2.88165272,210829899.712,1.2,-0.9604067,1807544545.365,5.9,1224022566.429,-3.8
2025年05月份,315593622.674,4.6,0.15014272,212874359.319,-3.3,-2.90401318,1482856610.465,5.9,1013192666.717,-4.8
2025年04月份,315120492.198,8.0,0.6501736,219241151.243,-0.3,3.81712858,1167262987.791,6.2,800318307.398,-5.1
2025年03月份,313084896.868,12.2,45.77297043,211180133.992,-4.3,15.03153169,852142495.593,5.6,581077156.155,-6.9
2025年02月份,214775685.745,-3.1,-33.76883596,183584562.328,1.6,-1.46415195,539057598.725,2.1,369897022.163,-8.3
2025年01月份,324281912.98,5.9,-3.38570262,186312459.835,-16.3,-19.15974746,324281912.98,5.9,186312459.835,-16.3
2024年12月份,335645884.471,10.7,7.62110068,230469913.179,1.0,7.41945358,3575794682.302,5.9,2583218073.401,1.1
2024年11月份,311877394.264,6.6,0.97842491,214551373.611,-4.0,0.66285797,3240148797.831,5.4,2352748160.222,1.1
2024年10月份,308855475.342,12.7,1.80735302,213138567.625,-2.4,-3.82500264,2928271403.567,5.3,2138196786.611,1.7
2024年09月份,303372463.959,2.4,-1.57987541,221615361.041,0.2,2.27315865,2619415928.225,4.5,1925058218.986,2.1
2024年08月份,308242308.388,8.6,2.67087267,216689661.262,0.2,0.90582073,2316043464.266,4.7,1703442857.945,2.4
2024年07月份,300223715.236,6.9,-2.28229888,214744461.409,6.8,3.14412761,2007801155.878,4.2,1486753196.683,2.7
2024年06月份,307235753.382,8.5,1.86756697,208198436.869,-2.5,-5.45326804,1707577440.642,3.7,1272008735.274,2.0
2024年05月份,301603113.273,7.4,3.38883817,220206909.909,2.0,0.16769387,1400341687.26,2.7,1063810298.405,3.0
2024年04月份,291717286.519,1.3,4.5064135,219838254.643,8.3,-0.32743728,1098738573.987,1.5,843603388.496,3.2
2024年03月份,279138166.508,-7.6,25.9313085,220560451.794,-2.0,22.07557958,807021287.468,1.5,623765133.853,1.6
2024年02月份,221659069.396,6.3,-27.61539524,180675326.347,-8.0,-18.80831822,527883120.96,7.1,403204682.059,3.7
2024年01月份,306224051.564,7.7,0.97199321,222529355.712,15.6,-2.63376694,306224051.564,7.7,222529355.712,15.6
2023年12月份,303276227.214,2.3,3.63858158,228548798.415,0.2,2.22990466,3379043569.498,-4.6,2556941206.115,-5.5
2023年11月份,292628693.462,0.7,6.72152441,223563544.516,-0.7,2.39414393,3075767342.284,-5.3,2328392407.7,-6.1
2023年10月份,274198382.276,-6.6,-7.50690484,218336260.192,2.9,-1.35406541,2783138648.822,-5.9,2104828863.184,-6.6
2023年09月份,296452812.815,-6.8,4.44407374,221333257.262,-6.3,2.17586309,2508940266.546,-5.8,1886492602.992,-7.6
2023年08月份,283838806.932,-8.5,1.08983475,216619904.704,-7.2,7.56638839,2212487453.731,-5.6,1665159345.73,-7.7
2023年07月份,280778782.19,-14.2,-0.91675965,201382521.006,-12.1,-5.81615481,1928648646.799,-5.2,1448539441.026,-7.8
2023年06月份,283376665.126,-12.4,0.87502543,213818538.203,-7.0,-0.90291576,1647869864.609,-3.5,1247156920.02,-7.1
2023年05月份,280918556.318,-7.6,-2.48497125,215766730.015,-5.2,6.27369522,1364493199.483,-1.4,1033338381.817,-7.1
2023年04月份,288077191.721,7.1,-4.75150526,203029291.081,-8.8,-9.91475083,1083574643.165,0.4,817571651.802,-7.6
2023年03月份,302448025.551,10.9,44.96102616,225374623.435,-2.0,14.62384144,795497451.444,-1.9,614542360.721,-7.2
2023年02月份,208640924.774,-2.8,-26.64040493,196621069.936,4.3,2.11605978,493049425.893,-8.4,389167737.286,-10.0
2023年01月份,284408501.119,-12.0,-4.20730296,192546667.35,-21.0,-15.50995392,284408501.119,-12.0,192546667.35,-21.0
2022年12月份,296899982.9,-9.9,2.16253935,227892723.8,-7.5,1.36189065,3544434491.0,7.0,2706506863.0,1.1
2022年11月份,290615312.4,-9.0,-1.0212613,224830774.5,-10.6,6.09908671,3247534508.0,8.9,2478614139.0,2.0
2022年10月份,293613877.3,-0.3,-7.73898056,211906418.3,-0.7,-10.24413349,2956919196.0,11.1,2253783365.0,3.4
2022年09月份,318242611.1,5.6,2.53107477,236091997.7,0.2,1.15685777,2663305318.0,12.5,2041876947.0,3.9
2022年08月份,310386496.8,7.4,-5.21484421,233391984.4,0.0,1.81859344,2345062707.0,13.6,1805784949.0,4.4
2022年07月份,327463192.1,18.1,1.25431861,229223343.7,1.6,-0.38095428,2034676211.0,14.5,1572392964.0,5.0
2022年06月份,323406642.4,17.1,6.41927287,230099919.2,0.0,1.01523601,1707213018.0,13.9,1343169621.0,5.6
2022年05月份,303898564.3,16.4,12.98802048,227787340.1,3.5,2.29638711,1383806376.0,13.2,1113069701.0,6.9
2022年04月份,268965296.5,3.5,-1.4307888,222673885.7,0.1,-3.19232382,1079907812.0,12.3,885282361.4,7.8
