时间,前值,现值,发布日期
2008年01月,64449,67774.0,2008-02-04
2008年02月,67774,51974.0,2008-03-06
2008年03月,51974,44017.0,2008-04-04
2008年04月,44017,33509.0,2008-05-05
2008年05月,33509,33972.0,2008-06-04
2008年06月,33972,57479.0,2008-07-05
2008年07月,57479,32697.0,2008-08-04
2008年08月,32697,18030.0,2008-09-04
2008年09月,18030,23559.0,2008-10-05
2008年10月,23559,18937.0,2008-11-04
2008年11月,18937,10648.0,2008-12-05
2008年12月,10648,20516.0,2009-01-04
2009年01月,20516,18684.0,2009-02-04
2009年02月,18684,15874.0,2009-03-07
2009年03月,15874,28594.0,2009-04-04
2009年04月,28594,40315.0,2009-05-05
2009年05月,40315,44000.0,2009-06-04
2009年06月,44000,58187.0,2009-07-05
2009年07月,58187,53591.0,2009-08-04
2009年08月,53591,53189.0,2009-09-04
2009年09月,53189,67049.0,2009-10-05
2009年10月,67049,45452.0,2009-11-04
2009年11月,45452,47905.0,2009-12-05
2009年12月,47905,42855.0,2010-01-04
2010年01月,42855,44712.0,2010-02-04
2010年02月,44712,48684.0,2010-03-07
2010年03月,48684,58084.0,2010-04-04
2010年04月,58084,63776.0,2010-05-05
2010年05月,63776,52684.0,2010-06-04
2010年06月,52684,43070.0,2010-07-05
2010年07月,43070,60424.0,2010-08-04
2010年08月,60424,80237.0,2010-09-04
2010年09月,80237,53511.0,2010-10-05
2010年10月,53511,56860.0,2010-11-04
2010年11月,56860,74026.0,2010-12-05
2010年12月,74026,53412.0,2011-01-04
2011年01月,53412,59057.0,2011-02-04
2011年02月,59057,55023.0,2011-03-07
2011年03月,55023,69354.0,2011-04-04
2011年04月,69354,53101.0,2011-05-05
2011年05月,53101,63141.0,2011-06-04
2011年06月,63141,70459.0,2011-07-05
2011年07月,70459,42354.0,2011-08-04
2011年08月,42354,40845.0,2011-09-04
2011年09月,40845,31219.0,2011-10-05
2011年10月,31219,27561.0,2011-11-04
2011年11月,27561,43163.0,2011-12-05
2011年12月,43163,32613.0,2012-01-04
2012年01月,32613,27809.0,2012-02-04
2012年02月,27809,26973.0,2012-03-06
2012年03月,26973,74823.0,2012-04-04
2012年04月,74823,60826.0,2012-05-05
2012年05月,60826,65358.0,2012-06-04
2012年06月,65358,54463.0,2012-07-05
2012年07月,54463,46802.0,2012-08-04
2012年08月,46802,54150.0,2012-09-04
2012年09月,54150,53590.0,2012-10-05
2012年10月,53590,77890.0,2012-11-04
2012年11月,77890,69727.0,2012-12-05
2012年12月,69727,41547.0,2013-01-03
2013年01月,41547,50131.0,2013-02-04
2013年02月,50131,59107.0,2013-03-04
2013年03月,59107,44401.0,2013-05-03
2013年04月,44401,31855.0,2013-06-04
2013年05月,31855,31100.0,2013-07-03
2013年06月,31100,30875.0,2013-08-02
2013年07月,30875,27657.0,2013-09-03
2013年08月,27657,30122.0,2013-10-03
2013年09月,30122,24217.0,2013-11-04
2013年10月,24217,29798.0,2013-12-03
2013年11月,29798,43365.0,2013-12-03
2013年12月,43365,53653.0,2014-02-05
2014年01月,53653,33631.0,2014-03-04
2014年02月,33631,25941.0,2014-04-02
2014年03月,25941,29396.0,2014-04-02
2014年04月,29396,36068.0,2014-06-04
2014年05月,36068,39491.0,2014-06-04
2014年06月,39491,47964.0,2014-07-03
2014年07月,47964,63309.0,2014-08-04
2014年08月,63309,52358.0,2014-09-02
2014年09月,52358,53797.0,2014-10-06
2014年10月,53797,68609.0,2014-11-04
2014年11月,68609,43489.0,2014-12-02
2014年12月,43489,53406.0,2015-01-06
2015年01月,53406,53681.0,2015-02-03
2015年02月,53681,47593.0,2015-03-03
2015年03月,47593,57207.0,2015-04-02
2015年04月,57207,44587.0,2015-05-05
2015年05月,44587,48708.0,2015-06-02
2015年06月,48708,59719.0,2015-07-03
2015年07月,59719,55385.0,2015-08-04
2015年08月,55385,38089.0,2015-09-02
2015年09月,38089,41353.0,2015-10-05
2015年10月,41353,35893.0,2015-11-03
2015年11月,35893,29811.0,2015-12-02
2015年12月,29811,36628.0,2016-01-05
2016年01月,36628,20691.0,2016-02-02
2016年02月,20691,16467.0,2016-03-02
2016年03月,16467,21653.0,2016-04-05
2016年04月,21653,42285.0,2016-05-04
